表6—31 全国分年龄、性别、文化程度的不在业人口数,,,,,,,,,,,,
,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
    文化程度,    不在业人口,,,    在校学生,,,    料理家务,,,    待升学,,
    和年龄别,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女
总计,    170 264 078,  62 726556,  107 537 522,    39 158 574,  23 180 254,    15 978 320,  68 926 624,    6 306966,  62 619658,    2 374 542,  1 362 823,    1 011 719
  15-19岁,    42 264 773,  23 705 217,    18 559 556,    34 539 073,  20 189 340,    14 349 733,    1 481 924,    144 415,    1 337 509,    2 103 594,  1 191 717,    911 877
  20-24岁,    11 126 896,    4 744 598,    6 382 298,    4 205 094,    2 701 025,    1 504 069,    3 410 892,    36 658,    3 374 234,    270 946,    171 106,    99 840
  25—29岁,    5 808 091,    1 152 569,    4 655 522,    282 701,    196 889,    85 812,    4 071 008,    23 625,    4 047 383,    2,        -,    2
  30—34岁,    4 234 608,    625 744,    3 608 864,    84 091,    58 316,    25 775,    3 347 861,    21 854,    3 326 007,         -,      -,   -
  35—39岁,    4 248 938,    522 479,    3 726 459,    35 511,    25 542,    9 969,    3 499 587,    26 956,    3 472 631,         -,    -,    -
  40-44岁,    4 018 726,    448 809,    3 569 917,    12 093,    9 132,    2 961,    3 348 157,    33 030,    3 315 127,       -,     -,       -
  45-49岁,    4 981 712,    599 361,    4 382 351,    7,    6,    1,    3 771 172,    52 230,    3 718 942,        -,    -,     -
  50-54岁,    9 790 121,    1 617 439,    8 172 682,    3,    3,-,    5 920 705,    160 929,    5 759 776,       -,     -,        -
  55—59岁,    14 505 028,    3 593 323,    10 911 705,    1,      1,      -,    8 426 921,    435 843,    7 991 078,        -,      -,     -
  60-64岁,    18 427 843,    6 434 763,    11 993 080,      -,     -,   -,    10 241 397,    1 145 865,    9 095 532,       -,     -,        -
  65岁及以上,    50 857 342,    19 282 254,    31 575 088,     -,   -,     -,    21 407 000,    4 225 561,    17 181 439,        -,     -,      -
文盲、半文盲,    72 122 637,    14 513 230,    57609407,    3 755,    2 070,    1 685,    43 185 222,    3 365 720,    39 819 502,    471,    194,    277
,,,,,,,,,,,,
  15—19岁,    491 976,    189 235,    302 741,    3 188,    1 815,    1 373,    179 258,    13 899,    165 359,    325,    155,    170
  20—24岁,    653 221,    170 789,    482 432,    281,    154,    127,    377 221,    5 611,    371 610,    146,    39,    107
  25—29岁,    751 481,    130 696,    620 785,    81,    35,    46,    538 807,    4 512,    534 295,    -,   -,     -
  30—34岁,    984 040,    111 328,    872 712,    61,    20,    41,    804 663,    4 432,    800 231,      -,       -,        -
  35—39岁,    1 305 041,    135 467,    1 169 574,    84,    32,    52,    1 081 508,    6 597,  1 074 911,       -,       -,     -
  40—44岁,    1 321 113,    130 359,    1 190 754,    60,    14,    46,    1 104 762,    8 921,  1 095 841,      -,     -,        -
