,,,,,,,,,,,,
表6—33全国镇分年龄、性别、文化程度的不在业人口数(第二口径),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
    文化程度,    不在业人口,,,    在校学生,,,    料理家务,,,    待升学,,
    和年龄别,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女
,,,,,,,,,,,,
总计,    18 969 220,    7 194 764,    11 774 456,    4 399 018,    2 357 656,    2 041 362,    6 460 709,    206 136,    6 254 573,    382 568,    198 391,    184 177
  15—19岁,    5 530 491,    2 873 873,    2 656 618,    3 931 898,    2 083 375,    1 848 523,    109 224,    9 890,    99 334,    338 076,    173 253,    164 823
  20-24岁,    1 823 057,    782 992,    1 040 065,    404 901,    233 138,    171 763,    462 084,    5 502,    456 582,    44 492,    25 138,    19 354
  25—29岁,    980 465,    233 245,    747 220,    37 151,    23 462,    13 689,    622 279,    4 397,    617 882,        -,   -,    -
  30—34岁,    666 572,    112 719,    553 853,    14 861,    9 954,    4 907,    509 479,    4 351,    505 128,        -,   -,    -
  35—39岁,    667 761,    88 626,    579 135,    7 359,    5 443,    1 916,    546 561,    5 391,    541 170,        -,   -,    -
  40-44岁,    605 293,    67 453,    537 840,    2 848,    2 284,    564,    506 794,    5 708,    501 086,        -,   -,    -
  45—49岁,    734 959,    84 351,    650 608,        -,    -,    -,    543 624,    6 671,    536 953,        -,   -,    -
  50-54岁,    1 283 542,    233 915,    1 049 627,        -,    -,    -,    687 484,    12 446,    675 038,        -,    -,    -
  55—59岁,    1 611 330,    516 304,    1 095 026,        -,    -,     -,    713 681,    19 691,    693 990,        -,    -,    -
  60-64岁,    1 691 272,    796 671,    894 601,        -,    -,    -,    636 597,    30 419,    606 178,        -,    -,    -
  65岁及以上,    3 374 478,    1 404 615,    1 969 863,        -,    -,     -,    1 122 902,    101 670,    1 021 232,        -,    -,    -
文盲、半文盲,    4 918 258,    884 209,    4 034 049,    239,    112,    127,    2 868 513,    74 902,    2 793 611,    49,        23,    26
  15-19岁,    39 726,    17 656,    22 070,    185,    90,    95,    9 744,    789,    8 955,    40,    21,    19
  20-24岁,    63 341,    21 374,    41 967,    21,    10,    11,    32 392,    450,    31 942,    9,    2,    7
  25—29岁,    79 432,    16 304,    63 128,    10,    5,    5,    56 592,    376,    56 216,    -,     -,   -
  30-34岁,    116 305,    14 292,    102 013,    6,    4,    2,    96 548,    423,    96 125,    -,    -,   -
  35-9岁,    153 562,    14 482,    139 080,    11,    3,    8,    132 702,    591,    132 111,    -,     -,   -
  40—44岁,    139 146,    12 079,    127 067,    6,    -,    6,    121 012,    670,    120 342,    -,     -,   -
  45—49岁,    203 713,    13 005,    190 708,     -,   -,    -,    172 405,    961,    171 444,    -,     -,   -
  50-54岁,    453 473,    36 581,    416 892,     -,    -,      -,    333 312,    2 604,    330 708,    -,     -,   -
  55—59岁,    707 537,    90 141,    617 396,      -,    -,     -,    486 674,    6 070,    480 604,    -,     -,   -
  60-64岁,    771 471,    141 822,    629 649,     -,    -,      -,    491 491,    11 565,    479 926,    -,     -,   -
  65岁及以上,    2 190 552,    506 473,    1 684 079,     -,    -,      -,    935 641,    50 403,    885 238,     -,     -,   -
小学,    4 401 429,    1 703 439,    2 697 990,    121 074,    69 107,    51 967,    2 004 093,    86 325,    1 917 768,    13 139,    7 202,    5 937
