表6—34 全国县分年龄、性别、文化程度的不在业人口数(第二口径),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    文化程度,    市镇待业,,,    离休退休退职,,,    丧失工作能力,,,    其它,,
    文化程度,    不在业人口,,,    在校学生,,,    料理家务,,,    待升学,,,,,    和年龄别,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女
    和年龄别,,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,    839644,    415 515,    424 129,    4 892 074,    4 194 828,    697 246,    24 002 855,  11 176 065,    12 826 790,    2 305 350,    1 420 449,    884 901
,    合计,,,,,,,,,,,,,,  15-19岁,    391 119,    199 009,    192 110,    251,    203,    48,    216 334,    130 312,    86 022,    702 339,    348 842,    353 497
总计,    106 628 441,    37 683 065,    68 945 376,    22 803 810,    14 149 882,    8 653 928,  50 311 950,  5 429 983,  44 881 967,  1 472 758,    896 343,    576 415,,,  20-24岁,    292 878,    147 142,    145 736,    592,    403,    189,    235 848,    144 893,    90 955,    441 544,    269 649,    171 895
  15—19岁,    25 302 907,    14 841 155,    10 461 752,    21 491 247,    13 268 304,    8 222 943,    1 207 115,    116 842,    1 090 273,  1 294 502,    777 643,    516 859,,,  25—29岁,    77 494,    37 641,    39 853,    1 784,    1 212,    572,    204 804,    126 909,    77 895,    205 923,    153 184,    52 739
  20—24岁,    4 720 823,    1 557 795,    3 163 028,    1 270 054,    853 159,    416 895,    2 301 653,    23 849,    2 277 804,    178 254,    118 700,    59 554,,,  30-34岁,    32 238,    14 880,    17 358,    4 445,    2 893,    1 552,    175 644,    112 803,    62 841,    109 183,    84 284,    24 899
  25—29岁,    3 120 226,    352 381,    2 767 845,    30 310,    19 988,    10 322,    2 599 909,    13 447,    2 586 462,    2,-,    2,,,  35—39岁,    27 738,    10 141,    17 597,    14 091,    10 285,    3 806,    233 294,    147 413,    85 881,    93 390,    69 320,    24 070
  30—34岁,    2 523 070,    230 620,    2 292 450,    6 736,    4 496,    2 240,    2 194 824,    11 264,    2 183 560,-,-,-,,,  40-44岁,    16 077,    4 602,    11 475,    48 693,    38 050,    10 643,    240 165,    148 795,    91 370,    69 524,    50 701,    18 823
