表6—5 全国各行业按户口性质和性别分的人口数,,,,,,,,,,,,
,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    在业人口,,,  农业,  户口在业人口,,    非农业户口在业人口,,,    户口待定和暂无户口,,
    行业别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
总计,  647244 706,  356230253,  291 014453, 522783 890,281 582 335,  241 201 555,  123 849 523,  74297035,  49 552488,  611 293,  350 883,    260410
农、林、牧、渔、水利业,  467 593223,  246 146 862,  221 446 361, 463 161 482,243 254298,  219907 184,    4177 566,    2 777 386,    1 400 180,  254175,  115 178,    138997
工业,  86 578757,  49452 189,  37 126 568,  31 465251, 17704 168,  13 761 083,  54986 318,  31 669470,  23 316 848,  127 188,    78 551,    48 637
地质普查和勘探业,    798 147,    600208,    197939,    35944,    23 019,    12925,    761 006,    576291,    184715,    1 197,    898,    299
建筑业,    11 642485,    9 759 181,    1 883 304,  5 630662,  5 318 602,    312060,    5 979940,    4411 656,    1 568 284,    31 883,    28923,    2 960
交通运输、邮电通讯业,    11 751 280,    9 569472,    2181 808,  4167713,  3 877 845,    289 868,    7 559047,    5 671 022,    1 888 025,    24 520,    20605,    3 915
商业、公共饮食业、物质供销和仓储业,    25 771 405,  13 720036,  12051 369,  8 561 511,  4953 813,    3 607698,  17143 711,    8 729033,    8414678,    66 183,    37190,    28993
房地产管理公用事业居民和咨询服务业,    6 188 251,    3422 372,    2 765 879,  2096053,  1 312223,    783 830,    4076480,    2 100 317,    1 976 163,    15 718,    9 832,    5 886
卫生、体育和社会福利事业,    5 167 832,    2407 710,    2 760 122,  1 072448,  703900,    368 548,    4085 315,    1 698 920,    2 386 395,    10069,    4 890,    5 179
教育、文化艺术和广播电视事业,  15 102055,    8 846725,    6255 330,  4185948,  2 488 186,    1 697 762,  10 881 483,    6338 626,    4 542 857,    34624,    19913,    14711
科学研究和综合技术服务事业,    1 450491,    914083,    536408,    73 308,    46139,    27 169,    1 366 913,    861 261,    505652,    10 270,    6 683,    3 587
金融、保险业,    2 132 142,    1 289 832,    842 310,    305 539,  200600,    104939,    1 823 314,    1 087 113,    736201,    3 289,    2 119,    1 170
国家机关、政党机关和社会团体,    12952647,  10019017,    2933 630,  1 997 700,  1 676208,    321 492,  10931 509,    8 324956,    2 606 553,    23438,    17 853,    5 585
其他行业,    115991,    82 566,    33425,30 331,    23 334,    6 997,    76921,    50984,    25 937,    8 739,    8 248,    491
