,,,,,,,,,,,,
表6—6全国市各行业按户口性质和性别分的人口数(第二口径),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    在业人口,,,  农业户口在业人口,,,    非农业户口在业人口,,,    户口待定和暂无户口,,
    行业别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
总计,  120600 175,  67 711 003,    52 889 172,  45901 352, 25047 181,  20 854 171,  74448 137,  42 501 452,  31 946 685,  250686,    162 370,    88 316
农、林、牧、渔、水利业,  31 576407,  16054 587,    15 521 820,  30 599940, 15432228,  15 167 712,    930252,    599 547,    330 705,    46215,    22 812,    23403
工业,  45285919,  25266 375,    20019 544,  7960466,  4 388 985,    3 571 481,  37261 192,  20 835422,  16425 770,    64261,    41 968,    22293
地质普查和勘探业,    498255,    370 846,    127409,    21 583,    12 148,    9435,    475 876,    358089,    117787,    796,    609,    187
建筑业,    6 658426,    5 209915,    1 448 511,    1 974189,  1 822464,    151 725,    4664 834,    3 370146,    1 294688,    19403,    17 305,    2098
交通运输、邮电通讯业,    5 649 343,    4 342 912,    1 306431,    991 312,    917 547,    73 765,    4646282,    3 415 170,    1 231 112,    11 749,    10195,    1 554
商业、公共饮食业、物质供销和仓储业,    11 283 984,    5476226,    5 807 758,  2473 221,  1 377 601,    1 095 620,    8 779053,    4078 596,    4 700457,    31 710,    20029,    11 681
房地产管理公用事业居民和咨询服务业,    3 857997,    1 974416,    1 883 581,    691 841,    366 831,    325010,    3 157 070,    1 601 743,    1 555 327,    9086,    5 842,    3 244
卫生、体育和社会福利事业,    2 364974,    881 131,    1 483 843,    189 359,    96 333,    93026,    2 168 597,    781 621,    1 386 976,    7018,    3 177,    3 841
教育、文化艺术和广播电视事业,    5410452,    2 677008,    2 733 444,    502017,    265 676,    236 341,    4 881 191,    2 395268,    2485923,    27244,    16064,    11 180
科学研究和综合技术服务事业,    1 233 219,    771 702,    461 517,    38677,    24678,    13 999,    1 185 003,    740 816,    444187,    9 539,    6208,    3 331
金融、保险业,    890201,    470628,    419 573,    47 785,    27 980,    19 805,    840423,    441 394,    399029,    1 993,    1 254,    739
国家机关、政党机关和社会团体,    5 817 521,    4164655,    1 652 866,    395 642,    303 338,    92 304,    5404 806,    3 848 684,    1 556 122,    17073,    12633,    4440
其他行业,    73477,    50602,    22 875,    15 320,    11 372,    3 948,    53 558,    34 956,    18 602,    4 599,    4274,    325
