,,,,,,,,,,,,
表6—7全国镇各行业按户口性质和性别分的人口数(第二口径),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    在业人口,,,  农业户口在业人口,,,    非农业户口在业人口,,,    户口待定和暂无户口,,
    行业别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
总计,  45791 797,    27058094,  18733703,  13 726 167,  7466 820,    6259 347,  31 973034,  19 536 538,  12436496,    92 596,    54736,    37 860
农、林、牧、渔、水利业,    7610609,    4186774,    3423 835,  6634554,  3498 333,    3 136 221,    965694,    682079,    283 615,    10 361,    6 362,    3 999
工业,    16169129,    9155221,    7013908,  3 583736,  1 786 540,    1 797 196,  12 553 960,    7 351 355,    5 202605,    31 433,    17 326,    14107
地质普查和勘探业,    162468,    125 388,    37080,    2 726,    2 067,    659,    159 599,    123211,    36 388,    143,    110,    33
建筑业,    1 474264,    1 219283,    254981,    533463,    486 356,    47 107,    935 182,    727 931,    207251,    5 619,    4996,    623
交通运输、邮电通讯业,    2 554399,    1 976503,    577 896,    394407,    340035,    54372,    2153 508,    1 631 378,    522130,    6484,    5 090,    1 394
商业、公共饮食业、物质供销和仓储业,    7 364449,    3 744041,    3620408,    1 592215,    783 662,    808 553,    5 750656,    2950 856,    2 799 800,    21 578,    9 523,    12055
房地产管理公用事业居民和咨询服务业,    1 111 428,    586687,    524741,    372051,    198 534,    173 517,    735442,    386074,    349 368,    3 935,    2 079,    1 856
卫生、体育和社会福利事业,    1 393 817,    605001,    788 816,    98 361,    49 515,    48 846,    1 293 806,    554661,    739145,    1 650,    825,    825
教育、文化艺术和广播电视事业,    2 827440,    1 564 138,    1 263 302,    219120,    104669,    114451,    2605236,    1 457971,    1 147 265,    3 084,    1 498,    1 586
科学研究和综合技术服务事业,    138 800,    90 351,    48449,    8 372,    4 770,    3 602,    129 869,    85 222,    44647,    559,    359,    200
金融、保险业,    739614,    452923,    286691,    50425,    27 715,    22 710,    688 321,    424623,    263 698,    868,    585,    283
国家机关、政党机关和社会团体,    4 223 158,    3 335 891,    887267,    233263,    182 187,    51 076,    3 986024,    3 150 636,    835 388,    3 871,    3 068,    803
其他行业,    22222,    15 893,    6 329,    3 474,    2437,    1 037,    15737,    10 541,    5 196,    3 011,    2 915,    96
