表6—9 全国分年龄、性别、行业门类的人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,表6—9全国分年龄、性别、行业门类 的人口数(续02),,,,,,,,,,,,,,,表6—9全国分年龄、性别、行业门类 的人口数(续04),,,,,,,,,,,,,,,表6—9全国分年龄、性别、行业门类的人口数(续06),,,,,,,,,
    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,        单位：人,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    在业人口,,,    占15岁以上人口％,,,    Ⅰ、农、林、牧、渔、水利业,,,    Ⅱ、工业,,,,,,    Ⅲ、地质普查和勘探业,,,    Ⅳ、建筑业,,,    Ⅴ、交通运输、邮电通讯业,,,    Ⅵ、商业、公共饮食业,,,,,,    Ⅶ、房地产管理、公用事业,,,,,,    Ⅸ、教育、文化艺,,,    Ⅹ、科学研究和综,,,,,,  Ⅺ、金融、保险业,,,    Ⅻ、国家机关、政党,,,ⅩⅢ、其他行业,,
    年龄别,,,,,,,,,,,,,,,    年龄别,,,,,,,,,,        物资供销和仓储业,,,,,,    居民服务和咨询服务业,,,    Ⅷ、卫生、体育和社会福利事业,,,    术和广播电视事业,,,    合技术服务事业,,,,,  年龄别,,,,    机关和和社会团体,,,,,
,  合计,    男,    女,  合计,    男,    女,小计,    男,    女,    小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,    年龄别,,,,,,,,,,,,,,,,小计,    男,    女,  小计,    男,    女,小计,  男,  女
总计,    647 244 706,    356 230253,    291 014453,    79.17,    85.03,    73.02,    467 593 223,    246 146 862,    221 446 361,    86 578 757,    49452 189,    37 126 568,,,总计,    798 147,    600208,    197 939,  11 642 485,    9 759 181,    1 883 304,    11 751 280,    9 569472,    2 181 808,    25 771 405,    13 720036,    12051 369,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,总计,  2132142,  1 289832,  842310,  12952647,  10019017, 2933 630,  115 991,  82 566, 33 425
15-19岁,    77 893 648,    37 945 372,    39 948 276,    64.83,    61.55,    68.28,    64 780 335,    31 476 805,    33 303 530,    8 296030,    3 603 209,    4 692 821,,,15-19岁,    19 107,    14047,    5 060,    885 664,    796087,    89 577,    572 203,    461 242,    110 961,    1 483 236,    658419,    824 817,,,总计,  6 188 251,    3 422 372,  2 765 879,    5 167 832,  2407 710,    2 760 122,    15 102055,    8 846 725,    6 255 330,    1 450 491,    914083,    536408,,,15-19岁,    108 857,    45 939,    62 918,    496 669,    395 141,    101 528,  12 670,    9 438,  3 232
  15,    8 405 077,    3 606 202,    4 798 875,    38.83,    32.42,    45.62,    7 902 128,    3 400 270,    4 501 858,    347 582,    117014,    230 568,,,  15,    187,    141,    46,    31 227,    28 669,    2 558,    15 397,    12 339,    3 058,    56 848,    24 869,    31 979,,,15-19岁,    596 663,    251 733,    344 930,    168464,    53 767,    114 697,    449 189,    166 257,    282 932,    24 561,    13 288,    11 273,,,  15,    1 093,    399,    694,    5 677,    4 125,    1 552,    356,    199,    157
  16,    12 758 012,    5 969407,    6 788 605,    54.32,    49.56,    59.32,    11 491 966,    5 396 524,    6095442,    853 194,    330460,    522 734,,,  16,    887,    656,    231,    87 821,    80 524,    7 297,    45 742,    37 184,    8 558,    143 328,    63 082,    80246,,,  15,    28476,    10 231,    18 245,    3 823,    1 530,    2 293,    11 961,    6 235,    5 726,    322,    181,    141,,,  16,    4 998,    2 010,    2 988,    22 522,    16 379,    6 143,    965,    580,    385
  17,    16498 261,    8088 555,    8409 706,    67.24,    64.29,    70.34,    13 996009,    6 886 703,    7 109 306,    1 636 203,    684 297,    951 906,,,  17,    2 809,    2 131,    678,    172408,    156 525,    15 883,    100 974,    81 984,    18 990,    284478,    125 758,    158 720,,,  16,    64 835,    25 324,    39 511,    10 684,    4 068,    6 616,    29 745,    11 881,    17 864,    1 325,    735,    590,,,  17,    14 995,    6 128,    8 867,    76 090,    59 975,    16 115,  2 116,  1 500,    616
  18,    18 727 658,    9 385 397,    9 342 261,    76.45,    74.68,    78.32,    15 001 837,    7 520 554,    7 481 283,    2 343 126,    1 033 621,    1 309 505,,,  18,    5 612,    4 11 1,    1 501,    252 842,    227223,    25 619,    164026,    132423,    31 603,    421 484,    187 223,    234261,,,  17,    118463,    48 558,    69 905,    24499,    9 229,    15 270,    65 512,    23 731,    41 781,    3 705,    2 036,    1 669,,,  18,    31 551,    13 019,    18 532,    160 565,    130 548,    30017,  3 821,  2 908,    913
  19,    21 504 640,    10 895 811,    10 608 829,    82.73,    81.72,    83.79,    16 388 395,    8 272 754,    8 115 641,    3 115 925,    1 437 817,    1 678 108,,,  19,    9 612,    7 008,    2 604,    341 366,    303 146,    38 220,    246064,    197 312,    48 752,    577098,    257487,    319 611,,,  18,    165 880,    70 787,    95093,    47 368,    15 374,    31 994,    122 282,    43 593,    78 689,    7 264,    4 013,    3 251,,,  19,    56220,    24 383,    31 837,    231 815,    184 114,    47 701,  5 412,  4 251,  1 161
20—24岁,    114 634 278,    59488425,    55 145 853,    91.15,    92.61,    89.63,    83 031 433,    41 822 244,    41 209 189,    17089 066,    8 809 755,    8 279 311,,,20-24岁,    103 936,    76019,    27 917,    2 226087,    1 931 862,    294225,    1 936 889,    1 563 678,    373 211,    3 889 661,    1 861 334,    2028 327,,,  19,    219009,    96 833,    122 176,    82090,    23 566,    58 524,    219 689,    80 817,    138 872,    11 945,    6 323,    5 622,,,20-24岁,    493 250,    253 719,  239 531,  1 601 251, 1 146 440,  454 811,  30 532,  24 842,  5 690
  20,    22 654 789,    11 431 732,    11 223 057,    87.01,    86.66,    87.37,    16 665 872,    8 286 264,    8 379 608,    3 505 085,    1 682 860,    1 822 225,,,  20,    13 991,    10 123,    3 868,    405 376,    356 583,    48 793,    312 152,    248 786,    63 366,    691 386,    312 786,    378 600,,,20-24岁,    1 182 091,    601 452,    580 639,    624 516,    221 422,    403 094,    2 270233,    1 085 773,    1 184 460,    155 333,    89 885,    65448,,,  20,    78 826,    35 138,    43 688,    272 239,    205 239,  67 000,    6 999,    5 727,  1 272
  21,    24415232,    12 512 624,    11 902 608,    89.91,    90.54,    89.26,    17 637 297,    8 854089,    8 783 208,    3 822431,    1 903 464,    1 918 967,,,  21,    19 664,    14 218,    5 446,    467 534,    407465,    60069,    385 542,    308469,    77073,    806 880,    372041,    434 839,,,  20,    248 194,    114459,    133 735,    110 223,    31 367,    78 856,    326 868,    133 182,    193 686,    17 578,    9 218,    8 360,,,  21,    99 927,    47 769,    52 158,    308 663,    221 017,  87 646,    8 114,    6 706,  1 408
  22,    22 551 297,    11 765 612,    10 785 685,    91.85,    93.48,    90.14,    16 301 464,    8 261 022,    8 040442,    3 381 012,    1 757 729,    1 623 283,,,  22,    21 280,    15 615,    5 665,    444068,    385 592,    58 476,    383 958,    310414,    73 544,    766948,    368 253,    398 695,,,  21,    271 355,    132 110,    139 245,    127 180,    40 147,    87033,    435 064,    191 514,    243 550,    25 581,    13 615,    11 966,,,  22,    101 329,    51 963,    49 366,    301 796,    211 485,  90 311,    6 388,    5 263,  1 125
  23,    21 314 260,    11 214 509,    10099 751,    93.39,    95.92,    90.73,    15 534 142,    7 860413,    7 673 729,    2 982 352,    1 605 234,    1 377 118,,,  23,    22 110,    16 315,    5 795,    421 240,    364 941,    56 299,    383 012,    312 239,    70 773,    729 360,      361 009,    368 351,,,  22,    236 320,    121 154,    115 166,    116 882,    41 544,    75 338,    458 962,    218220,    240 742,    30 890,    17 358,    13 532,,,  23,    97094,    53 106,    43 988,    311 073,    219454,  91 619,    4 713,    3 771,    942
  24,    23 698 700,    12 563 948,    11 134 752,    94.06,    97.07,    90.89,    16 892 658,    8 560 456,    8 332202,    3 398 186,    1 860 468,    1 537 718,,,  24,    26 891,    19 748,    7 143,    487 869,    417 281,    70588,    472 225,    383 770,    88455,    895 087,    447 245,    447 842,,,  23,    200 250,    108498,    91 752,    116 694,    45 580,    71 114,    478 505,    243 721,    234 784,    33 715,    20 228,    13487,,,  24,  116 074,    65 743,    50 331,    407480,    289 245,  118 235,    4 318,    3 375,    943
25—29岁,    98 459434,    52 360414,    46 099020,    94.43,    97.85,    90.83,    65 578 500,    32 975 746,    32 602 754,15640819,    8 622053,    7018 766,,,25—29岁,    147 330,    103 508,    43 822,    2 190 930,    1 793 952,    396 978,    2402 519,    1 914 875,    487 644,    4 893 485,    2445 945,    2447 540,,,  24,    225 972,    125 231,    100 741,    153 537,    62 784,    90 753,    570 834,    299 136,    271 698,    47 569,    29466,    18 103,,,25—29岁,  543 609,    313 345, 230 264,  2 166 585,  1 579 713,  586 872,  16 564,  11 285,  5 279
  25,    23 106 874,    12282 541,    10 824 333,    94.23,    97.53,    90.76,    15 919423,    8 023 197,    7 896226,    3 486 888,    1 930 193,    1 556 695,,,  25,    30 347,    21 884,    8 463,    499413,    419 138,    80275,    515 330,    415 611,    99 719,    1 000 071,    500 883,    499 188,,,25-29岁,    1 078 996,    605 596,    473400,    894005,    360 284,    533 721,    2 635 887,    1 466 704,    1 169 183,    270 205,    167408,    102 797,,,  25,  120 151,    70047,  50 104,    468 558,    337428,  131 130,    4 005,    2 965,  1 040
  26,    23 888 293,    12 664 805,    11 223 488,    94.47,    97.73,    91.04,    15 833 384,    7 946 149,    7 887235,    3 854 627,    2 117 707,    1 736 920,,,  26,    36 173,    25 359,    10 814,    535 539,    437 612,    97927,    579 151,    458 343,    120 808,    1 169 882,    579028,    590 854,,,  25,    230 943,    129 898,    101 045,    183 590,    75 616,    107974,    592 746,    320 398,    272 348,    55409,    35283,    20 126,,,  26,  135 546,    78 032,  57 514,    535 929,    385 893,  150036,    3 961,    2 697,  1 264
  27,    25 573 057,    13 689 565,    11 883 492,    94.62,    98.02,    90.99,    16 982 994,    8 601 857,    8 381 137,    4055 583,    2244 517,    1 811 066,,,  27,    38 957,    27 533,    11 424,    571 181,    468 258,    102 923,    632 709,    505 311,    127 398,    1 293 193,    646 842,    646 351,,,  26,    263 729,    147 066,    116663,    225 132,    89 362,    135 770,    646 847,    354 863,    291 984,    68 393,    42 694,    25 699,,,  27,  144 651,    83 401,  61 250,    566 774,    416 563,  150 211,    4 268,    2 846,  1 422
  28,    15 062 823,    7 989917,    7072 906,    94.57,    98.10,    90.87,    10 180 722,    5 084 873,    5095 849,    2 243 704,    1 243 759,    999 945,,,  28,    22 594,    15 734,    6 860,    317 546,    260 199,    57 347,    364647,    292 648,    71 999,    777 663,    394240,    383423,,,  27,    277066,    156 719,    120 347,    239 521,    97 312,    142209,    695466,    394 359,    301 107,    70694,    44 047,    26647,,,  28,    81 896,    47219,  34 677,    331 390,    246092,    85 298,    2 333,    1 524,    809
  29,    10 828 387,    5 733 586,    5094 801,    94.12,    98.03,    90.08,    6 661 977,    3 319 670,    3 342 307,    2000 017,    1 085 877,    914 140,,,  29,    19259,    12 998,    6 261,    267 251,    208 745,    58 506,    310 682,    242 962,    67 720,    652 676,    324 952,    327 724,,,  28,    161 276,    91 667,    69609,    136 191,    55 582,    80609,    402 610,    231 938,    170 672,    40 251,    24442,    15 809,,,  29,    61 365,    34646,  26 719,    263 934,    193 737,    70 197,    1 997,    1 253,    744
30—34岁,    79 641 099,    43 080 389,    36 560 710,    94.95,    98.57,    91.02,    51 888 593,    26 634 100,    25 254493,    13 081 177,    7 255030,    5 826 147,,,30-34岁,    129 764,    86401,    43 363,    1 872 302,    1 475 316,    396 986,    2 111 882,    1 669 923,    441 959,    4 335 925,    2 194 132,    2 141 793,,,  29,    145 982,    80 246,    65 736,    109 571,    42 412,    67 159,    298 218,    165 146,    133 072,    35 458,    20942,    14 516,,,30—34岁,    318 061,    190 665,  127 396,  1 795 908,  1 342 354,    453 554,  13 424,    8 072,  5 352
