,,,,,,,,,,,,,,,,,,
表7-11全国镇各职业大类人口分年龄、性别的婚姻状况(第二口径),,,,,,,,,,,,,,,表7—11全国镇各职业大类人口分年龄、性别的婚姻状况,,,
,,,,,,,,,,,,,,,    (第二口径)(续16)单位：人,,,
单位：人,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    职业和,    离婚,,
    职业和,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    年龄别,,,
    年龄别,,,,,,,,,,,,,,,,    小计,    男,    女
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,总计,    303 620,    179 666,    123 954
总计,    45 791 797,    27 058 094,    18 733 703,    9 241 157,    5 413 851,    3 827 306,    35 723 623,    21 222 804,    14 500 819,    523 397,    241 773,    281 624,,,15-19岁,    769,    261,    508
15—19岁,  3 242 544,    1 596 083,    1 646 461,    3 139 192,    1 556 469,    1 582 723,    102 454,    39 296,    63 158,    129,    57,    72,,,  15,    17,    5,    12
  15,    153 480,    69 748,    83 732,    152 782,    69 412,    83 370,    676,    328,    348,    5,    3,       2,,,  16,    25,    3,    22
  16,    338 232,    158 750,    179 482,    336 162,    157 849,    178 313,    2 041,    895,    1 146,    4,     3,    1,,,  17,    68,    20,    48
  17,    626 045,    303 617,    322 428,    618 631,    300 603,    318 028,    7 328,    2 983,    4 345,    18,    11,    7,,,  18,    235,    71,    164
  18,    908 443,    452 056,    456 387,    884 393,    442 624,    441 769,    23 786,    9 349,    14 437,    29,    12,    17,,,  19,    424,    162,    262
  19,  1 216 344,    611 912,    604 432,    1 147 224,    585 981,    561 243,    68 623,    25 741,    42 882,    73,    28,    45,,,20—24岁,    17 668,    7 793,    9 875
20—24岁,  7 972 021,    4 216 410,    3 755 611,    4 800 354,    2 833 905,    1 966 449,    3 150 680,    1 373 452,    1 777 228,    3 319,    1 260,    2 059,,,  20,    1 096,    414,    682
  20,  1 445 818,    731 531,    714 287,    1 261 136,    668 037,    593 099,    183 390,    62 995,    120 395,    196,    85,    111,,,  21,    1 895,    740,    1 155
  21,  1 642 677,    841 975,    800 702,    1 254 301,    702 327,    551 974,    386 106,    138 768,    247 338,    375,    140,    235,,,  22,    2 913,    1 225,    1 688
