,,,,,,,,,,,,,,,,,,
表7-12全国县各职业大类人口分年龄、性别的婚姻状况(第二口径),,,,,,,,,,,,,,,表7-12全国县各职业大类人口分年龄、性别的婚姻状况,,,
    单位：人,,,,,,,,,,,,,,,    (第二口径)(续16)单位：人,,,
,,,,,,,,,,,,,,,,,,
    职业和,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    职业和,    离婚,,
    年龄别,,,,,,,,,,,,,,,    年龄别,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,,    小计,    男,    女
总计,  480 852 734,  261 461 156,  219 391 578, 118 280 937,  69 792 047,    48 488 890,    347 574 384,    182 615 383,    164 959 001,    12 370 018,    6 889 030,    5 480 988,,,总计,    2 627 395,    2 164 696,    462 699
15—19岁,    65 998 528,    31 952 960,    34 045 568,    62 780 743,  30 968 333,    31 812 410,    3 181 943,    974 946,    2 206 997,    4 335,    2 017,    2 318,,,15-19岁,    31 507,    7 664,    23 843
  15,    7 766 233,    3 314 350,    4 451 883,    7 736 730,    3 304 632,    4 432 098,    28 751,    9 453,    19 298,    169,    99,    70,,,  15,    583,    166,    417
  16,  11 456 551,    5 340 349,    6 116 202,  11 361 072,    5 314 431,    6 046 641,    93 683,    25 475,    68 208,    278,    168,    110,,,  16,    1 518,    275,    1 243
  17,  14 185 254,    6 934 025,    7 251 229,  13 887 675,    6 852 910,    7 034 765,    293 437,    80 102,    213 335,    564,    313,    251,,,  17,    3 578,    700,    2 878
  18,  15 457 481,    7 717 096,    7 740 385,  14 625 228,    7 478 482,    7 146 746,    820 113,    236 003,    584 110,    1 122,    467,    655,,,  18,    11 018,      2 144,    8 874
  19,  17 133 009,    8 647 140,    8 485 869,  15 170 038,    8 017 878,    7 152 160,    1 945 959,    623 913,    1 322 046,    2 202,    970,    1 232,,,  19,    14 810,    4 379,    10 431
20—24岁,  87 414 176,    45 025 917,    42 388 259,  40 798 111,  25 257 377,    15 540 734,    46 337 782,    19 616 050,    26 721 732,    66 231,    36 729,    29 502,,,20-24岁,    212 052,    115 761,    96 291
  20,  17 585 324,    8 812 522,    8 772 802,  13 326 844,    7 448 284,    5 878 560,    4 225 838,    1 351 381,    2 874 457,    4 693,    2 077,    2 616,,,  20,    27 949,    10 780,    17 169
  21,  18 652 853,    9 515 736,    9 137 117,  11308 781,    6 843 895,    4 464 886,    7 303 733,    2 652 242,    4 651 491,    8 476,    4 100,    4 376,,,  21,    31 863,    15 499,    16 364
  22,  17171 997,    8 904 804,    8 267 193,    7 645 610,    4 927 272,    2 718 338,    9 471 959,    3 948 489,    5 523 470,    12 418,    6 571,    5 847,,,  22,    42 010,    22 472,    19 538
  23,  16 292 292,    8 495 458,    7 796 834,    4 905 003,    3 380 215,    1 524 788,    11 322 153,    5 076 987,    6 245 166,    16 882,    9 751,    7 131,,,  23,    48 254,    28 505,    19 749
  24,  17 711 710,    9 297 397,    8 414 313,    3 611 873,    2 657 71 1,    954 162,    14 014 099,    6 586 951,    7 427 148,    23 762,    14 230,    9 532,,,  24,    61 976,    38 505,    23 471
25—29岁,  68 722 863,    36 135 888,    32 586 975,    5 949 397,    4 987 023,    962 374,    62 307 108,    30 836 781,    31 470 327,    159 707,    98 256,    61 451,,,25-29岁,    306 651,    213 828,    92 823
  25,  16 717 888,    8 773 090,    7 944 798,    2 278 405,    1 793 630,    484 775,    14 340 539,    6 916 818,    7 423 721,    28 976,    17 414,    11 562,,,  25,    69 968,    45 228,    24 740
  26,  16 614 539,    8 707 979,    7 906 560,    1 541 091,    1 294 248,    246 843,    14 966 367,    7 343 060,    7 623 307,    34 808,    21 451,    13 357,,,  26,    72 273,    49 220,    23 053
  27,  17 789 667,    9 435 076,    8 354 591,    1 200 403,    1 052 331,    148 072,    16 466 694,    8 299 786,    8 166 908,    43 828,    27 171,    16 657,,,  27,    78 742,    55 788,    22 954
  28,  10 633 256,    5 567 326,    5 065 930,    584 886,    527 637,    57 249,    9 967 911,    4 984 295,    4 983 616,    30 151,    18 628,    11 523,,,  28,    50 308,    36 766,    13 542
  29,    6 967 513,    3 652 417,    3 315 096,    344 612,    319 177,    25 435,    6 565 597,    3 292 822,    3 272 775,    21 944,    13 592,    8 352,,,  29,    35 360,    26 826,    8 534
30-34岁,  53 960 211,  29 112 909,    24 847 302,    2 301 345,    2 240 704,    60 641,    51 100 625,    26 464 113,    24 636 512,    272 335,    174 174,    98 161,,,30-34岁,    285 906,    233 918,    51 988
  30,    8 883 572,    4 799 635,    4 083 937,    410 653,    391 686,    18 967,    8 388 913,    4 347 569,    4 041 344,    33 458,    21 224,    12 234,,,  30,    50 548,    39 156,    11 392
  31,    9 065 119,    4 927 011,    4 138 108,    418 859,    405 919,    12 940,    8 558 821,    4 456 238,    4 102 583,    39 160,    25 474,    13 686,,,  31,    48 279,    39 380,    8 899
  32,    12 304 635,    6 689 748,    5 614 887,    538 255,    526 297,    11 958,    11 641 609,    6 071 407,    5 570 202,    60 435,    39 000,    21 435,,,  32,    64 336,    53 044,    11 292
  33,    12 078 498,    6 488 635,    5 589 863,    483 517,    474 173,    9 344,    11467 193,    5 920 917,    5 546 276,    66 400,    42 510,    23 890,,,  33,    61 388,    51 035,    10 353
