,,,,,,,,,,,,,,,,,,,,,,,,
表7-13全国按丈夫年龄和夫妻年龄差分的妻子人数,,,,,,,,,,,,,,表7-13全国按丈夫年龄和夫妻年龄差分的妻子人数(续03),,,,,,,,,,
        单位：人,,,,,,,,,,,,,,    单位：人,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,    丈夫年龄与 妻子年龄之差,,,,,,,,,,,,,,    丈夫年龄与 妻子年龄之差,,,,,,,,,
    丈夫年龄别,,,,,,,,,,,,,,    丈夫年龄别,,,,,,,,,,
,  10岁及以上,    9岁,    8岁,    7岁,    6岁,    5岁,    4岁,    3岁,    2岁,    1岁,    0岁,,,,    -1岁,    -2岁,    -3岁,    -4岁,    -5岁,    -6岁,    -7岁,    -8岁,    -9岁,  -10岁及以上
总计,    9 810 238,    4 084 596,    5 706 466,    7 787 893,    10 590 154,    14 586 932,    19 099 509,    23 961 633,    28 521 240,    30 748 255,    28 644 213,,,总计,  17 706 447,    9 938 974,    5 072 745,    2 365 317,    1 121 738,    557 917,    310 430,    189 382,    120 073,    304 109
15-19岁,-,-,-,-,-,-,    274,    1 747,    7 144,    21 944,    45 498,,,15-19岁,    45 816,    38 972,    26 664,    14 568,    7 864,    3 669,    1 862,    1 207,    787,    8 051
  15,-,-,-,-,-,-,-,-,-,-,    94,,,  15,    89,    68,    57,    70,    94,    72,    118,    101,    122,    1 245
  16,-,-,-,-,-,-,-,-,-,    91,    320,,,  16,    340,    323,    299,    276,    218,    141,    124,    151,    122,    1 607
  17,-,-,-,-,-,-,-,-,    123,    579,    1 620,,,  17,    1 888,    1 892,    1 665,    1 123,    653,    370,    251,    189,    141,    2 052
  18,-,-,-,-,-,-,-,    195,    988,    3 507,    8 257,,,  18,    9 082,    8 653,    6 244,    3 708,    1 880,    961,    470,    276,    173,    1 696
  19,-,-,-,-,-,-,    274,    1 552,    6 033,    17 767,    35 207,,,  19,    34 417,    28 036,    18 399,    9 391,    5 019,    2 125,    899,    490,    229,    1 451
20-24岁,    1,    272,    1 854,    8 219,    30 882,    102 891,    313 983,    807 795,    1 515 422,    2 165 270,    2 532 540,,,20-24岁,    1 821 939,    1 089 437,    560 554,    219 294,    78 614,    31 724,    13 705,    7 183,        4 359,    20 387
  20,-,-,-,-,-,    332,    1 967,    8 074,    26 838,    60 965,    106 035,,,  20,    97 110,    66 919,    38 654,    22 100,    9 836,    4 323,    2 238,    879,    488,    2 922
  21,-,-,-,-,    363,    2 205,    9 550,    31 421,    88 111,    192 964,    288 792,,,  21,    21 1 837,    134 878,    85 913,    38 561,    16 079,    7 211,    2 612,    1 193,    783,    3 388
  22,-,-,-,    358,    1 915,    8 334,    28 631,    87 641,    237 878,    412 970,    446 520,,,  22,    315 547,    219 217,    106 887,    45 634,    19 724,    6 509,    2 545,    1 549,    621,    4 324
  23,-,-,    329,    1 687,    6 853,    24 561,    76 389,    217 510,    465 105,    604 905,    650 683,,,  23,    509 189,    283 156,    139 612,    62 903,    17 115,    5 719,    3 121,    1 264,    910,    4 245
  24,    1,    272,    1 525,    6 174,    21 751,    67 459,    197 446,    463 149,    697 490,    893 466,    1 040 510,,,  24,    688 256,    385 267,    189 488,    50 096,    15 860,    7 962,    3 189,    2 298,    1 557,    5 508
25-29岁,    23 711,    44 751,    115 500,    261 562,    556 964,    1127 580,    2 076 672,    3 424 949,    5 102 028,    6 161 508,    5 792 007,,,25-29岁,    3 194 708,    1 427 307,    603 657,    248 202,    102 437,    41 819,    21 012,    12 057,    7 890,    32 144
  25,    287,    1 146,    4 684,    16 032,    47 648,    143 726,    342 741,    557 843,    839 480,    1 199 181,    1 208 714,,,  25,    765 386,    433 962,    134 041,    41 961,    19 984,    7 157,    4 368,    2 611,    1 841,    7 11 1
  26,    1 134,    3 678,    12 057,    34 302,    98 149,    239 231,    412 972,    686 922,    1 131 357,    1 349 177,    1 402 259,,,  26,  1 012 144,    344 279,    117 175,    58 489,    20 567,    10 099,    4 666,    2 624,    1 816,    8 497
  27,    4 056,    9 638,    27 361,    74 919,    176 522,    311 268,    555 039,    958 768,    1 333 545,    1 769 992,    1 933 020,,,  27,    758 941,    282 996,    163 858,    61 615,    30 092,    1 1 340,    5 294,    3 104,    1 841,    7 756
  28,    7 220,    13 145,    34 635,    75 535,    130 470,    231 092,    415 177,    654 023,    971 804,    1 244 473,    783 626,,,  28,    325 593,    203 601,    90 659,    47 649,    17 622,    7 166,    3 668,    2 077,    1 273,    5 137
  29,    11014,    17 144,    36 763,    60 774,    104 175,    202 263,    350 743,    567 393,    825 842,    598 685,    464 388,,,  29,    332 644,    162 469,    97 924,    38 488,    14 172,    6 057,    3 016,    1 641,    1 119,    3 643
