表7—15  全国镇按丈夫年龄和夫妻年龄差分的妻子人数(第二口径),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,        单位：人,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    丈夫年龄与 妻子年龄之差,,,,,,,,,
,    丈夫年龄与 妻子年龄之差,,,,,,,,,,,,,    丈夫年龄别,,,,,,,,,,
    丈夫年龄别,,,,,,,,,,,,,,,    -1岁,    -2岁,    -3岁,    -4岁,    -5岁,    -6岁,    -7岁,    -8岁,    -9岁,  -10岁及以上
,  10岁及以上,    9岁,    8岁,    7岁,    6岁,    5岁,    4岁,    3岁,    2岁,    1岁,    0岁,,,总计,    1 256 673,    661 982,    310 836,    130 995,    57 221,    26 695,    14 217,    8 107,    5 051,    13 764
,,,,,,,,,,,,,,15-19岁,    1 600,    1 436,    921,    488,    228,    108,    73,    42,    34,    513
总计,    792 813,    318 832,    444 967,    609 906,    831 939,    1 140 094,    1 484 721,    1 836 051,    2 156 068,    2 320 299,    2 120 603,,,  15,-,-,-,    1,     2,    3,    5,    9,    4,    78
15-19岁,-,-,-,-,-,-,    5,    47,    234,    688,    1 530,,,  16,    5,    4,    9,    9,    6,    4,    3,    8,    6,    117
  15,-,-,-,-,-,-,-,-,-,-,     2,,,  17,    60,    62,    54,    28,    15,    10,    11,    4,    9,    137
  16,-,-,-,-,-,-,-,-,-,    3,    11,,,  18,    292,    309,    211,    126,    54,    23,    22,    7,    2,    95
  17,-,-,-,-,-,-,-,-,    5,    17,    47,,,  19,    1 243,    1 061,    647,    324,    151,    68,    32,    14,    13,    86
  18,-,-,-,-,-,-,-,    4,    31,    113,    255,,,20-24岁,    101 626,    60 712,    29 931,    10 714,    3 774,    1 570,    722,    402,    319,    1 198
  19,-,-,-,-,-,-,    5,    43,    198,    555,    1 215,,,  20,    3 764,    2 647,    1 482,    872,    380,    158,    105,    37,    34,    150
20-24岁,-,    5,    51,    250,    1 043,    4 227,    15 188,    42 219,    78 406,    114 179,    139 266,,,  21,    9 018,    5 955,    3 885,    1 708,    742,    328,    134,    69,    58,    210
  20,-,-,-,-,-,    3,    37,    246,    897,    2 240,    4 096,,,  22,    15 526,    11 190,    5 484,    2 177,    937,    300,    122,    77,    39,    245
