,,,,,,,,,,,,,,,,,,,,,,,,
表7-16全国县按丈夫年龄和夫妻年龄差分的妻子人数(第二口径),,,,,,,,,,,,,,表7-16全国县按丈夫年龄和夫妻年龄差分的妻子人数(第二口径)(续03),,,,,,,,,,
    单位：人,,,,,,,,,,,,,,    单位：人,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,    丈夫年龄与 妻子年龄之差,,,,,,,,,,,,,,    丈夫年龄与妻子年龄之差,,,,,,,,,
    丈夫年龄别,,,,,,,,,,,,,,    丈夫年龄别,,,,,,,,,,
,  10岁及以上,    9岁,    8岁,    7岁,    6岁,    5岁,    4岁,    3岁,    2岁,    1岁,    0岁,,,,    -1岁,    -2岁,    -3岁,    -4岁,    -5岁,    -6岁,    -7岁,    -8岁,    -9岁,    -10岁及以上
总计,    7 128 526,    2 970 196,    4142 373,    5 625 117,    7 620 901,    10 493 711,    13 693 797,    17 150 1 30,    20 454 146,    22 041 610,    20 772 456,,,总计,  13 135 860,    7 654 497,    4 017 352,    1 914 304,    919 746,    461 798,    259 309,    159 783,    101 809,    255 875
15-19岁,-,-,-,-,-,-,    259,    1 612,    6 551,    20 108,    41 527,,,15-19岁,    41 787,    35 499,    24 477,    13 466,    7 278,    3 384,    1 703,    1 088,    712,    6 575
  15,-,-,-,-,-,-,-,-,-,-,    88,,,  15,    88,    67,    56,    67,    89,    67,    106,    84,    112,    1 020
  16,-,-,-,-,-,-,-,-,-,    85,    288,,,  16,    318,    305,    278,    257,    201,    130,    112,    135,    111,    1 284
  17,-,-,-,-,-,-,-,-,    114,    533,    1 497,,,  17,    1 751,    1 757,    1 562,    1 047,    614,    339,    230,    172,    125,    1 660
  18,-,-,-,-,-,-,-,    185,    908,    3 235,    7 623,,,  18,    8 348,    7 973,    5 763,    3 429,    1 746,    896,    426,    254,    160,    1 387
  19,-,-,-,-,-,-,    259,    1 427,    5 529,    16 255,    32 031,,,  19,    31 282,    25 397,    16 818,    8 666,    4 628,    1 952,    829,    443,    204,    1 224
20-24岁,    1,    255,    1 715,    7 530,    27 907,    91 359,    272 510,    687 473,    1 285 018,    1 830 519,    2 128 503,,,20-24岁,    1 528 173,    922 998,    481 195,    191 451,    68 791,    27 367,    11 718,    6 061,    3 602,    16 893
  20,-,-,-,-,-,    317,    1 841,    7 366,    24 428,    54 843,    94 945,,,  20,    86 880,    60 289,    35 011,    20 012,    8 980,    3 878,    1 965,    777,    414,    2 447
  21,-,-,-,-,    340,    2 049,    8 761,    28 416,    78 631,    171 046,    254 965,,,  21,    187 480,    119 751,    76 217,    34 438,    14 308,    6 353,    2 302,    1 020,    651,    2 783
  22,-,-,-,    341,    1 764,    7 593,    25 766,    77 679,    207 896,    357 261,    385 821,,,  22,    272 632,    189 359,    92 752,    39 916,    17 147,    5 692,    2 194,    1 326,    518,    3 596
  23,-,-,    304,    1 557,    6 241,    22 102,    67 544,    188 040,    395 991,    513 067,    549 533,,,  23,    426 743,    238 535,    1 19 239,    54 273,    14 971,    4 814,    2 643,    1 065,    752,    3 529
  24,    1,    255,    1 411,    5 632,    19 562,    59 298,    168 598,    385 972,    578 072,    734 302,    843 239,,,  24,    554 438,    315 064,      157 976,    42 812,    13 385,    6 630,    2 614,    1 873,    1 267,    4 538
25-29岁,    21 199,    39 290,    98 584,    218 293,    453 242,    894 906,    1 610 573,    2 586 279,    3 771 036,    4 511 796,    4 236 079,,,25-29岁,    2 357 523, 1 091 504,    475 074,    199 353,    83 206,    33 727,    16 694,    9 565,    6 197,    24 967
  25,    268,    1 063,    4 252,    14 388,    41 575,    121 218,    278 650,    447 960,    669 183,    935 480,    928 475,,,  25,    584 954,    341 047,    110 624,    34 552,    16 446,    5 845,    3 566,    2 096,    1 443,    5 598
  26,    1 037,    3 330,    10 835,    29 984,    82 407,    191 905,    325 212,    535 940,    860 666,    993 759,    1 01 3 209,,,  26,    747 884,    270 405,    92 082,    46 801,    16 841,    8 228,    3 741,    2 061,    1 434,    6 600
  27,    3 667,    8 674,    24 010,    63 579,    143 647,    247 540,    435 876,    729 191,    984 877,    1 267 733,    1 405 178,,,  27,    572 845,    212 058,    127 370,    49 746,    24 484,    9 210,    4 158,    2 464,    1 451,    5 956
  28,    6 505,    11 671,    29 591,    62 219,    105 097,    183 489,    320 016,    491 000,    707 851,    904 907,    591 636,,,  28,    235 847,    153 005,    71 544,    38 613,    14 463,    5 797,    2 939,    1 684,    1 025,    4 017
  29,    9 722,    14 552,    29 896,    48 123,    80 516,    150 754,    250 819,    382 188,    548 459,    409 917,    297 581,,,  29,    215 993,    114 989,    73 454,    29 641,    10 972,    4 647,    2 290,    1 260,    844,    2 796
