,,,,,,,,,,,,,,,,,,
表7-1省、自治区、直辖市各种文化程度人口分性别的婚姻状况,,,,,,,,,,,,,,,    婚姻状况(续08)单位：人,,,
    单位：人,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    文化程度,    离婚,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    和地区别,,,
    和地区别,,,,,,    女,    小计,    男,    女,    小计,    男,    女,,,,    小计,    男,    女
,  合计,    男,    女,  小计,    男,,,,,,,,,,总计,    4 837 600,    3 473 005,    1 364 595
总计,    817 508 784,    418 956 809,    398 551 975,    205 404 790,    121 303 468,    84 101 322,    557 373 062,    278 265 597,    279 107 465,    49 893 332,    15 914 739,    33 978 593,,,北京市,    62 739,    33 301,    29 438
北京市,    8 638 368,    4 467 355,    4 171 013,    1 911 375,    1 156 369,    755 006,    6 236 528,    3 157 964,    3 078 564,    427 726,    119 721,    308 005,,,天津市,    38 302,    22 158,    16 144
天津市,    6 790 611,    3 440 624,    3 349 987,    1 308 577,    751 753,    556 824,    5 071155,    2 551474,    2 519 681,    372 577,    115 239,    257 338,,,河北省,    209 251,    165 705,    43 546
河北省,    43 345 829,    22 021 951,    21 323 878,    9 129 348,    5 328 785,    3 800 563,    31 356 884,    15 610 193,    15 746 691,    2 650 346,    917 268,    1 733 078,,,山西省,    160 377,    133 884,    26 493
山西省,    20 664 019,    10 737 904,    9 926 115,    5 009 046,    3 041 590,    1 967 456,    14 289 920,    7 160 824,    7 129 096,    1 204 676,    401 606,    803 070,,,内蒙古自治区,    85 169,    61 386,    23 783
内蒙古自治区,    15 352 800,    8 008 278,    7 344 522,    4 063 648,    2 407 859,    1 655 789,    10 473 741,    5 242 137,    5 231 604,    730 242,    296 896,    433 346,,,辽宁省,    219 729,    130 059,    89 670
辽宁省,    30 297 154,    15 421 540,    14 875 614,    6 388 673,    3 688 955,    2 699 718,    22 164 100,    11 061 402,    11 102 698,    1 524 652,    541 124,    983 528,,,吉林省,    145 384,    89 660,    55 724
吉林省,    18 209 065,    9 302 868,    8 906 197,    4 124 576,    2 358 123,    1 766 453,    13 014 624,    6 497 813,    6 516 811,    924 481,    357 272,    567 209,,,黑龙江省,    194 085,    117 534,    76 551
黑龙江省,    25 847 727,    13 243 332,    12 604 395,    6 228 375,    3 544 032,    2 684 343,    18 186 538,    9 102 387,    9 084 151,    1 238 729,    479 379,    759 350,,,上海市,    101 875,    51 257,    50 618
上海市,    10 910 018,    5 559 771,    5 350 247,    1 972 057,    1 243 858,    728 199,    8 140 821,    4 115 965,    4 024 856,    695 265,    148 691,    546 574,,,江苏省,    210 481,    154 789,    55 692
江苏省,    51 133 135,    25 821 657,    25 311 478,    11 069 496,    6 529 651,    4 539 845,    36 547 626,    18 224 051,    18 323 575,    3 305 532,    913 166,    2 392 366,,,浙江省,    205 711,    167 859,    37 852
浙江省,    31 793 866,    16 299 044,    15 494 822,    7 720 684,    4 694 250,    3 026 434,    21 823 640,    10 876 975,    10 946 665,    2 043 831,    559 960,    1 483 871,,,安徽省,    210 531,    174 928,    35 603
安徽省,    40 231 450,    20 680 933,    19 550 517,    11 124 726,    6 544 776,    4 579 950,    26 419 190,    13 181 639,    13 237 551,    2 477 003,    779 590,    1 697 413,,,福建省,    114 867,    94 550,    20 317
福建省,    20 591 773,    10 526 911,    10 064 862,    5 174 409,    3 124 679,    2 049 730,    13 959 395,    6 958 1 56,    7 001 239,    1 343 102,    349 526,    993 576,,,江西省,    153 036,    123 532,    29 504
