,,,,,,,,,,,,,,,,,,
  表7-4省、自治区、直辖市的县各科文化程度人口分性别的婚姻状况(第二口径),,,,,,,,,,,,,,,表7-4省、自治区、直辖市的县各种文化程度人口分性别的,,,
    单位：人,,,,,,,,,,,,,,,    婚姻状况(第二口径)(续08)单位：人,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    文化程度,    离婚,,
    和地区别,,,,,,    女,  小计,    男,    女,    小计,    男,    女,,,    和地区别,,,
,  合计,    男,    女,  小计,    男,,,,,,,,,,,    小计,    男,    女
总计,    587 481 175,    299 144 221,    288 336 954,    147 398 587,    87 498 969,    59 899 618,    398 088 476,    196 078 458,    202 010 018,    38 838 583,    13 043 967,    25 794 616,,,总计,    3 155 529,    2 522 827,    632 702
北京市,    2 137 676,    1 053 241,    1 084 435,    426 530,    242 850,    183 680,    1 567 135,    758 884,    808 251,    132 803,    43 286,    89 517,,,北京市,    11 208,    8 221,    2 987
天津市,    1 932 096,    954 505,    977 591,    396 261,    221 854,    174 407,    1 410 479,    685 274,    725 205,    118 254,    41 703,    76 551,,,天津市,    7 102,    5 674,    1 428
河北省,    34 315 491,    17 216 437,    17 099 054,    7 262 421,    4 262 402,    3 000 019,    24 611 079,    12 009 588,    12 601 491,    2 276 808,    805 873,    1 470 935,,,河北省,    165 183,    138 574,    26 609
山西省,    14 337 328,    7 299 926,    7 037 402,    3 416 376,    2 093 099,    1 323 277,    9 833 706,    4 769 859,    5 063 847,    964 574,    328 680,    635 894,,,山西省,    122 672,    108 288,    14 384
内蒙古自治区,    9 464 753,    4 986 375,    4 478 378,    2 503 726,    1 523 876,    979 850,    6 403 106,    3 197 141,    3 205 965,    509 696,    224 994,    284 702,,,内蒙古自治区,    48 225,    40 364,    7 861
辽宁省,    14 370 942,    7 353 205,    7 017 737,    3 177 341,    1 833 873,    1 343 468,    10 302 349,    5 128 818,    5 173 531,    819 099,    335 948,    483 151,,,辽宁省,    72 153,    54 566,    17 587
吉林省,    10 168 322,    5 249 797,    4 918 525,    2 276 973,    1 325 758,    951 215,    7 266 751,    3 629 539,    3 637 212,    562 577,    246 664,    315 913,,,吉林省,    62 021,    47 836,    14 185
黑龙江省,    12 887 678,    6 679 269,    6 208 409,    3 092 946,    1 789 914,    1 303 032,    9 050 313,    4 528 869,    4 521 444,    671 414,    303 470,    367 944,,,黑龙江省,    73 005,    57 016,    15 989
上海市,    3 582 377,    1 735 594,    1 846 783,    555 014,    317 765,    237 249,    2 775 127,    1 353 365,    1 421 762,    234 355,    53 462,    180 893,,,上海市,    17 881,    1 1 002,    6 879
江苏省,    39 534 527,    19 768 888,    19 765 639,    8 385 808,    4 923 451,    3 462 357,    28 295 463,    13 958 240,    14 337 223,    2 709 202,    770 931,    1 938 271,,,江苏省,    144 054,    116 266,    27 788
浙江省,    21 530 337,    11 046 863,    10 483 474,    5 275 834,    3 244 565,    2 031 269,    14 671 838,    7 264 775,    7 407 063,    1 451 517,    420 452,    1 031 065,,,浙江省,    131 148,    117 071,    14 077
