表7—5 全国15岁及15岁以上人口分年龄和文化程度的婚姻状况,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,表7-5全国15岁及15岁以上人口分年龄和文化程度的,,,
    单位：人,,,,,,,,,,,,,,,    婚姻状况(续13)单位：人,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    文化程度,    离婚,,
    和年龄别,,,,,,    女,    小计,    男,    女,    小计,    男,    女,,,    和年龄别,,,
,  合计,    男,    女,  小计,    男,,,,,,,,,,,    小计,    男,    女
总计,    817 508 784,    418 956 809,    398 551 975,    205 404 790,  121 303 468,    84 101 322,    557 373 062,    278 265 597,    279 107 465,    49 893 332,    15 914 739,    33 978 593,,,总计,    4 837 600,    3 473 005,    1 364 595
15-19岁,    120 158 421,    61 650 589,    58 507 832,    116 310 775,    60 540 883,    55 769 892,    3 803 740,    1 097 426,    2 706 314,    6 976,    3 314,    3 662,,,15—19岁,    36 930,    8 966,    27 964
  15,    21 643 791,    11 123 627,    10 520 164,    21 606 562,    11 110 971,    10 495 591,    36 017,    12 172,    23 845,    424,    237,    187,,,  15,    788,    247,    541
  16,    23 487 567,    12 043 876,    11 443 691,    23 372 974,    12 013 248,    11 359 726,    112 189,    29 939,    82 250,    570,    327,    243,,,  16,    1 834,      362,    1 472
  17,    24 536 599,    12 581 345,    11 955 254,    24 182 803,    12 489 421,    11 693 382,    348 526,    90 501,    258 025,    1 036,    564,    472,,,  17,    4 234,    859,    3 375
  18,    24 496 002,    12 567 848,    11 928 154,    23 507 766,    12 300 494,11 207 272,    973 801,    264 071,    709 730,    1 837,    838,    999,,,  18,    12 598,    2 445,    10 153
  19,    25 994 462,    13 333 893,    12 660 569,    23 640 670,    12 626 749,    11 013 921,    2 333 207,    700 743,    1 632 464,    3 109,    1 348,    1 761,,,  19,    17 476,    5 053,    12 423
20—24岁,    125 761 174,    64 233 023,    61 528 151,    65 559 614,  40 115 955,    25 443 659,    59 831 470,    23 931 228,    35 900 242,    83 695,    42 547,    41 148,,,20—24岁,    286 395,    143 293,    143 102
  20,    26 036 065,    13 191 336,    12 844 729,    20 841 594,  11 634 752,    9 206 842,    5 154 782,    1 541 589,    3 613 193,    6 323,    2 697,    3 626,,,  20,    33 366,    12 298,    21 068
