表7——6全国市15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径),,,,,,,,,,,,,,,,,,
单位：人,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    和年龄别,,,,,,    和年龄别,,,,,,,,,,,,
,    合计,    男,    女,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
总计,    165 266 592,    85 559 730,    79 706 862,,,,,,,,,,,,,,,
15-19岁,    20 083 951,    10 386 518,    9 697 433,,,总计,    41 764 060,    24 581 228,    17 182 832,    114 044 428,    58 131 576,    55 912 852,    8 188 973,    2 139 642,    6 049 331,    1 269 131,    707 284,    561 847
  15,    3 092 747,    1 587 699,    1 505 048,,,15—19岁,    19 837 154,    10 319 432,    9 517 722,    244 410,    66 208,    178 202,    644,    322,    322,    1 743,    556,    1 187
  16,    3 479 609,    1 774 717,    1 704 892,,,  15,    3 090 543,    1 586 770,    1 503 773,    2 096,    869,    1 227,    62,    38,    24,    46,    22,    24
  17,    4 116 353,    2 109 088,    2 007 265,,,  16,    3 473 718,    1 772 835,    1 700 883,    5 743,    1 828,    3 915,    54,    22,    32,    94,    32,    62
  18,    4 447 833,    2 309 803,    2 138 030,,,  17,    4 096 987,    2 103 999,    1 992 988,    19 080,    4 979,    14 101,        85,    52,    33,    201,    58,    143
  19,    4 947 409,    2 605 211,    2 342 198,,,  18,    4 390 244,    2 294 838,    2 095 406,56 982,    14 750,    42 232,    173,    90,    83,    434,    125,    309
20—24岁,    23 831 097,    12 649 909,    11 181 188,,,  19,    4 785 662,    2 560 990,    2 224 672,    160 509,    43 782,    116 727,    270,    120,    150,    968,    319,    649
  20,    5 087 259,    2 703 426,    2 383 833,,,20-24岁,    16 307 728,    9 844 699,    6 463 029,    7 476 244,    2 786 990,    4 689 254,    8 608,    3 335,    5 273,    38 517,    14 885,    23 632
  21,    5 380 561,    2 859 203,    2 521 358,,,  20,    4 651 550,    2 588 997,    2 062 553,    433 117,    113 517,    319 600,    553,    217,    336,    2 039,    695,    1 344
  22,    4 670 509,    2 489 846,    2 180 663,,,  21,    4 458 548,    2 594 453,    1 864 095,    916 875,    262 962,    653 913,    1 013,    383,    630,    4 125,    1 405,    2 720
  23,    4 027 485,    2 137 072,    1 890 413,,,  22,    3 284 216,    2 000 837,    1 283 379,    1 378 569,    486 267,    892 302,    1 456,    551,    905,    6 268,    2 191,    4 077
  24,    4 665 283,    2 460 362,    2 204 921,,,  23,    2 117 312,    1 393 887,    723 425,    1 898 487,    738 679,    1 1 59 808,    2 151,    819,    1 332,    9 535,    3 687,    5 848
25—29岁,    23 062 203,    12 100 237,    10 961 966,,,  24,    1 796 102,    1 266 525,    529 577,    2 849 196,    1 185 565,    1 663 631,    3 435,    1 365,    2 070,    16 550,    6 907,    9 643
  25,    4 909 801,    2 594 638,    2 315 163,,,25—29岁,    3 764 939,    2 886 296,    878 643,    19 087 297,    9 118 302,    9 968 995,    31 307,    11 788,    19 519,    178 660,    83 851,    94 809
  26,    5 650 284,    2 962 694,    2 687 590,,,  25,    1 323 569,    986 035,    337 534,    3 556 322,    1 595 675,    1 960 647,    4 891,    1 897,    2 994,    25 019,    11 031,    13 988
  27,    6 034 933,    3 171 402,    2 863 531,,,  26,    1 055 782,    813 499,    242 283,    4 550 030,    2 129 543,    2 420 487,    6 613,    2 413,    4 200,    37 859,    17 239,    20 620
  28,    3 400 485,    1 782 716,    1 617 769,,,  27,    786 222,    614 025,    172 197,    5 191 389,    2 530 904,    2 660 485,    8 381,    3 229,    5 152,    48 941,    23 244,    25 697
  29,    3 066 700,    1 588 787,    1 477 913,,,  28,    353 123,    277 645,    75 478,    3 010 018,    1 487 657,    1 522 361,    5 861,    2 218,    3 643,    31 483,    15 196,    16 287
30—34岁,    20 028 986,    10 441 880,    9 587 106,,,  29,    246 243,    195 092,    51 151,    2 779 538,    1 374 523,    1 405 015,    5 561,    2 031,    3 530,    35 358,    17 141,    18 217
  30,    3 747 163,    1 962 136,    1 785 027,,,30-34岁,    783 017,    630 004,    153 013,    18 938 056,    9 659 468,    9 278 588,    57 003,    21 099,    35 904,    250 910,    131 309,    119 601
  31,    3 555 770,    1 866 045,    1 689 725,,,  30,    216 249,    174 605,    41 644,    3 477 442,    1 761 599,    1 715 843,    7 949,    2 920,    5 029,    45 523,    23 012,    22 51 1
  32,    4 522 110,    2 366 817,    2 155 293,,,  31,    161 360,    130 424,    30 936,    3 340 289,    1 708 614,    1 631 675,    8 879,    3 300,    5 579,    45 242,    23 707,    21 535
  33,    4 189 556,    2 172 427,    2 017 129,,,  32,    167 363,    135 699,    31 664,    4 285 441,      2 196 392,    2 089 049,    12 713,    4 809,    7 904,    56 593,    29 917,    26 676
  34,    4 014 387,    2 074 455,    1 939 932,,,  33,    129 390,    103 142,    26 248,    3 994 212,    2 036 450,    1 957 762,    13 234,    5 016,    8 218,    52 720,    27 819,    24 901
35—39岁,    18 420 810,    9 505 759,    8 915 051,,,  34,    108 655,    86 134,    22 521,    3 840 672,    1 956 413,    1 884 259,    14 228,    5 054,    9 174,    50 832,    26 854,    23 978
  35,    4 258 548,    2 201 781,    2 056 767,,,35—39岁,    379 257,    304 006,    75 251,    17 716 496,    9 048 637,    8 667 859,    105 866,    35 871,    69 995,    219 191,    117 245,    101 946
  36,    4 001 295,    2 060 055,    1 941 240,,,  35,    101 448,    80 644,    20 804,    4 086 592,    2087 153,    1 999 439,    17 905,    6 319,    11 586,    52 603,    27 665,    24 938
  37,    3 613 089,    1 858 312,    1 754 777,,,  36,    86 645,    69 117,    17 528,    3 846 160,    1 958 065,    1 888 095,    19 341,    6 703,    12 638,    49 149,    26 170,    22 979
  38,    3 474 654,    1 793 260,    1 681 394,,,  37,    72 551,    58 538,    14 013,    3 476 707,    1 769 619,    1 707 088,    20 885,    7 116,    13 769,    42 946,    23 039,    19 907
  39,    3 073 224,    1 592 351,    1 480 873,,,  38,    65 467,    52 825,    12 642,    3 345 988,    1 711 090,    1 634 898,    23 472,    7 858,    15 614,    39 727,    21 487,    18 240
40-44岁,    12 915 487,    6 766 633,    6 148 854,,,  39,    53 146,    42 882,    10 264,    2 961 049,    1 522 710,    1 438 339,    24 263,    7 875,    16 388,    34 766,    18 884,    15 882
  40,    3 184 503,    1 672 512,    1 511 991,,,40—44岁,    203 249,    170 553,    32 696,    12 398 033,    6 461 236,    5 936 797,    168 152,    50 847,    117 305,        146 053,    83 997,    62 056
  41,    2 617 717,    1 363 701,    1 254 016,,,  40,    54 113,    44 343,    9 770,    3 063 704,    1 597 976,    1 465 728,    30 141,    9 574,    20 567,    36 545,    20 619,    15 926
  42,    2 483 048,    1 299 425,    1183 623,,,  41,    43 266,    35 662,    7 604,    2 514 039,    1 301 654,    1 212 385,    29 913,    9 167,    20 746,    30 499,    17 218,    13 281
  43,    2 419 729,    1 274 322,    1 145 407,,,  42,    39 217,    32 865,    6 352,    2 382 957,    1 240 430,    1 142 527,    32 801,    9 998,    22 803,    28 073,    16 132,    11 941
  44,    2 210 490,    1 156 673,    1 053 817,,,  43,    35 409,    30 255,    5 154,    2 320 750,    1 217 343,    1 103 407,    36 603,    10 927,    25 676,    26 967,    15 797,    1 1 170
