表7—7  全国镇15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,表7-7全国镇15岁及15岁以上人口分年龄和文化程度的,,,
        单位：人,,,,,,,,,,,,,,,    婚姻状况(第二口径)(续13)单位：人,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    文化程度,    离婚,,
    和年龄别,,,,,,,,,,,,,,,    和年龄别,,,
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,    小计,    男,    女
总计,    64 761 017,    34 252 858,    30 508 159,    16 242 143,    9 223 271,    7 018 872,    45 240 158,    24 055 563,    21 184 595,    2 865 776,    731 130,    2 134 646,,,总计,    412 940,    242 894,    170 046
15—19岁,    8 773 035,    4 469 956,    4 303 079,    8 624 723,    4 424 512,    4 200 211,    146 379,    44 868,    101 511,    355,    145,    210,,,15-19岁,    1 578,    431,    1 147
  15,    1 456 954,    748 690,    708 264,    1 455 571,    748 092,    707 479,    1 312,    573,    739,    26,    12,    14,,,  15,    45,    13,    32
  16,    1 612 870,    818 879,    793 991,    1 609 250,    817 573,    791 677,    3 514,    1 271,    2 243,    32,    19,    13,,,  16,    74,    16,    58
  17,    1 819 428,    923 654,    895 774,    1 807 773,    919 895,    887 878,    11 426,    3 676,    7 750,    51,    29,    22,,,  17,    178,    54,    124
  18,    1 890 972,    964 872,    926 100,    1 855 415,    954 042,    901 373,    34 991,    10 685,    24 306,    90,    36,    54,,,  18,    476,    109,    367
  19,    1 992 811,    1 013 861,    978 950,    1 896 714,    984 910,    911 804,    95 136,    28 663,    66 473,    156,    49,    107,,,  19,    805,    239,    566
20—24岁,    9 795 078,    4 999 402,    4 795 676,    6 018 444,    3 539 952,    2 478 492,    3 748 249,    1 448 086,    2 300 163,    4 483,    1 522,    2 961,,,20-24岁,    23 902,    9 842,    14 060
  20,    2 008 537,    1 013 494,    995 043,    1 764 490,    943 840,    820 650,    241 882,    68 964,    172 918,    336,    123,    213,,,  20,    1 829,    567,    1 262
  21,    2 070 120,    1 041 559,    1 028 561,    1 582 242,    890 780,    691 462,    484 544,    149 613,    334 931,    534,    174,    360,,,  21,    2 800,    992,    1 808
  22,    1 881 166,    959 590,    921 576,    1 176 449,    705 612,    470 837,    699 776,    252 127,    447 649,    831,    276,    555,,,  22,    4 110,    1 575,    2 535
  23,    1 778 348,    916 166,    862 182,    821 224,    532 662,    288 562,    950 084,    380 545,    569 539,        1 108,    382,    726,,,  23,    5 932,    2 577,    3 355
  24,    2 056 907,    1 068 593,    988 314,    674 039,    467 058,    206 981,    1 371 963,    596 837,    775 126,    1 674,    567,    1 107,,,  24,    9 231,    4 131,    5 100
25—29岁,    9 362 233,    4 924 477,    4 437 756,    1 113 894,    838 346,    275 548,    8 161 362,    4 045 801,    4 115 561,    14 539,    4 704,    9 835,,,25—29岁,    72 438,    35 626,    36 812
  25,    2 155 781,    1 130 140,    1 025 641,    464 685,    339 552,    125 133,    1 676 116,    783 955,    892 161,    2 330,    797,    1 533,,,  25,    12 650,    5 836,    6 814
  26,    2 291 404,    1 200 700,    1 090 704,    307 373,    232 882,    74 491,    1 964 254,    958 832,    1 005 422,    3 135,      1 054,    2 081,,,  26,    16 642,    7 932,    8 710
  27,    2 411 913,    1 274 314,    1 137 599,    205 933,    159 1 58,    46 775,    2 182 713,    1 104 275,    1 078 438,    3 878,    1 261,    2 617,,,  27,    19 389,    9 620,    9 769
  28,    1 411 371,    745 364,    666 007,    87 754,    68 707,    19 047,    1 308 158,    669 235,    638 923,    2 799,    887,    1 912,,,  28,    12 660,    6 535,    6 125
  29,    1 091 764,    573 959,    517 805,    48 149,    38 047,    10 102,    1 030 121,    529 504,    500 617,    2 397,    705,    1 692,,,  29,    11 097,    5 703,    5 394
30—34岁,    7 363 440,    3 920 724,    3 442 716,    156 712,    130 177,    26 535,    7 110 190,    3 744 090,    3 366 100,    23 842,    7 138,    16 704,,,30-34岁,    72 696,    39 319,    33 377
  30,    1 344 193,    716 761,    627 432,    42 599,    34 468,    8 131,    1 283 886,    673 625,    610 261,    3 383,    1 034,    2 349,,,  30,    14 325,    7 634,    6 691
  31,    1 310 224,    701 686,    608 538,    32 676,    26 946,    5 730,    1 260 526,    666 353,    594 173,    3 669,    1 165,    2 504,,,  31,    13 353,    7 222,    6 131
  32,    1 678 565,    897 824,    780 741,    33 230,    27 920,    5 310,    1 623 319,    859 115,    764 204,    5 272,    1 611,    3 661,,,  32,    16 744,    9 178,    7 566
  33,    1 547 516,    818 908,    728 608,    25 979,    21 909,    4 070,    1 501 467,    787 587,    713 880,    5 485,    1 591,    3 894,,,  33,    14 585,    7 821,    6 764
  34,    1 482 942,    785 545,    697 397,    22 228,    18 934,    3 294,    1 440 992,    757 410,    683 582,    6 033,    1 737,    4 296,,,  34,    13 689,    7 464,    6 225
35—39岁,    7 095 010,    3 801 175,    3 293 835,    88 620,    77 902,    10 718,    6 899 490,    3 676 702,    3 222 788,    44 041,    12 065,    31 976,,,35—39岁,    62 859,    34 506,    28 353
  35,    1 605 234,    854 106,    751 128,    22 552,    19 547,    3 005,    1 560 329,    824 482,    735 847,    7 432,    2 114,    5 318,,,  35,    14 921,    7 963,    6 958
  36,    1 525 556,    810 443,    715 113,    19 575,    17 023,    2 552,    1 483 924,    783 620,    700 304,    8 216,    2 275,    5 941,,,  36,    13 841,    7 525,    6 316
