表7—8全国县15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径),,,,,,,,,,,,,,,,,,
单位：人,,,,,,表7-8全国县15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径)(续13),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,,,单位：人,,,,,,,,,,,,
    和年龄别,,,,,,,,,,,,,,,,,,
,    合计,    男,    女,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
总计,    587 481 175,    299 144 221,    288 336 954,,,    和年龄别,,,,,,,,,,,,
15-19岁,    91 301 435,    46 794 115,    44 507 320,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女
  15,    17 094 090,    8 787 238,    8 306 852,,,总计,    147 398 587,    87 498 969,    59 899 618,    398 088 476,    196 078 458,    202 010 018,    38 838 583,    13 043 967,    25 794 616,    3 155 529,    2 522 827,    632 702
  16,    18 395 088,    9 450 280,    8 944 808,,,15-19岁,    87 848 898,    45 796 939,    42 051 959,    3 412 951,    986 350,    2 426 601,    5 977,    2 847,    3 130,    33 609,    7 979,    25 630
  17,    18 600 818,    9 548 603,    9 052 215,,,  15,    17 060 448,    8 776 109,    8 284 339,    32 609,    10 730,    21 879,    336,    187,    149,    697,    212,    485
  18,    18 157 197,    9 293 173,    8 864 024,,,  16,    18 290 006,    9 422 840,    8 867 166,    102 932,    26 840,    76 092,    484,    286,    198,    1 666,    314,    1 352
  19,    19 054 242,    9 714 821,    9 339 421,,,  17,    18 278 043,    9 465 527,    8 812 516,    318 020,    81 846,    236 174,    900,    483,    417,    3 855,    747,    3 108
20-24岁,    92 134 999,    46 583 712,    45 551 287,,,  18,    17 262 107,    9 051 614,    8 210 493,    881 828,    238 636,    643 192,    1 574,    712,    862,    11 688,    2 211,    9 477
  20,    18 940 269,    9 474 416,    9 465 853,,,  19,    16 958 294,    9 080 849,    7 877 445,    2 077 562,    628 298,    1 449 264,    2 683,    1 179,    1 504,    15 703,    4 495,    11 208
  21,    19 704 998,    9 919 897,    9 785 101,,,20-24岁,    43 233 442,  26 731 304,    16 502 138,    48 606 977,    19 696 152,    28 910 825,    70 604,    37 690,    32 914,    223 976,    118 566,    105 410
  22,    18 000 403,    9 136 891,    8 863 512,,,  20,    14 425 554,    8 101 915,    6 323 639,    4 479 783,    1 359 108,    3 120 675,    5 434,    2 357,    3 077,    29 498,    11 036,    18 462
  23,    17 017 332,    8 637 803,    8 379 529,,,  21,    11 961 690,    7 235 534,    4 726 156,    7 700 505,    2 664 271,    5 036 234,    9 184,    4 254,    4 930,    33 619,    15 838,    17 781
  24,    18 471 997,    9 414 705,    9 057 292,,,  22,    7 998 879,    5 142 268,    2 856 611,    9 943 985,    3 964 948,    5 979 037,    13 236,    6 737,    6 499,    44 303,    22 938,    21 365
25-29岁,    71 843 089,    36 488 269,    35 354 820,,,  23,    5 098 718,    3 502 145,    1 596 573,    11 849 741,    5 096 545,    6 753 196,    17 834,    9 916,    7 918,    51 039,    29 197,    21 842
  25,    17 455 032,    8 869 087,    8 585 945,,,  24,    3 748 601,    2 749 442,    999 159,    14 632 963,    6 611 280,    8 021 683,    24 916,    14 426,    10 490,    65 517,    39 557,    25 960
  26,    17 345 801,    8 795 621,    8 550 180,,,25—29岁,    6 243 499,    5 218 138,    1 025 361,    65 106 497,    30 948 236,    34 158 261,    166 744,    99 665,    67 079,    326 349,    222 230,    104 119
  27,    18 580 018,    9 520 865,    9 059 153,,,  25,    2 373 185,    1 862 250,    510 935,    14 977 469,  6 942 544,    8 034 925,    30 311,    17 654,    12 657,    74 067,    46 639,    27 428
  28,    11116 206,    5 616 865,    5 499 341,,,  26,    1 616 443,    1 353 329,    263 114,    15 616 299,  7 369 598,    8 246 701,    36 243,    21 719,    14 524,    76 816,    50 975,    25 841
  29,    7 346 032,    3 685 831,    3 660 201,,,  27,    1 266 882,    1 106 897,    159 985,    17 183 705,  8 328 450,    8 855 255,    45 643,    27 531,    18 1 12,    83 788,    57 987,    25 801
30-34岁,    56 483 281,    29 343 529,    27 139 752,,,  28,    620 029,    557 297,    62 732,    10 410 976,  5 002 228,    5 408 748,    31 577,    18 940,    12 637,    53 624,    38 400,    15 224
  30,    9 351 763,    4 840 780,    4 510 983,,,  29,    366 960,    338 365,    28 595,    6 918 048,  3 305 416,    3 612 632,    22 970,    13 821,    9 149,    38 054,    28 229,    9 825
  31,    9 512 632,    4 967 857,    4 544 775,,,30-34岁,    2 445 498,    2 369 534,    75 964,    53 452 164,    26 553 071,    26 899 093,    281 284,    175 849,    105 435,    304 335,    245 075,    59 260
  32,    12 859 691,    6 742 603,    6 117 088,,,  30,    437 087,    414 915,    22 172,    8 825 817,    4 363 308,    4 462 509,    34 829,    21 477,    13 352,    54 030,    41 080,    12 950
  33,    12 613 211,    6 537 406,    6 075 805,,,  31,    444 630,    428 843,    15 787,    8 975 979,    4 471 988,    4 503 991,    40 510,    25 743,    14 767,    51 513,    41 283,    10 230
  34,    12 145 984,    6 254 883,    5 891 101,,,  32,    571 223,    555 863,    15 360,    12 157 644,    6 091 755,    6 065 889,    62 342,    39 345,    22 997,    68 482,    55 640,    12 842
35—39岁,    60 835 992,    31 261 913,    29 574 079,,,  33,    513 863,    501 378,    12 485,    11 965 708,    5 939 718,    6 025 990,    68 400,    42 878,    25 522,    65 240,    53 432,    11 808
  35,    13 513 283,    6 995 488,    6 517 795,,,  34,    478 695,    468 535,    10 160,    11 527 016,    5 686 302,    5 840 714,    75 203,    46 406,    28 797,    65 070,    53 640,    11 430
  36,    12 803 846,    6 581 839,    6 222 007,,,35—39岁,    2 212 768,    2 171 362,    41 406,    57 651 281,    28 427 370,    29 223 911,    596 511,    348 762,    247 749,    375 432,    314 419,    61 013
  37,    12 203 570,    6 257 429,    5 946 141,,,  35,    519 955,    509 870,    10 085,    12 818 146,    6 362 075,    6 456 071,    97 240,    59 483,    37 757,    77 942,    64 060,    13 882
  38,    12 052 214,    6 178 585,    5 873 629,,,  36,    479 803,      471 046,    8 757,    12 141 156,    5 983 295,    6 157 861,    106 792,    64 210,    42 582,    76 095,    63 288,    12 807
  39,        10 263 079,    5 248 572,    5 014 507,,,  37,    447 089,    438 949,    8 140,    11 560 656,    5 684 193,    5 876 463,    120 419,    71 120,    49 299,    75 406,    63 167,    12 239
40—44岁,    45 475 907,    23 587 992,    21 887 915,,,  38,    420 368,    412 493,    7 875,    11 418 210,    5 622 030,    5 796 180,    136 055,    78 497,    57 558,    77 581,    65 565,    12 016
  40,    10 867 584,    5 654 103,    5 213 481,,,  39,    345 553,    339 004,    6 549,    9 713 113,    4 775 777,    4 937 336,    136 005,    75 452,    60 553,    68 408,    58 339,    10 069
  41,    9 312 827,    4 843 110,    4 469 717,,,40—44岁,    1 534 161,    1 500 843,    33 318,    42 626 775,    21 300 966,    21 325 809,    962 766,    483 987,    478 779,    352 205,    302 196,    50 009
  42,    8 889 541,    4 626 129,    4 263 412,,,  40,    372 669,    365 342,    7 327,    10 238 462,    5 125 593,    5 112 869,    174 050,    93 545,    80 505,    82403,    69 623,    12 780
  43,    8 525 854,    4 418 419,    4 107 435,,,  41,    311 218,    304 891,    6 327,    8 759 355,    4 387 358,    4 371 997,    172 084,    90 428,    81 656,    70 170,    60 433,    9 737
  44,    7 880 101,    4 046 231,    3 833 870,,,  42,    299 404,    292 217,    7 187,    8 331 759,    4 178 298,    4 153 461,    189 638,    96 610,    93 028,    68 740,    59 004,    9 736
,,,,,,  43,    285 128,    278 311,    6 817,    7 965 878,    3 980 198,    3 985 680,    207 399,    101 732,    105 667,    67 449,    58 178,    9 271
,,,,,,  44,    265 742,    260 082,    5 660,    7 331 321,    3 629 519,    3 701 802,    219 595,    101 672,    117 923,    63 443,    54 958,    8 485
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7—8全国县15岁及15岁以上人口分年龄和文化程度的,,,,,,表7—8全国县15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径)(续14),,,,,,,,,,,,
    婚姻状况(第二口径)(续01)单位：人,,,,,,,,,,,,,,,,,,
,,,,,,单位：人,,,,,,,,,,,,
    文化程度,    合计,,,,,,,,,,,,,,,,,
    和年龄别,,,,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
,    合计,    男,    女,,,    和年龄别,,,,,,,,,,,,
  45—49岁,    34 990 374,    18 405 928,    16 584 446,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女
    45,    7 524 864,    3 913 416,    3 611 448,,,  45—49岁,    1 179 550,    1 153 412,    26 138,    32 033 597,    16 331 989,    15 701 608,    1 466 990,    648 843,    818 147,    310 237,    271 684,    38 553
    46,    7 179 714,    3 776 831,    3 402 883,,,    45,    255 723,    250 223,    5 500,    6 963 067,    3 498 227,    3 464 840,    241 843,    109 760,    132 083,    64 231,    55 206,    9 025
    47,    6 712 509,    3 544 461,    3 168 048,,,    46,    238 490,    233 297,    5 193,    6 616 538,    3 370 005,    3 246 533,    263 367,    119 875,    143 492,    61 319,    53 654,    7 665
    48,    6 863 562,    3 620 595,    3 242 967,,,    47,    225 397,    220 440,    4 957,    6 148 226,    3 147 258,    3 000 968,    279 684,    124 705,    154 979,    59 202,    52 058,    7 144
    49,    6 709 725,    3 550 625,    3 159 100,,,    48,    235 092,    229 702,    5 390,    6 240 322,    3 193 302,    3 047 020,    324 830,    141 987,    182 843,    63 318,    55 604,    7 714
  50—54岁,    31 889 005,    16 906 593,    14 982 412,,,    49,    224 848,    219 750,    5 098,    6 065444,    3 123 197,    2 942 247,    357 266,    152 516,    204 750,    62 167,    55 162,    7 005
    50,    6 452 390,    3 410 425,    3 041 965,,,  50—54岁,    966 908,    941 476,    25 432,    28 088 623,    14 670 978,    13 417 645,    2 508 815,    1 005 457,    1 503 358,    324 659,    288 682,    35 977
    51,    6 228 628,    3 325 532,    2 903 096,,,    50,    212 424,    207 475,    4 949,    5 777 591,    2 983 898,    2 793 693,    397 542,    162 504,    235 038,    64 833,    56 548,    8 285
    52,    6 450 801,    3 451 783,    2 999 018,,,    51,    194 089,    189 586,    4 503,    5 541 934,    2 902 835,    2 639 099,    431 216,    178 298,    252 918,    61 389,    54 813,    6 576
    53,    6 371 611,    3 369 525,    3 002 086,,,    52,    199 945,    194 253,    5 692,    5 681 584,    2 993 850,    2 687 734,    503 311,    204 606,    298 705,    65 961,    59 074,    6 887
    54,    6 385 575,    3 349 328,    3 036 247,,,    53,    185 525,    179 911,    5 614,    5 564 786,    2 911 330,    2 653 456,    556 030,    219 950,    336 080,    65 270,    58 334,    6 936
  55-59岁,    29 689 475,    15 398 825,    14 290 650,,,    54,    174 925,    170 251,    4 674,    5 522 728,    2 879 065,    2 643 663,    620 716,    240 099,    380 617,    67 206,    59 913,    7 293
    55,    6 192 449,    3 218 841,    2 973 608,,,  55—59岁,    687 716,    663 080,    24 636,    24 680 536,    12 982 635,    11 697 901,    4 001 999,    1 472 674,    2 529 325,    319 224,    280 436,    38 788
    56,    6 227 979,    3 246 917,    2 981 062,,,    55,    162 443,    157 568,    4 875,    5 287 944,    2 748 569,    2 539 375,    675 257,    253 700,    421 557,    66 805,    59 004,    7 801
    57,    6 145 079,    3 198 042,    2 947 037,,,    56,    153 407,    148 273,    5 134,    5 251 722,    2 754 346,    2 497 376,    755 498,    284 476,    471 022,    67 352,    59 822,    7 530
    58,    5 628 546,    2 900 941,    2 727 605,,,    57,    139 515,    134 333,    5 182,    5 116 029,    2 698 836,    2 417 193,    823 904,    307 028,    516 876,    65 631,    57 845,    7 786
    59,    5 495 422,    2 834 084,    2 661 338,,,    58,    120 836,    116 184,    4 652,    4 608 047,    2 429 001,    2 179 046,    838 995,    302 862,    536 133,    60 668,    52 894,    7 774
  60岁及以上,    72 837 618,    34 373 345,    38 464 273,,,    59,    111 515,    106 722,    4 793,    4 416 794,    2 351 883,    2 064 911,    908 345,    324 608,    583 737,    58 768,    50 871,    7 897
文盲、半文盲,    154 082 595,    47 071 222,    107 011 373,,,  60岁及以上,    1 046 147,    952 881,    93 266,    42 429 075,  24 180 711,    18 248 364,    28 776 893,    8 768 193,    20 008 700,    585 503,    471 560,    113 943
  15—19岁,    5 977 950,    1 694 729,    4 283 221,,,文盲、半文盲,    12 701 716,    7 323 934,    5 377 782,  110 059 622,  32 005 438,    78 054 184,    30 205 095,    6 905 340,    23 299 755,    1 116 162,    836 510,    279 652
    15,    1 021 773,    290 503,    731 270,,,  15—19岁,    5 344 207,    1 608 387,    3 735 820,    624 027,    83 756,    540 271,    2 155,    954,    1 201,    7 561,    1 632,    5 929
    16,    1 154 342,    328 474,    825 868,,,    15,    1 010 761,    287 737,    723 024,    10 665,    2 635,    8 030,    169,    83,    86,    178,    48,    130
    17,    1 215 034,    343 618,    871 416,,,    16,    1 122 319,    322 654,    799 665,    31 381,    5 628,    25 753,    200,    114,    86,    442,    78,    364
    18,    1 259 500,    359 003,    900 497,,,    17,    1 134 547,    331 319,    803 228,    79 100,    11 900,    67 200,    403,    186,    217,    984,    213,    771
    19,    1 327 301,    373 131,    954 170,,,    18,    1 081 221,    335 003,    746 218,    175 178,    23 288,    151 890,    616,    256,    360,    2 485,    456,    2 029
  20—24岁,    7 188 561,    1 788 791,    5 399 770,,,    19,    995 359,    331 674,    663 685,    327 703,    40 305,    287 398,    767,    315,    452,    3 472,    837,    2 635
    20,    1 399 085,    375 200,    1 023 885,,,  20—24岁,    2 489 951,    1 171 434,    1 318 517,    4 653 832,    601 688,    4 052 144,    10 348,    3 150,    7 198,    34 430,    12 519,    21 911
    21,    1 478 799,    381 860,    1 096 939,,,    20,    815 877,    304 541,    511 336,    576 036,    68 548,    507 488,    1 370,    468,    902,    5 802,    1 643,    4 159
    22,    1 419 345,    353 535,    1 065 810,,,    21,    647 556,    279 439,    368 117,    823 662,    100 032,    723 630,    1 513,    439,    1 074,    6 068,    1 950,    4 118
    23,    1 390 911,    334 348,    1 056 563,,,    22,    452 378,    225 948,    226 430,    957 644,    124 318,    833 326,    2 064,    594,    1 470,    7 259,    2 675,    4 584
    24,    1 500 421,    343 848,    1 156 573,,,    23,    318 595,    188 220,    130 375,    1 062 471,    142 434,    920 037,    2 414,    733,    1 681,    7 431,    2 961,    4 470
,,,,,,    24,    255 545,    173 286,    82 259,    1 234 019,    166 356,    1 067 663,    2 987,    916,    2 071,    7 870,    3 290,    4 580
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-8全国县15岁及15岁以上人口分年龄和文化程度的,,,,,,表7—8全国县15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径)(续15),,,,,,,,,,,,
    婚姻状况(第二口径)(续02)单位：人,,,,,,,,,,,,,,,,,,
,,,,,,单位：人,,,,,,,,,,,,
    文化程度,    合计,,,,,,,,,,,,,,,,,
    和年龄别,,,,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
,    合计,    男,    女,,,    和年龄别,,,,,,,,,,,,
  25—29岁,    6 661 925,    1 327 764,    5 334 161,,,,  小计,    男,    女,    小计,    男,    女,  小计,    男,    女,    小计,    男,    女
