,,,,,,,,,,,,,,,,,,
表7-9全国各职业大类人口分年龄、性别的婚姻状况,,,,,,,,,,,,,,,表7-9全国各职业大类人口分年龄、性别的婚姻状况(续16),,,
,,,,,,,,,,,,,,,    单位：人,,,
单位：人,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    职业和,    离婚,,
    职业和,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    年龄别,,,
    年龄别,,,,,,,,,,,,,,,,    小计,    男,    女
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,总计,    3 904 193,    2 900 789,    1 003 404
总计,  647 244 706,  356 230 253,  291 014 453,  1 53 339 81 5,  90 838 529,    62 501 286,    475 510 885,    254 595 763,    220 915 122,    14 489 813,    7 895 172,    6 594 641,,,15—19岁,    33 285,    8 304,    24 981
15—19岁,    77 893 648,    37 945 372,    39 948 276,    74 375 144,  36 859 135,    37 516 009,    3 480 453,    1 075 706,    2 404 747,    4 766,    2 227,    2 539,,,  15,    619,    180,    439
  15,    8 405 077,    3 606 202,    4 798 875,    8 373 614,    3 595 613,    4 778 001,    30 657,    10 297,    20 360,    187,    112,    75,,,  16,    1 581,    295,    1 286
  16,    12 758 012,    5 969 407,    6 788 605,    12 656 352,    5 941 216,    6 715 136,    99 778,    27 716,    72 062,    301,    180,    121,,,  17,    3 740,    751,    2 989
  17,    16 498 261,    8 088 555,    8 409 706,    16 178 557,    8 000 112,    8 178 445,    315 344,    87 345,    227 999,    620,    347,    273,,,  18,    11 483,    2 296,    9 187
  18,    18 727 658,    9 385 397,    9 342 261,    17 826 146,    9 123 574,    8 702 572,    888 798,    259 006,    629 792,    1 231,    521,    710,,,  19,    15 862,    4 782,    11 080
  19,    21 504 640,    10 895 81 1,    10 608 829,    19 340 475,  10 198 620,    9 141 855,    2 145 876,    691 342,    1 454 534,    2 427,    1 067,    1 360,,,20—24岁,    260 200,    135 998,    124 202
20-24岁, 114 634 278,    59 488 425,    55 145 853,    58 152 211,  35 610 861,    22 541 350,    56 145 260,    23 700 613,    32 444 647,    76 607,    40 953,    35 654,,,  20,    30 419,    11 733,    18 686
  20,    22 654 789,    1 1 431 732,    11 223 057,    17 847 270,    9 894 283,    7 952 987,    4 771 834,    1 523 400,    3 248 434,    5 266,    2 316,    2 950,,,  21,    36 764,    17 351,    19 413
