,,,,,,,,,,,,,
表8-10全国市不同规模的家庭户类 别,,,,,,,,,,,,,
    单位：户,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,  一代户和,  二代户和,  三代户和,  四代户和,  五代户和,
    户规模,    合计,  单身户,  一对夫妇户,  二代户,  三代户,  四代户,  五代户,  其它亲属,  其它亲属,  其它亲属,  其它亲属,  其它亲属,  其它
,,,,,,,,  及非亲属,  及非亲属,  及非亲属,  及非亲属,  及非亲属,
总计,    86 723 218,    4 027 069,    6 697 768,    56 695 346,    1 3 391 371,    412 241,    383,    849 967,  1 980 991,    847 886,    33 749,    45,  1 786 402
一人户,    5 813 471,    4 027 069,-,-,-,-,-,-,-,-,-,-,  1 786 402
二人户,    11 161 104,-,    6 697 768,    4 042 584,-,-,-,    420 752,-,-,-,-,-
三人户,    26 728 458,-,-,    25 722 836,    456 824,-,-,    264 790,    284 008,-,-,-,-
四人户,    21 343 473,-,-,    17 234 105,    3 231 839,    5 637,-,    95 282,    743 759,    32 851,-,-,-
五人户,    12 540 746,-,-,    7 044 433,    4 633 027,    50 829,    5,    43 691,    551 478,    216 835,    448,-,-
六人户,    5 274 617,-,-,    2 001 487,    2 677 089,    96 522,    21,    13 024,    236 199,    245 516,    4 759,-,-
七人户,    2 231 224,-,-,    498 287,    1 347 010,    99 101,    64,    5 746,    97 747,    174 495,    8 771,    3,-
八人户,    932 784,-,-,    116 922,    599 334,    76 039,    79,    2 807,    37 256,    92 320,    8 019,    8,-
九人户,    384 532,-,-,    26 480,    246 181,    45 579,    84,    1 500,    15 260,    44 061,    5 379,    8,-
十人及十人以上户,    312 809,-,-,    8 212,    200 067,    38 534,    130,    2 375,    15 284,    41 808,    6 373,    26,-
