,,,,,,,,,,,,,,,
表8-13全国分年龄、性别、婚姻状况的一人户,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    年龄别,,,,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
总计,    17 355 508,  10 938 449,    6 417 059,    5 349 260,    4 908 138,    441 122,  3 611 749,  2 468 363,  1 143 386,  7 101 475,  2 543 754,  4 557 721,  1 081 622,    901 062,    180 560
14岁及以下,    21 1 402,    117 132,    94 270,-,-,-,-,-,-,-,-,-,-,-,-
15-19岁,    388 134,    273 855,    114 279,    377 330,    268 979,    108 351,    9 812,    4 200,    5 612,    364,    215,    149,    628,    461,    167
  1 5,    30 421,    19 765,    10 656,    30 289,    19 684,    10 605,    80,    43,    37,    33,    24,    9,    19,    14,    5
  16,    45 030,    30 220,    14 810,    44 783,    30 100,    14 683,    196,    84,    1 12,    23,    16,    7,    28,    20,    8
  17,    68 006,    47 141,    20 865,    67 152,    46 770,    20 382,    736,    302,    434,    73,    39,    34,    45,    30,    15
  18,    97 986,    70 091,    27 895,    95 436,    68 960,    26 476,    2 296,    960,    1 336,    100,    59,    41,    154,    112,    42
  19,    146 691,    106 638,    40 053,    139 670,    103 465,    36 205,    6 504,    2 811,    3 693,    135,    77,    58,    382,    285,    97
20-24岁,    1 336 261,    1 01 5 537,    320 724,    1 027 085,    839 904,    187 181,    285 959,    158 566,    127 393,    4 200,    3 023,    1 177,    19 017,    14 044,    4 973
  20,    202 969,    148 057,    54 912,    183 289,    139 426,    43 863,    18 364,    7 631,    10 733,    256,    143,    113,    1 060,    857,    203
  21,    271 910,    202 710,    69 200,    231 737,    183 651,    48 086,    37 782,    17 286,    20 496,    485,    310,    175,    1 906,    1 463,    443
  22,    277 264,    210 100,    67 164,    216 034,    176 117,    39 917,    57 237,    31 037,    26 200,    757,    507,    250,    3 236,    2 439,    797
  23,    274 963,    211 435,    63 528,    195 475,    165 456,    30 019,    73 528,    41 615,    31 913,    1 106,    828,    278,    4 854,    3 536,    1 318
  24,    309 155,    243 235,    65 920,    200 550,    175 254,    25 296,    99 048,    60 997,    38 051,    1 596,    1 235,    361,    7 961,    5 749,    2 212
25-29岁,    1 174 114,    973 442,    200 672,    585 260,    538 552,    46 708,    510 180,    378 009,    132 171,    10 035,    7 962,    2 073,    68 639,    48 919,    19 720
  25,    298 828,    241 271,    57 557,    173 465,    156 061,    17 404,    112 169,    75 608,    36 561,    1 909,    1 484,    425,    11 285,    8 118,    3 167
  26,    296 859,    244 005,    52 854,    153 721,    140 919,    12 802,    126 121,    90 863,    35 258,    2 286,    1 820,    466,    14 731,    10 403,    4 328
  27,    287 417,    241 337,    46 080,    134 388,    125 278,    9 110,    131 883,    100 738,    31 145,    2 681,    2 140,    541,    18 465,    13 181,    5 284
  28,    163 112,    138 430,    24 682,    71 572,    67 166,    4 406,    77 366,    60 822,    16 544,    1 759,    1 394,    365,    12 415,    9 048,    3 367
  29,    127 898,    108 399,    19 499,    52 114,    49 128,    2 986,    62 641,    49 978,    12 663,    1 400,    1 124,    276,    11 743,    8 169,    3 574
30-34岁,    984 852,    859 309,    125 543,    431 605,    418 517,    13 088,    441 908,    357 168,    84 740,    14 475,    11 773,    2 702,    96 864,    71 851,    25 013
  30,    164 297,    141 816,    22 481,    67 390,    64 516,    2 874,    78 094,    63 441,    14 653,    2 096,    1 645,    451,    16 717,    12 214,    4 503
  31,    168 981,    147 407,    21 574,    72 776,    70 318,    2 458,    76 978,    62 732,    14 246,    2 379,    1 931,    448,    16 848,    12 426,    4 422
  32,    224 470,    196 415,    28 055,    98 690,    95 937,    2 753,    100 801,    81 780,    19 021,    3 278,    2 668,    610,    21 701,    16 030,    5 671
  33,    214 180,    187 386,    26 794,    95 854,    93 270,    2 584,    94 128,    75 814,    18 314,    3 315,    2 734,    581,    20 883,    15 568,    5 315
  34,    212 924,    186 285,    26 639,    96 895,    94 476,    2 419,    91 907,    73 401,    18 506,    3 407,    2 795,    612,    20 715,    15 613,    5 102
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
表8-13全国分年龄、性别、婚姻状况的一人户(续0 1),,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    年龄别,,,,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
35-39岁,    1 097 464,    962 992,    134 472,    532 082,    520 767,    11 315,    439 153,    343 232,    95 921,    21 551,    17 383,    4 168,    104 678,    81 610,    23 068
  35,    239 254,    209 199,    30 055,    111 729,    109 168,    2 561,    100 077,    79 009,    21 068,    4 082,    3 353,    729,    23 366,    17 669,    5 697
  36,    231 000,    202 185,    28 815,    110 575,    108 018,    2 557,    94 127,    73 747,    20 380,    4 229,    3 468,    761,    22 069,    16 952,    5 1 17
  37,    220 706,    194 318,    26 388,    109 140,    106 920,    2 220,    86 317,    67 572,    18 745,    4 411,    3 570,    841,    20 838,    16 256,    4 582
  38,    215 967,    190 133,    25 834,    107 503,    105 360,    2 143,    83 456,    64 890,    18 566,    4 541,    3 630,    911,    20 467,    16 253,    4 214
  39,    190 537,    167 157,    23 380,    93 135,    91 301,    1 834,    75 176,    58 014,    17 162,    4 288,    3 362,    926,    17 938,    14 480,    3 458
40-44岁,    983 507,    855 837,    127 670,    491 377,    482 564,    8 81 3,    364 492,    271 745,    92 747,    33 545,    23 469,    10 076,    94 093,    78 059,    16 034
  40,    219 810,    193 129,    26 681,    109 031,    106 834,    2 197,    83 351,    64 258,    19 093,    5 929,    4 432,    1 497,    21 499,    17 605,    3 894
  41,    192 582,    168 637,    23 945,    96 286,    94 465,    1 821,    72 223,    54 763,    17 460,    5 582,    4 183,    1 399,    18 491,    15 226,    3 265
  42,    191 715,    167 197,    24 518,    96 528,    94 823,    1 705,    70 648,    52 745,    17 903,    6 465,    4 649,    1 816,    18 074,    14 980,    3 094
  43,    193 291,    167 281,    26 010,    96 259,    94 595,    1 664,    71 259,    52 323,    18 936,    7 342,    4 929,    2 41 3,    18 431,    15 434,    2 997
  44,    186 109,    159 593,    26 516,    93 273,    91 847,    1 426,    67 011,    47 656,    19 355,    8 227,    5 276,    2 951,    17 598,    14 814,    2 784
45-49岁,    974 521,    812 614,    161 907,    477 397,    471 131,    6 266,    324 453,    214 503,    109 950,    73 812,    42 067,    31 745,    98 859,    84 913,    13 946
  45,    188 967,    160 673,    28 294,    94 393,    93 061,    1 332,    65 972,    45 778,    20 194,    9 929,    6 088,    3 841,    18 673,    15 746,    2 927
  46,    187 587,    158 404,    29 183,    93 721,    92 489,    1 232,    63 801,    43 216,    20 585,    11540,    6 964,    4 576,    18 525,    15 735,    2 790
  47,    187 612,    156 589,    31 023,    92 212,    91 017,    1195,    62 997,    41 500,    21 497,    13 529,    7 819,    5 710,    18 874,    16 253,    2 621
  48,    203 195,    167 836,    35 359,    98 936,    97 703,    1 233,    65 630,    42 121,    23 509,    17 611,    9 840,    7 771,    21 018,    18 172,    2 846
  49,    207 160,    169 112,    38 048,    98 135,    96 861,    1 274,    66 053,    41 888,    24 165,    21 203,    1 1 356,    9 847,    21 769,    19 007,    2 762
50-54岁,    1 149 517,    880 468,    269 049,    465 550,    458 554,    6 996,    332 796,    201 017,    131 779,    217 796,    102 275,    115 521,    133 375,    118 622,    14 753
