表8—14  全国按户主的妻子年龄分的一对夫妇和子女、其他亲属、非亲属的家庭户状况,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    单位：户,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,  一对夫妇,  一对夫妇,  一对夫妇,,  一对夫妇,  一对夫妇,  一对夫妇,,  一对夫妇,  一对夫妇,  一对夫妇
,,  一对,  一对夫,  一个子女,  一个子女,  一个子女,  一对夫妇,  两个子女,  两个子女,  两个子女,  一对夫妇,  三个及以,  三个及以,  三个及以
    年龄别,  合计,,  妇一个,    和,    和,    和,  两个子女,    和,    和,    和,  三个以上,  上子女和,  上子女和,  上子女和
,,  夫妇户,  子女户,  其他亲属,  非亲属,  其他亲属,    户,  其他亲属,  非亲属,  其他亲属,  子女户,  其他亲属,  其他,  其他亲属
,,,,    户,    户,  非亲属户,,    户,    户,  非亲属户,,    户,  非亲属户,  非亲属户
总计,  145 058 053,    6 667 965,  45 255 646,    1 082 500,    142 487,    12 042,  50 264 620,    1 026 355,    114 960,    8 131,  39 672 798,    734 355,    70 387,    5 807
15-19岁,    695 019,    274 618,    362 688,    13 779,    551,    111,    38 538,    1 357,    64,    6,    3 189,    102,    15,    1
  15,    3 277,    1 569,    1 017,    48,    2,     -,    396,    12,    1,    -,    227,    5,-,-
  16,    12 972,    7 316,    4 592,    244,    9,    1,    525,    15,    1,    -,    262,    7,-,-
  17,    50 567,    25 253,    22 315,    1 090,    34,    8,    1 466,    72,    3,    -,    31 5,    10,    1,-
  18,    166 704,    71 640,    83 504,    3 530,    114,    23,    6 908,    265,    1 1,    1,    680,    23,    5,-
  19,    461 499,    168 840,    251 260,    8 867,    392,    79,    29 243,    993,    48,        5,    1 705,    57,    9,    1
20-24岁,    16 472 976,    2 820 464,    9 459 667,    234 582,    18 784,    2 577,    3 381 304,    79 556,    3 999,        590,    460 491,    10 443,    438,    81
  20,    1 162 755,    387 113,    635 949,    20 146,    954,    196,    106 470,    3 406,    135,    24,    8113,    237,    10,    2
  21,    2 304 300,    592 912,    1 347 751,    36 707,    2 189,    378,    291 535,    7 908,    309,    56,    23 895,    611,    40,    9
  22,    3 179 235,    630 119,    1 887 176,    47 408,    3 303,    495,    539 348,    13 503,    622,    103,    55 773,    1 313,    60,    12
  23,    4 169 223,    61 3 357,    2 416 190,    57 655,    4 676,    669,    929 702,    21 464,    1 148,    147,    121 209,    2 872,    114,    20
  24,    5 657 463,    596 963,    3 172 601,    72 666,    7 662,    839,    1 514 249,    33 275,    1 785,    260,    251 501,    5 410,    214,    38
25-29岁,    30 766 943,    1 317 166,    14 244 624,    335 820,    51 264,    4 1 55,    10 871 142,    225 822,    17 050,    1 993,    3 623 075,    70 308,    3 914,    610
  25,    6 379 255,    460 876,    3 377 717,    78 145,    10 285,    1 012,    1 966 632,    41 401,2 644,    322,    430 810,    8 862,    470,    79
