表8—15  全国民族混合户户数,,,,,,,
,,,,,,,
    单位：户、％,,,,,,,
,,,,,,,
,,  二个民族户,,  三个民族户,,四个及四个以上民族户,
    地区别,  合计,,,,,,
,,  户数,  占合计,  户数,  占合计,,  占合计
,,,  百分比,,  百分比,  户数,
,,,,,,,  百分比
总计,7 394 559, 7 306 793,    98.81,    87 077,    1.18,    689,    0.01
北京市,  102 378,  101 862,    99.50,    509,    0.50,    7,    0.01
天津市,  27 209,    27 152,    99.79,    56,    0.21,    1,-
河北省,  344 274,  342 370,    99.45,    1895,    0.55,    9,-
山西省,    14 896,    14 853,    99.71,    43,    0.29,-,-
内蒙古自治区,  523 503,    518 897,    99.12,    4 587,    0.88,    19,-
辽宁省,  1 108 884, 1 101 830,    99.36,    7 039,    0.63,    15,-
吉林省,  389 548,  388 352,    99.69,    1 192,    0.31,    4,-
黑龙江省,  401 305,  399 778,    99.62,    1 51 5,    0.38,    12,-
上海市,    18 431,    1 8 399,    99.83,    31,    0.17,    1,    0.01
江苏省,    55 793,    55 718,    99.87,    75,    0.13,-,-
浙江省,    51 21 3,    51 189,    99.95,    24,    0.05,-,-
安徽省,    50 611,    50 566,    99.91,    44,0.09,    1,-
福建省,    113 433,    113 239,    99.83,    193,    0.17,    1,-
江西省,    40 243,    40 208,    99.91,    34,    0.08,    1,-
山东省,    42 064,    41 985,    99.81,    77,    0．18,    2,-
河南省,    97 101,    96 945,    99.84,    156,    0.16,-,-
湖北省,  330 589,  326 906,    98.89,    3 675,    1.11,    8,-
湖南省,  578 721,  568 675,    98.26,    10 022,    1.73,    24,-
广东省,  102 775,  102 317,    99.55,    454,    0.44,    4,-
广西壮族自治区,  903 723,  892 978,    98.81,    10 638,    1.18,    107,    0.01
海南省,    43 352,    43 132,    99.49,    215,    0.50,    5,    0.01
四川省,  378 870,  371 989,    98.18,    6 861,    1.81,    20,    0.01
贵州省,  816 406,  794 890,    97.36,    21 274,    2.61,    242,    0.03
云南省,  668 854,  653 811,    97.75,    14 853,    2.22,    190,    0.03
西藏自治区,    3 702,    3 652,    98.65,    49,    1.32,    1,    0.03
陕西省,    20 288,    20 247,    99.80,    40,    0.20,    1,-
甘肃省,    53 207,    52 762,    99.16,    442,    0.83,    3,    0.01
青海省,    43 376,    42 677,    98.39,    692,    1.60,    7,    0.02
宁夏回族自治区,    15 323,    15 272,    99.67,    51,    0.33,     -,  -
新疆维吾尔自治区,    54 487,    54 142,    99.37,    341,    0.63,    4,    0．01
