表8—16  省、自治区、直辖市有老年人口的户数,,,,,,,,,,,,,,,,,,,,,
,,,,,,,    单位：户,,,,,,,,,,,,,,
    单位：户,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,    有一个60岁,,    有两个60岁,,    有三个及以上60,,    有65岁以上,,    有一个65岁,,    有两个65岁,,    有三个及以上65,
,    总户数,,    有60岁以上,,,,,    以上老人的户,,    以上老人的户,,    岁以上老人的户,,    老人的户,,    以上老人的户,,    以上老人的户,,    岁以上老人的户,
    地区别,,,    老人的户,,,,    地区别,,,,,,,,,,,,,,
,    家庭户,    集体户,    家庭户,    集体户,,,,  家庭户,  集体户,  家庭户,  集体户,  家庭户,  集体户,  家庭户,  集体户,  家庭户,  集体户,  家庭户,  集体户,  家庭户,  集体户
总计,    276 911 767,    1 710 285,    73 894 481,    285 593,,,总计,52 056 960,    171 229,  21 385 294,    49 656,    452 227,    64 708, 51 692 189,    159 222, 40 950 682,    98 007, 10 628 291,    24 011,    113 216,    37 204
北京市,    3 101 665,    30 599,    814 945,    4 440,,,北京市,    550 957,    2 930,    258 443,    757,    5 545,    753,    551 735,    2 181,    422 942,    1 546,    127 350,    311,    1 443,    324
天津市,    2 539 286,    12 687,    667 827,    1 968,,,天津市,    448 276,    1 185,    215 845,    334,    3 706,    449,    456 274,    1 068,    349 296,    652,    106 119,    173,    859,    243
河北省,    15 302 097,    63 962,    4 069 791,    13 853,,,河北省,  2 766 676,    7 452,    1271 550,    2 363,    31 565,    4 038,  2 867 761,    7 492,  2 222 265,    3 971,    637 639,    1 138,    7 857,    2 383
山西省,    7 144 111,    42 642,    1 829 925,    7 719,,,山西省,  1 296 148,    4 911,    526 163,    1 325,    7 614,    1 483,  1 281 619,    3 918,  1 024 663,    2 591,    255 185,    586,    1 771,    741
内蒙古自治区,    5 273 146,    20 254,    1 065 052,    2 272,,,内蒙古自治区,    762 787,    1 154,    298 058,      249,    4 207,    869,    710 460,    1 508,    568 432,    617,    140 971,    153,    1 057,    738
辽宁省,    10 810 526,    25 369,    2 569 915,    4 057,,,辽宁省,  1 635 847,    2 007,    913 820,    558,    20 248,    1492,  1 761 480,    2 702,  1 302 496,    1 203,    454 171,    286,    4 813,    1 213
