,,,,,,,,,,,
表8-1省、自治区、直辖市市家庭户的规模,,,,,,,,,,,
    单位：户,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,    十人及十
    地区别,    合计,    一人户,    二人户,    三人户,    四人户,    五人户,    六人户,    七人户,    八人户,    九人户,
,,,,,,,,,,,    人以上户
总计,    86 723 218,    5 813 471,    11 161 104,    26 728 458,  21 343 473,  12 540 746,  5 274 617,    2 231 224,    932 784,    384 532,    312 809
北京市,    2 105 002,    257 218,    414 227,    715 096,    409 208,    182 160,    74 112,    31 356,    12 934,    5 124,    3 567
天津市,    1 753 445,    203 379,    292 197,    669 136,    326 688,    146 170,    63 171,    28 983,    13 809,    5 796,    4 116
河北省,    3 711 702,    223 622,    473 812,    1 163 573,    994 304,    524 986,    194 040,    78 531,    32 374,    13 557,    12 903
山西省,    2 044 285,    126 650,    237 899,    578 341,    549 888,    327 511,    134 176,    53 981,    21 020,    8 579,    6 240
内蒙古自治区,    1 700 386,    80 935,    196 721,    547 402,    447 824,    256 721,    105 554,    40 753,    15 123,    5 613,    3 740
辽宁省,    5 705 433,    243 791,    773 028,    2 447 477,    1 257 969,    637 130,    223 707,    75 842,    30 421,    10 405,    5 663
吉林省,    3 253 992,    111 315,    346 032,    1 137 268,    853 778,    472 467,    200 746,    80 003,    31 560,    12 217,    8 606
黑龙江省,    4 480 726,    145 718,    495 632,    1 564 2 17,    1 154 119,    657 006,    282 497,    11 1 350,    43 372,    16 279,    10 536
上海市,    2 466 572,    277 607,    494 645,    893 047,    435 520,    225 775,    86 617,    34 024,    12 609,    4 248,    2 480
江苏省,    6 384 293,    506 639,    876 900,    2 256 820,    1 489 843,    780 425,    284 280,    110 482,    45 955,    18 545,    14 404
浙江省,    5 072 912,    518 658,    759 946,    1 6 19 692,    1 274 538,    609 883,    197 332,    63 904,    19 884,    6 030,    3 045
安徽省,    2 731 246,    180 767,    324 543,    755 475,    673 716,    452 992,    198 499,    85 652,    34 925,    14 174,    10 503
福建省,    1 492 474,    108 508,    163 626,    360 896,    350 187,    257 091,    127 662,    61 651,    29 798,    14 999,    18 056
江西省,    2 083 077,    104 985,    192 432,    469 823,    538 296,407 820,    200 061,    94 219,    41 678,    18 192,    15 571
山东省,    9 092 533,    593 687,    1 238 847,    2 839 785,    2 392 565,    1 269 137,    475 055,    175 050,    63 657,    24 569,    20 181
河南省,    3 568 101,    202 504,    391 172,    979 666,    900 880,    609 948,    264104,    121 255,    53 458,    24 093,    21 021
湖北省,    6 107 382,    279 476,    634 652,    1 550 393,    1 719 956,    1 116 095,    482 631,    202 205,    77 253,    27 499,    17 222
湖南省,    3 920 686,    278 082,    524 909,    1 079 107,    1 087 047,    621 487,    217 052,    76 219,    24 569,    7 859,    4 355
广东省,    3 707 373,    310 205,    389 446,    821 838,    867 613,    653 227,    339 363,    167 568,    80 545,    38 227,    39 341
广西壮族自治区,    1 700 500,    123 972,    176 457,    368 073,    357 635,    293 148,    179 974,    101 417,    52 897,    24 876,    22 051
海南省,    177 249,    14 414,    17 296,    33 602,    33 446,    28 132,    18 694,    12 670,    8 089,    4 687,    6 219
四川省,    5 463 558,    477 047,    791 391,    1 725 737,    1 303 991,    707 646,    273 153,    109 549,    44 292,    17 201,    13 551
贵州省,    1 449 973,    82 079,    158 707,    336 205,    315 095,    268 542,    152 623,    78 726,    34 837,    14 114,    9 045
云南省,    1 414 101,    94 628,    169 441,    375 164,    345 595,    216 682,    113 199,    56 033,    25 590,    10 530,    7 239
西藏自治区,    44 494,    2 536,    7 712,    9 642,    9 461,    6 262,    2 980,    1 928,    1 399,    969,    1 605
陕西省,    2 009 456,    112 613,    260 396,    582 453,    505 884,    318 889,    137 708,    55 970,    21 069,    8 307,    6 167
甘肃省,    1 410 489,    60 396,    134 549,    372 319,    368 202,    244 946,    1 19 939,    59 619,    28 046,    12 226,    10 247
青海省,    209 677,    12 950,    29 997,    64 608,    48 203,    30 095,    13 461,    5 628,    2 535,    1 125,    1 075
宁夏回族自治区,    305 365,    16 232,    33 972,    84 000,    78 777,    49 667,    24 120,    10 430,    4 517,    1 928,    1 722
新疆维吾尔自治区,    1 156 736,    62 858,    160 520,    327 603,    253 245,    168 706,    88 107,    46 226,    24 569,    12 564,    12 338
