表8-3省、自治区、直辖市县家庭户的规模,,,,,,,,,,,
    单位：户,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,  十人及十
    地区别,    合计,    一人户,    二人户,    三人户,    四人户,    五人户,    六人户,    七人户,    八人户,    九人户,
,,,,,,,,,,,  人以上户
总计,    126 044 096,    7 392 585,    12 394 273,    24 547 223,  33 689 522,  25 054 617,  12 410 617,  5 960 137,  2 626 193,  1 105 637,    863 292
北京市,    466 412,    52 909,    70 092,    122 440,    130 207,    54 480,    22 794,    8 265,    2 991,    1 168,    1 066
天津市,    594 299,    47 414,    76 126,    139 837,    178 930,    88 367,    37 207,    15 015,    5 998,    2 659,    2 746
河北省,    8 135 099,    453 351,    888 386,    1 533 287,    2 422 213,    1 651 651,    676 820,    302 414,    123 441,    46 865,    36 671
山西省,    2 806 900,    203 484,    330 141,    498 016,    762 087,    585 098,    261 471,    106 740,    38 563,    13 396,    7 904
内蒙古自治区,    2 495 307,    125 653,    220 515,    448 059,    703 958,    542 472,    261 840,    113 427,    46 787,    18 904,    13 692
辽宁省,    2 720 525,    106 410,    264 090,    790 722,    818 924,    451 150,    189 513,    67 638,    21 474,    7 086,    3 518
吉林省,    1 545 064,    41 902,    119 800,    380 064,    480 285,    293 029,    140 566,    57 177,    20 778,    7 255,    4 208
黑龙江省,    2 443 942,    62 910,    203 450,    568 964,    746 881,    484 207,    231 284,    94 080,    34 004,    11 582,    6 580
上海市,    1 317 281,    171 657,    238 578,    468 181,    274 410,    115 344,    35 437,    9 402,    2 893,    815,    564
江苏省,    7 847 152,    526 603,    889 71 1,    1 957 932,    2 132 747,    1 355 254,    574 409,    240 737,    97 881,    39 547,    32 331
浙江省,    4 186 119,    421 980,    542 995,    1 035 307,    1 139 897,    657 822,    252 094,    92 120,    29 967,    9 481,    4 456
安徽省,    8 515 352,    503 843,    772 323,    1 368 647,    2 164 670,  1 897 173,    994 277,    479 950,    203 065,    79 603,    51 801
福建省,    2 937 895,    155 770,    219 954,    396 468,    685 746,    680 442,    395 198,    202 548,    98 700,    47 533,    55 536
江西省,    4 824 198,    206 933,    358 574,    685 921,    1 179 084,    1 151 702,    640 729,    331 383,    151 118,    65 062,    53 692
山东省,    7 554 057,    429 519,    888 01 1,    1 583 952,    2 165 264,    1 437 474,    621 139,    259 859,    100 582,    39 039,    29 218
河南省,    12 474 668,    576 430,    1 095 416,    2 078 521,    3 334 421,    2 823 747,    1 371 952,    676 766,    300 799,    124 212,    92 404
湖北省,    2 520 097,    123 701,    244 504,    477 959,    744 718,    526 733,    239 826,    103 162,    38 433,    13 192,    7 869
湖南省,    8 626 003,    576 323,    1 007134,    1 730 452,  2 591 285,  1 722 604,    652 570,    235 185,    76 070,    23 188,    11 192
广东省,    1 099 994,    63 583,    89 935,    153 436,    228 380,    231 823,    151 505,    89 983,    46 718,    22 774,    21 857
广西壮族自治区,    4 651 740,    270 413,    331 243,    553 871,    929 335,    977 870,    704 571,    442 722,    238 240,    113 018,    90 457
海南省,    430 196,    33 116,    44 525,    81 866,    94 138,    73 996,    43 838,    27 923,    16 014,    7 637,    7 143
四川省,    18 738 269,    1 426 107,    2 060 280,    4 667 031,    5 380 722,  3 126 638,  1 270 012,    507 713,    190 189,    67 908,    41 669
贵州省,    4 691 326,    233 325,    394 202,    702 866,    946 871,  1 067 382,    705 838,    379 573,    165 414,    62 626,    33 229
云南省,    4 451 686,    171 692,    303 844,    613 996,    1 017 453,    922 004,    655 951,    391 695,    201 614,    95 247,    78 190
西藏自治区,    320 537,    25 051,    26 816,    34 010,    41 546,    43 603,    40 203,    35 163,    27 657,    19 404,    27 084
陕西省,    4 141 690,    177 291,    357 854,    734 808,    1 154 455,    928 150,    461 091,    203 473,    77 443,    28 086,    19 039
甘肃省,    2 663 887,    68 142,    125 766,    333 107,    691 329,    625 803,    384 146,    220 892,    112 495,    53 418,    48 789
青海省,    547 620,    23 599,    32 568,    66 322,    105 410,    112 121,    81 919,    53 302,    32 727,    18 761,    20 891
宁夏回族自治区,    531 870,    12 232,    27 699,    60 856,    110 003,    121 645,    92 892,    54 489,    28 251,    13 213,    10 590
新疆维吾尔自治区,    1 764 911,    101 242,    169 741,    280 325,    334 153,    304 833,    219 525,    157 341,    95 887,    52 958,    48 906
