表8—4  省、自治区、直辖市家庭户类别,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：户,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,  一代户和,  二代户和,  三代户和,  四代户和,  五代户和,
    地区别,    合计,  单身户,  一对夫妇户,  二代户,  三代户,  四代户,  五代户,  其它亲属,  其它亲属,  其它亲属,  其它亲属,  其它亲属,  其它
,,,,,,,,  及非亲属,  及非亲属,  及非亲属,  及非亲属,  及非亲属,
总计,  276 911 767,    13 532 357,    17 865 992,  182 115 935,  45 681 327,  1699 585,    2 469,  2 256 954,  6 326 602,    3 442 128,    164 963,    304,  3 823151
北京市,    3 101 665,    158 299,    283 948,    1 816 898,    468 600,    10 692,    1,    46 923,    71058,    24 527,    744,    -,  219 975
天津市,    2 539 286,    130 701,    216 283,    1 568 812,    394 721,    8 277,    4,    23 124,    39 728,    14 739,    464,    -,  142 433
河北省,    15 302 097,    712 538,    1 104 461,    10 182 640,    2 440 105,    100 540,    205,    109 404,    312 971,    160 456,    8 691,    14,  170 072
山西省,    7 144 11 1,    393 407,    507 991,    4 831 203,    1 076 012,    38 146,    37,    53 141,    103 224,    41 598,    1 729,    10,    97 613
内蒙古自治区,    5 273 146,    209 936,    359 730,    3 742 386,    618 289,    15 635,    15,    45 869,    169 71 1,    67 323,    1 941,    1,    42 310
辽宁省,    10 810 526,    369 987,    945 251,    7 490 600,    1 569 734,    46 261,    23,    62 014,    175 955,    74 722,    2 354,    4,    73 621
吉林省,    6 277 160,    163 700,    425 731,    4 405 411,    945 643,    32 451,    49,    39 701,155764,    71 341,    2 445,    8,    34 916
黑龙江省,    8 895 075,    221 421,    641 995,    6 315 619,    1 199 209,    34 850,    35,    62 960,    263 837,    109 637,    3 027,    1,    42 484
上海市,    4 065 274,    241 432,    390 885,    2 227 663,    783 033,    18 914,    6,    56 939,    69 120,    26 303,    747,    1,  250 231
江苏省,    17 815 925,    1 054 983,    1 429 148,    11 207 922,    3 147 828,    140 270,    239,    112 256,    298 943,    158 133,    7 698,    1 1,  258 494
浙江省,    11 684 715,    972 365,    1 030 058,    7 478 424,    1 615 176,    62 679,    95,    86 519,    166 198,    63 957,    3 123,     5,  206 116
安徽省,    13 320 101,    691 810,    794 499,    8 860 251,    2 138 843,    84 295,    123,    106 838,    324 338,    168 604,    7 684,     7,  142 809
福建省,    6 577 547,    296 985,    283 206,    4 058 637,    1 443 502,    75 724,    1 17,    62 517,    157 036,    107 728,    7 038,    35,    85 022
江西省,    8 329 303,    305 219,    388 717,    5 552 550,    1 564 535,    60 123,    66,    60 428,    199 393,    109 739,    5 070,    4,    83 459
山东省,    21 874 449,    1 137 491,    1 807 586,    14 909 704,    3 021 592,    102 285,    171,    127 328,    392 972,    178 606,    7 622,    14,    189 078
河南省,    19 735 114,    807 003,    1 037 745,    13 075 579,    3 561 599,    164 585,    331,    147 201,    489 328,    266 694,    15 691,    35,    169 323
湖北省,    13 003 134,    475 492,    777 659,    8 459 651,    2 351 475,    82 680,    112,    95 795,    402 463,    230 597,    12 261,    9,    114 940
湖南省,    15 648 776,    904 494,    1 171 474,    10 795 801,    2 077 009,    58 305,    74,    104 612,    258 859,    106 384,    4 236,    2,    167 526
广东省,    13 436 117,    772 760,    550 883,    7 888 316,    2 963 904,    121 708,    134,    205 610,    418 391,    259 847,    13 153,    23,    241 388
广西壮族自治区,    8 847 909,    451 661,    338 071,    5 470 071,    1 793 428,    74 890,    111,    97 103,    283 054,    207 955,    1 1 251,    18,    120 296
海南省,    1 386 326,    80 059,    63 047,    838 465,    255 752,    1 1 045,    18,    20 138,    55 062,    29 097,    1 360,    -,    32 283
四川省,    28 475 224,    1 772 093,    1 640 197,    18 922 1 57,    4 409 740,    127 656,    116,    251 859,    549 309,    259 227,    9 974,    13,  532 883
贵州省,    7 210 364,    318 674,    402 410,    5 033 036,    1 042 027,    30 748,    40,    58 546,    159 904,    85 684,    3 275,     2,    76 018
云南省,    7 964 195,    276 074,    361 242,    5 083 944,    1 586 492,    71 687,    91,    54 552,    220 176,    201 636,    1 1 502,    18,    96 781
西藏自治区,    402 441,    24 787,    14 603,    189 375,    73 759,    2 847,    19,    15 772,    42 330,    30 253,    2 282,    39,    6 375
陕西省,    7 762 770,    274 370,    426 420,    5 132 528,    1 414 449,    50 035,    72,    54 826,    181 058,    125 691,    6 232,    7,    97 082
甘肃省,    4 771 514,    113 352,    1 57 615,    3 000 097,    1 026 052,    55 213,    141,    30 570,    157 457,    172 951,    10 721,    22,    47 323
青海省,    916 390,    28 076,    41 304,    567 791,    171 667,    6 450,        10,    13 182,    39 414,    26 996,    1 025,     -,    20 475
宁夏回族自治区,    992 237,    22 321,    46 994,    700 511,    148 297,    4 644,    3,    7 760,    27 891,    17 818,    702,     -,    15 296
新疆维吾尔自治区,    3 348 876,    150 867,    226 839,    2 309 893,    378 855,    5 950,    11,    43 467,    141 658,    43 885,    921,    1,    46 529
,,,,,,,,,,,,,
  注：1、单身户：为15岁及15岁以上未婚、离婚或丧偶的一人户。,,,,,,,,,,,,,
    2、单身户、一对夫妇户及儿代户均指户中没有其他亲属或非亲属。,,,,,,,,,,,,,
3、其它：为15岁以下单身户和15岁及15岁以上有配偶的单身户以及以上项目中不包含的户数字。,,,,,,,,,,,,,
