表8—6  省、自治区、直辖市镇家庭户类别,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：户,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,  一代户和,  二代户和,  三代户和,  四代户和,  五代户和,
    地区别,    合计,  单身户,  一对夫妇户,  二代户,  三代户,四代户,  五代户,  其它亲属,  其它亲属,  其它亲属,  其它亲属,  其它亲属,  其它
,,,,,,,,  及非亲属,  及非亲属,  及非亲属,  及非亲属,  及非亲属,
总计,    64 144 453,    3 131 070,    3 982 442,  41 788 442,  10 871 814,  429 225,    627,    544 914,  1 512 693,    823 588,    41 170,    86, 1 018 382
北京市,    530 251,    33 693,    49 064,    331 100,    66 703,    1 678,    -,    3 932,    7 076,    2 468,    83,    -,    34 454
天津市,    191 542,    10 487,    13 337,    126 746,    23 400,    667,    -,    1 458,    2 438,    1 110,    45,    -,    1 1 854
河北省,    3 455 296,    160 373,    254 130,    2 321 546,    526 621,  21 670,    45,    23 720,    66 334,    33 793,    1 794,    6,    45 264
山西省,    2 292 926,    124 742,    164 638,    1 556 760,    336 979,  12 777,    17,    16 398,    31 261,    12 638,    569,    3,    36 144
内蒙古自治区,    1 077 453,    35 310,    73 466,    768 284,    119 984,    3 040,    2,    9 640,    42 225,    14 724,    430,    -,    10 348
辽宁省,    2 384 568,    80 100,    198 067,    1 679 419,    335 186,    10 657,    6,    11 623,    38 543,    17 066,    592,    2,    13 307
吉林省,    1 478 104,    37 307,    102 549,    1 052 844,    208 057,    7 301,    15,    8 737,    36 423,    16 222,    555,    2,    8 092
黑龙江省,    1 970 407,    47 633,    1 37 896,    1 409 479,    258 002,    7 615,    5,    1 3 369,    62 526,    25 536,    701,    1,    7 644
上海市,    281 421,    18 867,    30 722,    162 806,    37 810,    1 097,    2,    2 439,    3 248,    870,    28,    -,    23 532
江苏省,    3 584 480,    213 238,    283 759,    2 233 512,    638 784,    29 254,    52,    24 300,    61 873,    31 156,    1 552,    3,    66 997
浙江省,    2 425 684,    188 198,    208 756,    1 548 422,    339 053,    13 143,    22,    20 290,    41 389,    15 933,    831,    2,    49 645
安徽省,    2 073 503,    1 13 108,    133 363,    1 352 354,    323 845,    13 003,    16,    20 849,    54 067,    24 862,    1 135,    -,    36 901
福建省,    2 147 178,    90 610,    92 024,    1 330 319,    479 516,    27 166,    46,    19 314,    46 439,    32 257,    2 350,    18,    27 119
江西省,    1 422 028,    53 670,    72 557,    945 325,    251 743,    9 858,    5,    11 643,    36 277,    17 093,    766,    1,    23 090
山东省,    5 227 859,    255 570,    430 465,    3 553 253,    736 790,    27 217,    48,    29 086,    100 499,    45 089,    2 045,    4,    47 793
河南省,    3 692 345,    151 163,    195 850,    2 449 608,    644 455,    30 253,    64,    29 81 1,    94 391,    47 710,    2 804,7,    46 229
湖北省,    4 375 655,    150 840,    247 505,    2 822 035,    825 843,    31 154,    50,    30 730,    141 992,    84 304,    4 784,3,    36 415
湖南省,    3 102 087,    169 228,    238 437,    2 137 232,    403 311,    11 168,    14,    21 356,    51 763,    20 387,    804,-,    48 387
广东省,    8 628 750,    509 122,    321 231,    5 072 070,    1 972 894,    83 782,    98,    1 12 731,    246 287,    170 382,    8 896,    19,  131 238
广西壮族自治区,    2 495 669,    136 924,    94 627,    1 520 691,    510 453,    21 913,    31,    29 404,    81 659,    56 228,    3 088,    3,    40 648
海南省,    778 881,    48 927,    34 255,    458 880,    159 980,    7 356,    9,    9 938,    26 294,    16 525,    832,    -,    1 5 885
四川省,    4 273 397,    263 169,    278 446,    2 804 333,    61 1 661,    16 591,    13,    40 773,    84 840,    33 742,    1 176,    -,  138 653
贵州省,    1 069 065,    54 708,    59 842,    728 651,    153 674,    4 678,    10,    9 505,    22 746,    10 283,    387,    1,    24 580
云南省,    2 098 408,    75 867,    103 010,    1 365 183,    394 674,    17 162,    25,    14 717,    51 504,    43 240,    2 356,    2,    30 668
西藏自治区,    37 410,    2 355,    2 715,    18 896,    4 912,    178,    2,    1 642,    3 769,    1 605,    113,    3,    1 220
陕西省,    1 61 1 624,    51 609,    91 778,    1 084 671,    281 858,    9 923,    9,    12 165,    28 453,    20 256,    962,    1,    29 939
甘肃省,    697 138,    19 025,    27 217,    452 800,    135 531,    6 924,    18,    5 065,    18 425,    17 854,    1 162,    5,    13 1 12
青海省,    159 093,    5 767,    7 859,    102 358,    24 215,    805,    1,    2 525,    6 081,    3 124,    123,    -,    6 235
宁夏回族自治区,    155 002,    4 578,    8 216,    112 109,    18 544,    454,    1,    1 21 1,    3 732,    1 529,    53,     -,    4 575
新疆维吾尔自治区,    427 229,    24 882,    26 661,    286 756,    47 336,    741,    1,    6 543,    20 139,    5 602,    154,      -,    8 414
