表8—7  省、自治区、直辖市县家庭户类别,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：户,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,  一代户和,  二代户和,  三代户和,  四代户和,  五代户和,
    地区别,    合计,  单身户,  一对夫妇户,  二代户,  三代户,  四代户,  五代户,  其它亲属,  其它亲属,  其它亲属,  其它亲属,  其它亲属,  其它
,,,,,,,,  及非亲属,  及非亲属,  及非亲属,  及非亲属,  及非亲属,
总计,  126 044 096,    6 374 218,    7 185 782,    83 632 147,  21 418 142,    858 119,    1 459,    862 073,  2 832 918,  1 770 654,    90 044,    173, 1 018 367
北京市,    466 412,    35 478,    36 924,    292 139,    71 734,    2 006,    -,    2 703,    5 245,    2 655,    97,     -,    17 431
天津市,    594 299,    33 861,    43 991,    391 638,    90 915,    3 276,    4,    3 432,    8 519,    4 894,    216,     -,    13 553
河北省,    8 135 099,    401 770,    553 542,    5 383 496,    1 347 467,    59 653,    140,    57 664,    178 565,    95 747,    5 467,    7,    51 581
山西省,    2 806 900,    181 769,    195 458,    1 858 837,    451 258,    17 325,    16,    20 498,    40 722,    18 469,    827,    6,    21 715
内蒙古自治区,    2 495 307,    113 783,    145 491,    1 766 442,    315 354,    8 4 18,    11,    20 014,    75 295,    37 533,    1 096,    -,    11870
辽宁省,    2 720 525,    96 557,    184 680,    1 905 845,    421 953,    13 939,    9,    13 425,    49 005,    24 376,    882,    1,    9 853
吉林省,    1 545 064,    37 379,    83 667,    1 096 882,    245 590,    9 913,    19,    7 536,    37 606,    21 177,    769,    3,    4 523
黑龙江省,    2 443 942,    54 861,    149 343,    1 754 335,    340 972,    10 895,    17,    13 886,    74 296,    36 256,    1 032,    -,    8 049
上海市,    1 317 281,    111 960,    136 721,    776 934,    208 792,    6 623,    1,    4 584,    8 535,    3 320,    114,    -,    59 697
江苏省,    7 847 152,    449 607,    572 111,    4 973 835,    1 457 992,    72 271,    141,    37 010,    126 994,    76 273,    3 917,    5,    76 996
浙江省,    4 186 119,    366 122,    335 287,    2 723 562,    574 697,    22 500,    38,    27 517,    56 766,    22 693,    1 077,    2,    55 858
安徽省,    8 515 352,    447 879,    459 384,    5 692 595,    1 419 939,    58 197,    95,    54 61 3,    202 899,    118 308,    5 473,    6,    55 964
福建省,    2 937 895,    129 038,    109 322,    1 826 486,    657 279,    35 294,    45,    23 921,    71 196,    54 971,    3 600,    1 1,    26 732
江西省,    4 824 198,    174 628,    204 343,    3 214 580,    946 613,    37 614,    51,    29 980,    112 669,    68 166,    3 246,    3,    32 305
山东省,    7 554 057,    389 752,    579 518,    5 125 706,    1 1 16 750,    42 865,    91,    41 032,    142 543,    72 587,    3 440,    6,39 767
河南省,    12 474 668,    520 208,    629 145,    8 263 969,    2 315 849,    11 1 069,    244,    83 622,    302 433,    180 947,    10 936,    24,    56 222
湖北省,    2 520 097,    105 587,    137 044,    1 621 848,    459 090,    16 068,    30,    18 405,    88 269,    52 794,    2 846,    2,    18 114
湖南省,    8 626 003,    518 256,    610 940,    5 991 512,    1 164 680,    33 799,    48,    51 295,    134 786,    60 149,    2 469,    2,    58 067
广东省,    1 099 994,    51 063,    41 070,    653 389,    261 206,    13 509,    14,    10 230,    30 989,    24 481,    1 523,    -,    12 520
广西壮族自治区,    4 651 740,    227 078,    149 012,    2 890 536,    979 988,    41 871,    67,    45 391,    146 015,    121 684,    6 752,    1 1,    43 335
海南省,    430 196,    22 683,    21 757,    278 207,    65 030,    2 585,    7,    5 480,    16 455,    7 257,    302,    -,    10 433
四川省,    18 738 269,    1 216 874,    1 001 317,    12 680 500,    2 895 228,    87 305,    90,    145 688,    326 587,    168 594,    6 843,    10,  209 233
贵州省,    4 691 326,    205 180,    248 866,    3 315 276,    681 870,    20 293,    22,    32 551,    97 520,    59 285,    2 317,    1,    28 145
云南省,    4 451 686,    141 773,    166 514,    2 810 442,    949 958,    44 958,    57,    27 501,    136 712,    135 902,    7 935,    15,    29 919
西藏自治区,    320 537,    20 639,    8 115,    148 713,    63 810,    2 462,    17,    11 384,    32 698,    26 216,    2 037,    34,    4 412
陕西省,    4 141 690,    151 425,    191 063,    2 698 979,    812 466,    30 972,    52,    25 093,    113 952,    87 340,    4 476,    6,    25 866
甘肃省,    2 663 887,    56 935,    58 141,    1 587 769,    663 023,    40 437,    11 5,    13 486,    98 661,    125 731,    8 365,    17,    11 207
青海省,    547 620,    15 676,    15 395,    321 899,    123 635,      5 186,    9,    7 635,    27 165,    22 220,    877,    -,    7 923
宁夏回族自治区,    531 870,    8 957,    17 178,    373 304,    92 829,    3 312,    1,    3 493,    15 351,    13 601,    569,    -,    3 275
新疆维吾尔自治区,    1 764 911,    87 440,    100 443,    1 212 492,    222 175,    3 504,    8,    23 004,    74 470,    27 028,    544,    1,    13 802
