表8—8  全国按户主民族分的家庭户的类别,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：户,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,  一代户和,  二代户和,  三代户和,  四代户和,  五代户和,
    民族别,    合计,  单身户,  一对夫妇户,  二代户,  三代户,  四代户,  五代户,  其它亲属,  其它亲属,  其它亲属,  其它亲属,  其它亲属,  其它
,,,,,,,,  及非亲属,  及非亲属,  及非亲属,  及非亲属,  及非亲属,
总计,  276 91 1 767,    13 532 357,    17 865 992,  182 1 15 935,  45 681 327,  1 699 585,    2 469,  2 256 954,  6 326 602,  3 442 128,    164 963,    304,3 823 151
汉族,  257 729 646,    12 796 825,    16 971 411,  169 637 904,  42 230 957,  1 569 756,    2 241,  2 072 882,  5 686 002,  2 997 042,    142 301,    234, 3 622 091
蒙古族,    971 482,    32 431,    46 300,    658 734,    135 185,    3 716,    1,    10 220,    49 387,    25 868,    764,    -,    8 876
回族,    1 921 074,    63 01 1,    106 960,    1 281 166,    336 506,    12 406,    12,    15 209,    45 495,    27 562,    1 238,    2,    31 507
藏族,    832 186,    45 477,    20 573,    395 251,    184 457,    9 347,    55,    27 466,    74 917,    58 165,    4 370,    49,    12 059
维吾尔族,    1 516 534,    93 136,    90 784,    1 029 074,    205 328,    2 795,    8,    18 422,    46 682,    18 500,    442,    -,    11 363
苗族,    1 531 524,    57 614,    66 856,    1 039 133,    264 903,    9 330,    1 1,    1 1 712,    39 971,    28 696,    1 261,    2,    12 035
彝族,    1 348 828,    54 627,    54 927,    888 420,    238 935,    9 575,    13,    12 995,    41 384,    32 735,    1 763,    1,    13 453
壮族,    3 060 272,    1 11 693,    90 314,    1 851 563,    694 683,    28 846,    32,    26 548,    1 10 123,    100 918,    5 757,    9,    39 786
布依族,    512 135,    17 974,    17 156,    324 686,    106 013,    3 482,    8,    3 727,    17 275,    1 5 233,    642,    -,    5 939
朝鲜族,    497 536,    12 695,    37 226,    331 969,    81 049,    2 151,    -,    3 987,    15 690,    8 225,    221,    -,    4 323
满族,    2 371 287,    64 442,    154 930,    1 679 308,    346 781,    1 1 096,    10,    14 204,    56 043,    27 158,    913,    1,    16 401
侗族,    540 082,    21 359,    22 433,    356 036,    102 375,    4 131,    7,    3 853,    13 901,    10 727,    545,    1,    4 714
瑶族,    416 894,    16 179,    1 3 464,    261 748,    86 797,    4 964,    22,    4 109,    13 459,    1 1 433,    765,    2,    3 952
白族,    326 131,    9 232,    12 927,    197 390,    79 735,    4 034,    3,    1 746,    7 396,    8 766,    456,-,    4 446
土家族,    1 371 368,    71 092,    88 910,    953 950,    184 577,    4 196,    6,    9 887,    31 048,    11 461,    448,    1,    1 5 792
哈尼族,    234 025,    5 965,    6 422,    137 628,    60 278,    3 623,    5,    1 547,    7 418,    8 717,    512,    1,    1 909
哈萨克族,    187 052,    3 577,    4 403,    121 242,    26 195,    282,    2,    5 163,    18 828,    6 476,    97,-,    787
傣族,    189 339,    3 686,    3 883,    101 362,    57 861,    4 850,    18,    822,    5 436,    9 545,    808,    1,    1 067
黎族,    193 051,    6 005,    6 141,    121 513,    38 840,    1 637,    2,    1 997,    8 117,    6 208,    248,    -,    2 343
傈僳族,    116 966,    3 672,    4 107,    75 538,    22 639,    904,    1,    1 145,    4 330,    3 441,    209,    -,     980
佤族,    68 922,    2 091,    2 649,    44 996,    12 459,    347,    2,    873,    2 903,    2 052,    69,    -,    481
畲族,    138 762,    8 586,    6 264,    80 937,    32 202,    2 265,    7,    1 173,    3 460,    2 449,    195,    -,    1 224
高山族,    678,    34,    54,    443,    95,      2,    -,    7,    16,    12,-,    -,    15
拉祜族,    78 770,    1 679,    2 800,    49 858,    17 067,    667,-,    684,    3 023,    2 598,    101,    -,    293
水族,    72 458,    4 002,    3 350,    49 186,    10 549,    269,-,    696,    2 194,    1 1 58,    47,    -,    1 007
东乡族,    65 061,    631,    1 855,    38 901,    17 352,    964,-,    383,    2 136,    2 456,    147,    -,    236
纳西族,    56 471,    1 475,    1 443,    31 242,    16 035,    649,-,    440,    2 088,    2 210,    112,    -,777
景颇族,    20 185,    465,    467,    12 140,    4 549,    166,-,    188,    1 080,    997,    41,    -,    92
柯尔克孜族,    26 307,    742,    933,    17 385,    4 528,    106,-,    330,    1 431,    716,    21,    -,    11 5
土族,    33 939,    720,    711,    19 911,    8 325,    391,    2,    275,    1 471,    1 602,    66,    -,    465
达斡尔族,    25 220,    732,    1 283,    16 794,    2 976,    72,-,    447,    1 981,    722,    22,    -,    191
仫佬族,    28 489,    900,    668,    16 243,    7 473,    446,-,    231,    1 071,    990,    76,    -,    391
羌族,    36 073,    956,    801,    21 746,    8 736,    460,    1,    317,    1 251,    1 273,    62,    -,    470
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：户,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,一代户和,二代户和,三代户和,四代户和,五代户和,
    民族别,    合计,  单身户,  一对夫妇户,  二代户,  三代户,四代户,五代户,其它亲属,其它亲属,其它亲属,其它亲属,其它亲属,其它
,,,,,,,,及非亲属,及非亲属,及非亲属,及非亲属,及非亲属,
布朗族,    14 964,    364,    346,    8 752,    3 618,    141,-,    133,    694,    812,    37,-,    67
撒拉族,    14 658,    344,    392,    8 656,    4 047,    150,-,    119,    395,    358,    15,-,    182
毛南族,    13 643,    551,    334,    8 371,    2 903,    87,-,    125,    604,    376,    17,-,    275
仡佬族,    96 053,    3 808,    4 975,    68 037,    13 891,    339,-,    736,    2 129,    1 159,    36,-,    943
锡伯族,    38 402,    1 058,    2 614,    27 038,    5 693,    160,-,    231,    854,    416,    6,-,    332
阿昌族,    4 695,    130,    132,    2 854,    1 153,    59,-,    32,    138,    161,    14,-,    22
