表8—9  全国不同规模的家庭户类别,,,,,,,,,,,,,
,,,,,,,,,,,,,
        单位：户,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,  一代户和,  二代户和,  三代户和,  四代户和,  五代户和,
    户规模,    合计,    单身户,  一对夫妇户,  二代户,  三代户,  四代户,  五代户,  其它亲属,  其它亲属,  其它亲属,  其它亲属,  其它亲属,  其它
,,,,,,,,  及非亲属,  及非亲属,  及非亲属,  及非亲属,  及非亲属,
总计,  276 911 767,    13 532 357,    17 865 992,  182 1 15 935,  45 681 327,  1 699 585,    2 469,  2 256 954,  6 326 602,  3 442 128,    164 963,    304,  3 823 151
一人户,    17 355 508,    13 532 357,-,-,-,-,-,-,-,-,-,-,  3 823 151
二人户,    30 605 168,-,    17 865 992,    11 585 361,-,-,-,  1 153 815,-,-,-,-,-
三人户,    65 717 790,-,-,    62 725 685,    1 236 750,-,-,    691 519,  1 063 836,-,-,-,-
四人户,    71 510 544,-,-,    60 857 667,    8 284 296,    16 945,-,    230 614,  2 008 781,    112 241,-,-,-
五人户,    49 114 451,-,-,    31 694 467,  14 670 390,    154 422,    16,    108 874,  1 759 058,    725 562,    1 662,-,-
六人户,    23 284 783,-,-,    10 797 454,  10 353 980,    306 711,    99,    37 827,    827 654,    942 178,    18 878,2,-
七人户,    10 860 512,-,-,    3 242 921,    6 008 073,    384 139,    258,    17 172,    395 179,    775 165,    37 579,    26,-
八人户,    4 762 215,-,-,    900 094,    2 852 158,    352 026,    445,    8 014,    158 739,    452 236,    38 468,    35,-
九人户,    2 025 666,-,-,    232 827,    1 232 1 51,    239 699,    623,    3 858,    62 907,    224 760,    28 791,    50,-
十人及十人以上户,    1 675 130,-,-,    79 459,    1 043 529,    245 643,    1 028,    5 261,    50 448,    209 986,    39 585,    191,-
