表9—10  全国镇1989年育龄妇女分年龄、文化程度和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,    生育率,    出生数,    生育率,    出生数,    生育率,    出生数,    生育率,    出生数,    生育率
总计,    24 064 828,    1 445 358,    60.06,    953 726,    39.63,    362 066,    15.05,    89 467,    3.72,    26 851,    1.12,    13 248,    0.55
15—19岁,    4 589 858,    53 962,    11.76,    49 918,    10.88,    3 789,    0.83,    218,    0．05,    26,    0.01,    11,    0．00
  15,    793 991,    232,    0.29,    214,    0．27,    12,    0.02,    3,    0.00,    1,    0.00, 2,    0.00
  16,    895 774,    1 188,    1.33,    1 147,    1.28,    35,    0.04,    3,    0.00,     -,     -,    3,    0.00
  17,    926 100,    4 255,    4.59,    4 060,    4.38,    186,    0.20,     7,    0.01,    2,    0.00,    -,     -
  18,    978 950,    13176,    13.46,    12 364,    12.63,    774,    0.79,    35,    0.04,    2,    0.00,    1,    0.00
  19,    995 043,    35 111,    35.29,    32 133,    32.29,    2 782,    2.80,    170,    0.17,    21,    0．02,        5,    0．01
20—24岁,    4 826 274,    729 301,    151.11,    609 789,126.35,    103 538,    21.45,    14 169,    2.94,    1 574,    0.33,    231,    0.05
  20,    1 028 561,    78 635,    76.45,    71 117,    69.14,    6 991,    6.80,    479,    0.47,    38,    0.04,    10,    0．01
  21,    921 576,    112 534,    122.11,    99 465,    107.93,    11 902,    12.91,    1 073,    1.16,    85,    0.09,    9,    0.01
  22,    862 182,    142 352,    165.11,    121 029,    140.38,    18 970,    22.00,    2 1 1 1,    2.45,    215,    0.25,    27,    0.03
  23,    988 314,    195 366,    197.68,    160 699,    162.60,    30 065,    30.42,    4 140,    4.19,    407,    0.41,    55,    0.06
  24,    1 025 641,    200 414,    195.40,    157 479,    153.54,    35 610,    34.72,    6 366,6.21,    829,    0.81,    130,    0.13
25—29岁,    4 039 547,    471 330,    116.68,    271 294,    67.16,    149 291,    36.96,    39 718,    9.83,    8 975,    2.22,    2 052,    0.51
  25,    1 090 704,    176 598,    161.91,    125 946,    115.47,    40 339,    36.98,    8 755,    8.03,    1 322,    1.21,    236,    0.22
  26,    1 137 599,    145 481,    127.88,    87 993,    77.35,    43 637,    38.36,    11 371,    10.00,    2 116,    1.86,    364,    0.32
  27,    666 007,    68 645,    103.07,    32 112,    48.22,    26 074,    39.15,    8 113,    12.18,    1 936,    2.91,    410,    0.62
  28,    517 805,    39 915,    77.09,    14 596,    28.19,    18 1 15,    34.98,    5 274,    10.19,    1 560,    3．01,    370,    0.71
  29,    627 432,    40 691,    64.85,    10 647,    16.97,    21 126,    33.67,    6 205,    9.89,    2 041,    3.25,    672,    1.07
30—34岁,    3 566 412,    143 196,    40.15,    18 790,    5.27,    83 251,    23.34,    25 384,    7.12,    10 510,    2.95,    5 261,    1.48
  30,    608 538,    33 761,    55.48,    6 107,    10.04,    19 077,    31.35,    5 760,    9.47,    2 099,    3.45,    718,    1.18
  31,    780 741,    36 951,    47.33,    5 131,    6.57,    21 630,    27.70,    6 469,    8.29,    2 674,    3.42,    1 047,    1.34
  32,    728 608,    29 285,    40.19,    3 400,    4.67,    17 234,    23.65,    5 280,    7.25,    2 220,    3.05,    1 151,    1.58
  33,    697 397,    23 066,    33.07,    2 332,    3.34,    13 616,    19.52,    4 191,    6.01,    1 792,    2.57,    1 135,    1.63
  34,    751 128,    20 133,    26.80,    1 820,    2.42,    11 694,    15.57,    3 684,    4.90,    1 725,    2.30,    1 210,    1.61
35—39岁,    3 116 624,    40 526,    13.00,    3 299,    1.06,    20 601,    6.61,    8 422,    2.70,    4 319,    1.39,    3 885,    1.25
