表9—14  全国镇1989年育龄妇女分年龄、职业大类和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第1孩,,    第四孩,,    第五孩及以上,
    职业和,1989年年中,  出生,  生育率,,,,,,,,,,
    年龄别,妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,    生育率,    出生数,  生育率,  出生率,  生育率,  出生数,  生育率,  出生数,  生育率
总计,    17 738 277,    1 095 616,    61.77,    758 697,    42.77,    255 230,    14.39,    58 185,    3.28,    16 269,    0．92,    7 235,    0．41
15—19岁,    2 277 016,    31 958,    14.04,    29 745,    13.06,    2 094,    0．92,    108,    0.05,    9,    0.00,    2,    0.00
  15,    179 482,    103,    0．57,    97,    0．54,    5,    0.03,-,-,-,-,    1,    0．01
  16,    322 428,    603,    1.87,    583,    1.81,    19,    0.06,    1,    0.00,-,-,-,-
  17,    456 387,    2 205,    4.83,    2 111,    4.63,    91,    0．20,    3,    0.01,-,-,-,-
  18,    604 432,    7 408,    12.26,    6 978,    11.54,    414,    0.68,    15,    0.02,    1,    0.00,-,-
  19,    714 287,    21 639,    30.29,    19 976,    27.97,    1 565,    2.19,    89,    0.12,    8,    0.01,    1,    0．00
20—24岁,    3 886 308,    553 501,    142.42,    478 586,    123.15,    65 454,    16.84,    8 517,    2.19,    841,    0．22,    103,    0．03
  20,    800 702,    52 913,    66.08,    48 585,    60.68,    4 061,    5.07,    247,    0.31,    15,    0．02,    5,    0．01
  21,    736 171,    79 991,    108.66,    72 259,    98.16,    7 100,    9.64,    591,    0.80,    39,    0．05,    2,    0.00
  22,    697 206,    106 501,    152.75,    93 318,    133.85,    11 814,    16.94,    1 251,    1.79,    105,    0.15,    13,    0．02
  23,    807 245,    153 151,    189.72,    131 136,    162.45,    19 279,    23.88,    2 497,    3.09,    216,    0.27,    23,    0.03
  24,    844 984,    160 945,    190.47,    133 288,    157.74,    23 200,    27.46,    3 931,    4.65,    466,    0.55,    60,    0．07
25—29岁,    3 371372,    367 858,    109.11,    232 522,    68.97,    103 439,    30.68,    25 614,    7.60,    5 264,    1.56,    1 019,    0.30
  25,    911 118,    142 293,    156.17,    108 644,    119.24,    27 135,    29.78,    5 633,    6.18,    769,    0．84,    112,    0.12
  26,    950 478,    114 573,    120.54,    75 799,    79.75,    29 994,    31.56,    7 335,    7.72,    1 258,    1.32,    187,    0.20
  27,    551 130,    51 788,    93.97,    27 163,    49.29,    17 934,    32.54,    5 331,    9.67,    1 141,    2.07,    219,    0.40
  28,    432 826,    29 593,    68.37,    12 217,    28.23,    12 909,    29.82,    3 385,    7.82,    898,    2.07,    184,    0．43
  29,    525 820,    29 61 1,    56.31,    8 699,    16.54,    15 467,    29.42,    3 930,    7.47,    1198,    2.28,    317,    0.60
30—34岁, 2 989 184,    107 677,    36.02,    14 935,    5.00,    66 067,    22.10,    17 107,    5.72,    6 637,    2.22,    2 931,    0．98
  30,    509 563,    24 891,    48.85,    4 950,    9.71,    14 521,    28.50,    3 736,    7.33,    1 305,    2.56,    379,    0.74
  31,    658 920,    27 811,    42.21,    4 101,    6.22,    17 084,    25.93,    4 333,    6.58,    1 683,    2.55,    610,    0．93
  32,    611 408,    22 044,    36.05,    2 676,    4.38,    13 767,    22.52,    3 580,    5.86,    1 387,    2.27,    634,    1.04
  33,    583 152,    17 562,    30.12,    1 830,    3.14,    11 058,    18.96,    2 900,    4.97,    1 141,    1.96,    633,    1.09
  34,    626 141,    15 369,    24.55,    1 378,    2.20,    9 637,    15.39,    2 558,    4.09,    1 121,    1．79,    675,    1.08
35—39岁,    2 544 615,    30 238,    11.88,    2 472,    0.97,17 000,    6.68,    5 799,    2.28,    2 743,    1.08,    2 224,    0.87
  35,    593 539,    11 245,    18.95,    886,    1.49,    6 912,    11.65,    2 020,    3.40,    858,    1.45,    569,    0．96
  36,    539 292,    7 715,    14.31,    647,    1.20,    4 475,    8.30,    1 435,    2.66,    671,    1.24,    487,    0.90
  37,    514 541,    5 541,    10.77,    420,    0.82,    3 000,    5.83,    1 110,    2.16,    542,    1.05,    469,    0．91
  38,    441 187,    3 375,    7.65,    295,    0.67,    1 628,    3.69,    712,    1.61,    377,    0.85,    363,    0.82
  39,    456 056,    2 362,    5.18,    224,    0.49,    985,    2.16,    522,    1.14,    295,    0．65,    336,    0．74
40—44岁,    1 603 966,    3 501,    2.18,    371,    0.23,    1 024,    0.64,    843,    0.53,    559,    0.35,    704,    0.44
  40,    378 940,    1 281,    3.38,    116,    0．31,    452,    1.19,    294,    0.78,    189,    0．50,    230,    0.61
  41,    346 389,    830,    2.40,        86,    0.25,    243,    0．70,    204,    0.59,    141,    0.41,    156,    0.45
  42,    326 128,    616,    1.89,    83,    0.25,    156,    0.48,    164,    0.50,    90,    0.28,    123,    0.38
  43,    289 565,    443,    1.53,    49,    0．17,    103,    0.36,    106,    0.37,    76,    0.26,    109,    0．38
  44,    262 944,    331,    1.26,        37,    0．14,    70,    0.27,    75,    0.29,    63,    0．24,    86,    0.33
