,,,,,,,,,,,,,
表9--15全国县1989年育龄妇女分年龄、职业大类和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    职业和,1989年年中,  出生,  生育率,,,,,,,,,,
    年龄别,妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,  生育率,    出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
总计,    192 435 823,  17 534 160,    91.12,  7 814 193,    40.61,    5 878 574,    30.55,  2 467 547,    12.82,    847 367,    4.40,    526 479,    2.74
15-19岁,    38 366 487,  1 066 883,    27.81,  944 216,    24.61,    114 562,    2.99,    7 303,    0.19,    650,    0.02,    152,    0.00
  15,    6 116 202,    5 505,    0．90,    5 255,    0.86,    195,    0.03,    24,    0.00,    17,    0.00,    14,    0.00
  16,    7 251 229,    27 620,    3.81,    26 513,    3.66,    1 026,    0.14,    54,    0.01,    13,    0.00,    14,    0.00
  17,    7 740 385,    99 249,    12.82,    93 009,    12.02,    5 932,    0.77,    269,    0.03,    23,    0.00,    16,    0．00
  18,    8 485 869,    278 746,    32.85,    253 189,    29.84,    24 383,    2.87,    1068,    0.13,    80,    0.01,    26,    0.00
  19,    8 772 802,    655 763,    74.75,    566 250,    64.55,    83 026,    9.46,    5 888,    0.67,    517,    0.06,    82,    0.01
20-24岁,    41 560 255, 9 005 332,    216.68,  5 697 763,    137.10,    2 719 570,    65.44,    516 267,    12.42,    62 824,    1.51,    8 908,    0.21
  20,    9 137 117, 1 304179,    142.73,  1 073 403,    117.48,    211 292,    23.12,    17 983,    1.97,    1 349,    0.15,    152,    0.02
  21,    8 267 193, 1 673 576,    202.44,  1 273 454,    154.04,    355 960,    43.06,    40 138,    4.86,    3 561,    0.43,    463,    0.06
  22,    7 796 834, 1 902 594,    244.02,  1 258 768,    161.45,    552 772,    70.90,    82 275,    10.55,    7 855,    1.01,    924,    0.12
  23,    8 414 313, 2 176 265,    258.64,  1 226 656,    145.78,    777 652,    92.42,    152 368,    18.11,    17 431,    2.07,    2 158,    0.26
  24,    7 944 798, 1 948 718,    245.28,    865 482,    108.94,    821 894,    103.45,    223 503,    28.13,    32 628,    4.11,    5 211,    0．66
25—29岁,    28 726 114, 4 967 742,    172.93,  1 079 839,    37.59,    2 315 543,    80.61,  1 182 288,    41.16,    310 127,    10.80,    79 945,    2.78
  25,    7 906 560, 1 692 601,    214.08,    534 885,    67.65,    801 263,    101.34,    294 517,    37.25,    53 455,    6.76,    8 481,    1.07
  26,    8 354 591,1 531 248,    183.28,    332 271,    39.77,    742 602,    88.89,    360 637,    43.17,    80 553,    9.64,    15 185,    1.82
  27,    5 065 930,    825 419,    162.94,    125 141,    24.70,    379 096,    74.83,    236 840,    46.75,    67 794,    13.38,    16 548,    3.27
  28,    3 315 096,    447 109,    134.87,    50 486,    15.23,    195 473,    58.96,    139 089,    41.96,    47 739,    14.40,    14 322,    4.32
  29,    4 083 937,    471 365,    115.42,    37 056,    9.07,    197 109,    48.26,    151 205,    37.02,    60 586,    14.84,    25 409,    6.22
30—34岁,    26 768 725,    1 745 246,    65.20,    68 725,    2.57,    600 935,    22.45,    571 857,    21.36,    309 372,    11.56,    194 357,    7.26
  30,    4 138 108,    399 674,    96.58,    20 532,    4.96,    159 045,    38.43,    132 578,    32.04,    60 469,    14.61,    27 050,    6.54
  31,    5 614 887,    446 502,    79.52,    18 030,    3.21,    165 850,    29.54,    147 826,    26.33,    75 257,    13.40,    39 539,    7.04
  32,    5 589 863,    361 164,    64.61,    12 737,    2.28,    120 777,    21.61,    120 049,    21.48,    66 756,    11.94,    40 845,    7.31
  33,    5 420 507,    284 762,    52.53,    9 548,    1.76,    86 770,    16.01,    92 380,    17.04,    55 397,    10.22,    40 667,    7.50
  34,    6 005 360,    253 144,    42.15,    7 878,    1.31,    68 493,    11.41,    79 024,    13.16,    51 493,    8.57,    46 256,    7.70
35—39岁,    25 860 706,    595 123,    23.01,    17 964,    0.69,    114 396,    4.42,    165 120,    6.38,    132 033,    5.1 1,    165 610,    6.40
  35,    5 725 791,    190 928,    33.35,    5 757,    1.01,    45 341,    7.92,    57 723,    10.08,    40 742,    7.12,    41 365,    7.22
  36,    5 471 103,    144 332,    26.38,    4 239,    0．77,    29 370,    5.37,    41 814,    7.64,    32 040,    5.86,    36 869,    6.74
  37,    5 381 929,    114 380,    21.25,    3 392,    0.63,    20 074,    3.73,    31 264,    5.81,    26 132,    4.86,    33 518,    6.23
  38,    4 569 350,    77 709,    17.01,    2 386,    0.52,    11 574,    2.53,    19 737,    4.32,    18 084,    3.96,    25 928,    5.67
  39,    4 712 533,    67 774,    14.38,    2 190,    0.46,    8 037,    1.71,    14 582,    3.09,    15 035,    3.19,    27 930,    5.93
40-44岁,    17 990 254,    126 537,    7.03,    4 376,    0.24,    11 421,    0.63,    21 290,    1.18,    27 038,    1.50,    62 412,    3.47
  40,    4 028 999,    41 199,    10.23,    1 295,    0.32,    4 096,    1.02,    8 018,    1．99,    9 520,    2.36,    18 270,    4.53
  41,    3 813 678,    31 123,    8.16,    999,    0.26,    2 759,    0.72,    5 523,    1.45,    6 719,    1.76,    15 123,    3.97
  42,    3 640 326,    22 846,    6.28,    833,    0.23,    1 954,    0.54,    3 521,    0.97,    4 789,    1.32,    11 749,    3.23
  43,    3 368 823,    17 423,    5.17,    737,    0.22,    1 483,    0.44,    2 476,    0.73,    3 451,    1.02,    9 276,    2.75
  44,    3 138 428,    13 946,    4.44,    512,    0.16,    1 129,    0.36,    1 752,    0.56,    2 559,    0.82,    7 994,    2.55
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    职业和,1989年年中,  出生,  生育率,,,,,,,,,,
    年龄别,妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,    生育率,    出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  45-49岁,    13 163 282,    27 297,    2.07,    1 310,    0.10,    2 147,    0.16,    3 422,    0.26,    5 323,    0.40,    15 095,    1.15
    45,    2 919 540,    9 113,    3.12,    377,    0.13,    680,    0.23,    1 113,    0.38,    1 682,    0.58,    5 261,    1.80
    46,    2 673 856,    6 309,    2.36,    297,    0.11,    493,    0.18,    811,    0.30,    1 228,    0.46,    3 480,    1.30
    47,    2 683 401,    5 083,    1.89,    242,    0.09,    422,    0.16,    634,    0.24,    1 012,    0.38,    2 773,    1.03
    48,    2 555 194,    3 745,    1.47,    235,    0.09,    318,    0．12,    511,    0.20,    782,    0.31,    1 899,    0.74
    49,    2 331 291,    3 047,    1.31,    159,    0.07,    234,    0.10,    353,    0.15,    619,    0.27,    1 682,    0.72
各类专业、技术人员,    3 449 022,    248 561,    72.07,    167 789,    48.65,    65 125,    18.88,    11 784,    3.42,    2 582,    0.75,    1 281,    0.37
  15-19岁,    414 884,    3 534,    8.52,    3 324,    8.01,    196,    0.47,    7,    0.02,    2,    0.00,    5,    0.01
    15,    17 389,    8,    0.46,    5,    0.29,    1,    0.06,-,-,-,-,    2,    0.12
    16,    41 088,    34,    0.83,    34,    0.83,-,-,-,-,-,-,-,-
    17,    73 006,    152,    2.08,    140,    1.92,    10,    0.14,    1,    0.01,      1,    0.01,-,-
    18,    120 430,    689,    5.72,    652,    5.41,    35,    0.29,-,-,-,-,    2,    0.02
    19,    162 971,    2 651,    16.27,    2 493,    15.30,    150,    0.92,    6,    0.04,    1,    0.01,    1,    0.01
  20-24岁,    942 931,    117 257,    124.35,    104 154,    110.46,    11 912,    12.63,    1 048,    1.11,    124,    0.13,    19,    0.02
    20,    193 167,    8 324,    43.09,    7 890,    40.85,    410,    2.12,    23,    0.12,-,-,    1,    0.01
    21,    181 487,    14 666,    80.81,    13 656,    75.25,    929,    5.12,    69,    0.38,    12,    0.07,-,-
    22,    175 352,   22685,    129.37,    20709,    118.10,    1 850,    10.55,    110,    0.63,    14,    0.08,    2,    0.01
    23,    198 516,    34 400,    173.29,    30 555,    153.92,    3 509,      17.68,    298,    1.50,    31,    0．16,    7,    0.04
    24,    194 409,    37 182,    191.26,    31 344,    161.23,    5 214,    26.82,    548,    2.82,    67,    0.34,    9,    0.05
  25-29岁,    703 129,    92 391,    131.40,    56 547,    80.42,    29 693,    42.23,    4 983,    7.09,    930,    1.32,    238,    0.34
    25,    199 320,    34 416,    172.67,    26 179,    131.34,    7 178,    36.01,    917,    4.60,    128,    0.64,    14,    0.07
    26,    207 870,    29 341,    141.15,    18 964,    91.23,    8 760,    42.14,    1 364,    6.56,    218,    1.05,    35,    0．17
    27,    116 282,    13 164,    113.21,    6 730,    57.88,    5 241,    45.07,    966,    8.31,    177,    1.52,    50,    0.43
    28,    81 889,    7 583,    92.60,    2 777,    33.91,    3 861,    47.15,    755,    9.22,    152,    1.86,    38,    0.46
    29,    97 768,    7 887,    80.67,    1 897,    19.40,    4 653,    47.59,    981,    10.03,    255,    2.61,    101,    1.03
  30-34岁,    548 365,    28 2 10,    51.44,    3 144,    5.73,    19 235,    35.08,    4 292,    7.83,    1 037,    1.89,    502,    0.92
    30,    94 675,    6 684,    70.60,    1 074,    11.34,    4 434,    46.83,    898,    9.49,    205,    2.17,    73,    0.77
    31,    122 849,    7 187,    58.50,    815,    6.63,    4 894,    39.84,    1 085,    8.83,    282,    2.30,    111,    0.90
    32,    117 459,    6 058,    51.58,    577,    4.91,    4 198,    35.74,    950,    8.09,    217,    1.85,    116,    0.99
    33,    107 036,    4 587,    42.85．,    403,    3.77,    3 164,    29.56,    747,    6.98,    170,    1.59,    103,    0.96
    34,    106 346,    3 694,34.74,    275,    2.59,    2 545,    23.93,    612,    5.75,    163,    1.53,    99,    0.93
  35—39岁,    375 829,    6 266,    16.67,    519,    1.38,    3 815,    10.15,    1 209,    3.22,    347,    0.92,    376,    1.00
    35,    91 118,    2 490,    27.33,    200,    2.19,    1 652,    18.13,    447,    4.91,    105,    1.15,    86,    0.94
    36,    78 143,    1 573,    20.13,    130,1.66,    983,    12.58,    288,    3.69,    97,    1.24,    75,    0.96
    37,    73 064,    1 064,    14.56,    74,1.01,    634,    8.68,    209,    2.86,    60,    0.82,    87,    1.19
    38,    64 240,    647,    10.07,    66,    1.03,    332,    5.17,    146,    2.27,    53,    0.83,    50,    0.78
    39,    69 264,    492,    7.10,    49,    0.71,    214,    3.09,    119,    1.72,    32,    0.46,    78,    1.13
  40-44岁,    271 295,    749,    2.76,    82,    0.30,    252,    0.93,    197,    0.73,    105,    0.39,    113,    0.42
    40,    58 585,    275,    4.69,    33,    0.56,    106,    1.81,    67,    1.14,    34,    0.58,    35,    0.60
    41,    56 415,    178,    3.16,    10,    0.18,    63,    1.12,    57,    1.01,    26,    0.46,    22,    0.39
    42,    55 895,    130,    2.33,    18,    0.32,    43,    0.77,    35,    0.63,    20,    0.36,    14,    0.25
    43,    52 131,    95,    1.82,    12,    0.23,    27,    0．52,    23,    0.44,    15,    0.29,    18,    0.35
    44,    48 269,    71,    1.47,    9,    0.19,    13,    0.27,    15,    0.31,    10,    0.21,    24,    0.50
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    职业和,1989年年中,  出生,  生育率,,,,,,,,,,
    年龄别,妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  45-49岁,    192 589,    154,    0．80,    19,    0.10,    22,    0.11,    48,    0．25,    37,    0.19,    28,    0.15
    45,    45 165,    50,    1.11,    8,    0.18,    9,    0.20,    13,    0.29,    11,    0．24,    9,    0．20
    46,    42 727,    28,    0.66,    2,    0.05,    4,    0．09,    14,    0．33,    4,    0.09,    4,    0．09
    47,    40 798,    36,    0.88,    4,    0.10,    6,    0.15,    7,    0.17,    9,    0．22,    10,    0．25
    48,    35 631,    22,    0．62,    2,    0.06,    2,    0.06,    7,    0.20,    8,    0.22,    3,    0.08
    49,    28 268,    18,    0.64,    3,    0.11,    1,    0.04,    7,    0.25,    5,    0.18,    2,    0．07
国家机关党群组织、企事业单位负责人,    151 828,    6 459,    42.54,    4 376,    28.82,    1 733,    11.41,    244,    1.61,    74,    0.49,    32,    0.21
  15—19岁,    2 884,    45,    15.60,    43,    14.91,    1,    0.35,    1,    0.35,-,-,-,-
    15,    74,-,-,-,-,-,-,-,-,-,-,-,-
    16,    153,    1,    6.54,-,-,-,-,    1,    6.54,-,-,-,-
    17,    434,    1,    2.30,    1,    2.30,-,-,-,-,-,-,-,-
    18,    774,    11,    14.21,    10,    12.92,    1,    1.29,-,-,-,-,-,-
    19,    1 449,    32,    22.08,    32,    22.08,-,-,-,-,-,-,-,-
  20—24岁,    18 148,    2 473,    136.27,    2 256,    124.31,    194,    10．69,    19,    1.05,    4,    0．22,-,-
    20,    2 143,    84,    39.20,    81,    37.80,    3,    1.40,-,-,-,-,-,-
    21,    2 461,    164,    66.64,    153,    62.17,    10,    4.06,    1,    0.41,-,-,-,-
    22,    3 095,    348,112.44,    325,    105.01,    20,    6.46,    3,    0.97,-,-,-,-
    23,    4 778,    811,    169.74,    738,    154.46,    66,    13.81,    6,    1.26,    1,    0．21,-,-
    24,    5 671,    1 066,    187.97,    959,    169.11,    95,    16.75,    9,    1.59,    3,    0.53,-,-
  25—29岁,    23 867,    2 671,    111．91,    1 962,    82.21,    621,    26.02,    67,    2.81,    18,    0．75,    3,    0．13
    25,    6 720,    1 084,    161.31,    934,    138.99,    127,    18.90,    19,    2.83,    4,    0.60,-,-
    26,    7 097,    859,    121.04,    662,    93.28,    179,    25.22,    14,    1.97,    3,    0.42,    1,    0.14
    27,    3 932,    370,    94.10,    245,    62.31,    109,    27.72,    11,    2.80,    5,    1.27,-,-
    28,    2 693,    165,    61.27,    65,    24.14,    86,    31.93,    11,    4.08,    2,    0.74,    1,    0．37
    29,    3 425,    193,    56.35,    56,    16.35,    120,    35.04,    12,    3.50,    4,    1.17,    1,    0．29
  30—34岁,    27 245,    866,    31.79,    92,    3.38,    648,    23.78,    93,    3.41,    27,    0.99,    6,    0.22
    30,    3 615,    174,    48.13,    35,    9.68,    115,    31.81,    19,    5.26,    4,    1.11,    1,    0．28
    31,    5 117,    197,    38.50,    25,    4.89,    146,    28.53,    20,    3.91,    5,    0.98,    1,    0．20
    32,    5 646,    184,    32.59,    15,    2.66,    141,    24.97,    22,    3.90,    6,    1.06,-,-
    33,    5 844,    162,    27.72,    11,    1.88,    131,    22.42,    14,2.4,    4,    0.68,    2,    0.34
    34,    7 023,    149,    21.22,    6,    0.85,    115,    16.37,    18,    2.56,    8,    1.14,    2,    0.28
  35—39岁,    32 700,    342,    10.46,    18,    0.55,    242,    7.40,    52,    1.59,    17,    0．52,    13,    0.40
    35,    6 897,    127,    18.41,    6,    0.87,    95,    13.77,    18,    2.61,    6,    0．87,    2,    0．29
    36,    6 522,    83,    12.73,    4,    0．61,    65,    9.97,    1 1,    1.69,    2,    0.31,    1,    0.15
    37,    6 610,    74,    11.20,    5,    0.76,    46,    6.96,    11,    1.66,    7,    1.06,      5,    0．76
    38,    5 910,    28,    4.74,    2,    0.34,    20,    3.38,    6,    1.02,-,-,-,-
    39,    6 761,    30,    4.44,    1,    0.15,    16,    2.37,    6,    0．89,    2,    0．30,    5,    0.74
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
