表9—16  全国1989年育龄妇女分年龄、行业门类和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    行业和,1989年年中,  出生,  生育率,,,,,,,,,,
    年龄别,妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
总计,    259 691 267, 21 425 394,    82.50,  10 602 003,    40.83,  6 686 992,    25.75,  2 673 157,    10.29,    907 350,    3.49,    555 892,    2.14
15-19岁,    46 372 458,    1 171 525,    25.26,    1 040 447,    22.44,    122 545,    2.64,    7 697,    0.17,    678,    0．01,    158,    0．00
  15,    6 788 605,    5 899,    0.87,    5 627,    0.83,    212,    0.03,    27,    0.00,    18,    0.00,    15,    0.00
  16,    8 409 706,    29 619,    3.52,    28 430,    3.38,    1 106,    0.13,    56,    0.01,    13,    0.00,    14,    0．00
  17,    9 342 261,    106 929,    11.45,    100 342,    10.74,    6 266,    0.67,    280,    0.03,    25,    0.00,    16,    0.00
  18,    10 608 829,    304 006,    28.66,    276 711,    26.08,    26 054,    2.46,    1 131,    0.1 1,    82,    0.01,    28,    0.00
  19,    11 223 057,    725 072,    64.61,    629 337,    56.08,    88 907,    7.92,    6 203,    0.55,    540,    0．05,    85,    0.01
20—24岁,    54 747 129,  10 854 733,    198.27,  7 261 911,    132.64,  2 966 364,    54.18,    550 626,    10.06,    66 506,    1.21,      9 326,    0.17
  20,    11 902 608,    1 477 324,    124.12,  1 229 117,    103.26,    227 552,    19.12,    19 064,    1.60,    1 428,    0.12,    163,    0.01
  21,    10 785 685,    1 932 082,    179.13,  1 500 546,    139.12,    384 681,    35.67,    42 612,    3.95,    3 763,    0.35,    480,    0.04
  22,    10 099 751,    2 236 357,    221.43,  1 539 998,    152.48,    599 579,    59.37,    87 511,    8.66,    8 303,    0.82,    966,    0.10
  23,    11 134 752,    2 689 278,    241.52,  1 656 105,    148.73,    849 868,    76.33,    162 582,    14.60,    18 464,    1.66,    2 259,    0．20
  24,    10 824 333,    2 519 692,    232.78,  1 336 145,    123.44,    904 684,    83.58,    238 857,    22.07,    34 548,    3.19,    5 458,    0.50
25—29岁,    41 516 565,    6 417 876,    154.59,  2 091 291,    50.37,  2 635 906,    63.49,  1 275 122,    30.71,    331 228,    7.98,    84 329,    2.03
  25,    11 223 488,    2 237 818,    199.39,    964 496,    85.94,    891 983,    79.47,    315 681,    28.13,    56 727,    5.05,    8 931,    0.80
  26,    11 883 492,    1 989 634,    167.43,    661 569,    55.67,    838 438,    70.55,    387 837,    32.64,    85 765,    7.22,    16 025,    1.35
  27,    7 072 906,    1 030 122,    145.64,    253 043,    35.78,    432 037,    61.08,    255 408,    36.11,    72 181,    10.21,    17 453,    2.47
  28,    5 094 801,    571 679,    112.21,    122 684,    24.08,    231 512,    45.44,    151 011,    29.64,    51 316,    10.07,    15 156,    2.97
  29,    6 241 878,    588 623,    94.30,    89 499,    14.34,    241 936,    38.76,    165 185,    26.46,    65 239,    10.45,    26 764,    4.29
30—34岁,    38 847 792,  2 118 485,    54.53,    165 577,    4.26,    785 267,    20.21,    628 837,    16.19,    332 542,    8.56,    206 262,    5.31
  30,    6 197 132,    492 015,    79.39,    51 256,    8.27,    201 251,    32.47,    145 544,    23.49,    65 191,    10.52,    28 773,    4.64
  31,    8 263 635,    544 199,    65.85,    44 563,    5.39,    214 335,    25.94,    162 298,    19.64,    81 046,    9.81,    41 957,    5.08
  32,    8 064 194,    436 929,    54.18,    30 569,    3.79,    159 448,    19.77,    131 849,    16.35,    71 698,    8.89,    43 365,    5.38
  33,    7 793 871,    343 169,    44.03,    22 080,    2.83,    116 711,    14.97,    101 817,    13.06,    59 375,    7.62,    43 186,    5.54
  34,    8 528 960,    302 173,    35.43,    17 109,    2.01,    93 522,    10．97,    87 329,    10.24,    55 232,    6.48,    48 981,    5.74
35—39岁,    36 059 523,    693 711,    19.24,    34 798,    0.97,    159 880,    4.43,    183 123,    5.08,    141 351,    3.92,    174 559,    4.84
  35,    8 108 987,    226 734,    27.96,    12 002,    1.48,    63 429,    7.82,    63 938,    7.88,    43 642,    5.38,    43 723,    5.39
  36,    7 622 168,    169 462,    22.23,    8 471,    1.11,    41 391,    5.43,    46 364,    6.08,    34 297,    4.50,    38 939,    5.11
  37,    7 435 840,    132 435,    17.81,    6 371,    0.86,    28 088,    3.78,    34 697,    4.67,    27 960,    3.76,    35 319,    4.75
  38,    6 360 551,    89 260,    14.03,    4 344,    0.68,    16 187,    2.54,    21 973,    3.45,    19 414,    3.05,    27 342,    4.30
  39,    6 531 977,    75 820,    11.61,    3 610,    0.55,    10 785,    1.65,    16 151,    2.47,    16 038,    2.46,    29 236,    4.48
40—44岁,    24 495 666,    138 849,    5.67,    6 405,    0.26,    14 392,    0.59,    23 715,    0.97,    29 050,    1.19,    65 287,    2.67
  40,    5 532 034,    45 613,    8.25,    2 099,    0.38,    5 339,    0.97,    8 891,    1.61,    10 161,1.84,    19 123,    3.46
  41,    5 209 611,    34 179,    6.56,    1 514,    0.29,    3 508,    0.67,    6 119,    1.17,    7 231,    1.39,    15 807,    3.03
  42,    4 967 096,    25 024,    5.04,    1 179,    0.24,    2 433,    0.49,    3 971,    0.80,    5 155,    1.04,    12 286,    2.47
  43,    4 561 052,    18 987,    4.16,    950,    0.21,    1 788,    0.39,    2 786,    0.61,    3 733,    0.82,    9 730,    2.13
  44,    4 225 873,    15 046,    3.56,    663,    0.16,    1 324,    0.31,    1 948,    0.46,    2 770,    0.66,    8 341,    1.97
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
