,,,,,,,,,,,,,,,,,,,,,,,
表9--17全国按年龄和活产子女数分的15--64岁妇女人数,,,,,,,,,,,,表9--17全国按年龄和活产子女数分的15--64岁妇女人数(续02),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,单位：人,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,    活 产1个,,,    活产2个,,,,,,,    活产3个,,,,,    活产,    活产,    活产,    活产,    活产,    活产9个
    年龄别,    合计,    无活产,,,,,,,,,,    年龄别,,,,,,,,,,,
,,,    小计,    男,    女,    小计,    2男,    1男1女,    2女,,,,    小计,    3男,  2男1女,  1男2女,    3女,    4个,    5个,    6个,    7个,    8个,    及以上
总计,    364 219 700,    102 166 734,    67 697 301,    37 305 158,    30 392 143,    67 601 600,    18 677 272,    38 624 529,    10 299 799,,,总计,  46 511 613,    5 489 442,    19 579 139,  18 117 280,    3 325 752,    31 668 559,    21 104 014,    13 218 435,    7 191 210,    3 816 412,    3 243 822
15-19岁,    58 507 832,    57 390152,    1 017 664,    528 828,    488 836,    90 951,    23 678,    46 843,    20 430,,,15-19岁,    5 620,    787,    2 074,    2 124,    635,    1 307,    527,    995,    143,    81,    392
  15,    10 520 164,    10 514 093,    4 675,    2 964,    1 711,    723,    176,    413,    134,,,  15,    208,    26,    66,    85,    31,    157,    76,    143,    16,    7,    66
  16,    1 1 443 691,    11 423 431,    18 123,    9 856,    8 267,    1 219,    319,    660,    240,,,  16,    293,    46,    94,    118,    35,    220,    91,    171,    36,    16,    91
  17,    11 955 254,    11 873 989,    76 214,    39 753,    36 461,    3 904,    1 093,    1 995,    816,,,  17,    439,    80,    164,    157,    38,    224,    124,    226,    26,    21,    87
  18,    11928 154,    11 657 419,    250 960,    130 032,    120 928,    17 897,    4 772,    9 102,    4 023,,,  18,    1 133,    172,    438,    401,    122,    267,    116,    226,    34,    20,    82
  19,    12 660 569,    11 921 220,    667 692,    346 223,    321 469,    67 208,    17 318,    34 673,    15 217,,,  19,    3 547,    463,    1 312,    1 363,    409,    439,    120,    229,    31,    17,    66
20—24岁,    61 528 151,    36 178 753,    18 577 873,    9 764 631,    8 813 242,    5 827 093,    1 514 990,    3 136 125,    1 175 978,,,20—24岁,    841 871,    86 610,    300 932,    349 512,    104 817,    88 557,    10 371,    2 446,    546,    236,    405
  20,    12 844 729,    11 066 028,    1 536 540,    800 386,    736 154,    222 069,    56 667,    115 977,    49 425,,,  20,    17 349,    2 141,    6 459,    6 645,    2 104,    1 914,    346,    323,    53,    25,    82
  21,    13 335 020,        9 771 519,    2 946 306,    1 539 052,    1 407 254,    561 260,    144 341,    295 875,    121 044,,,  21,    50 473,    5 808,    18 647,    19 797,    6 221,    4 386,        597,    272,    58,    40,    109
  22,    11965 751,    7 036 555,    3 828 126,    2 006 468,    1 821 658,    977 412,    251 951,    521 089,    204 372,,,  22,    111 260,    12 021,    40 490,    44 978,    13 771,    10 398,    1 362,    402,    107,    52,    77
  23,    11 132 124,    4 720 903,    4 566 515,    2 403 637,    2 162 878,    1 592 386,    413 658,    856 661,    322 067,,,  23,    226 697,    23 019,    81 272,    93 957,    28 449,    22 423,    2 473,    501,    117,    50,    59
  24,    12 250 527,    3 583 748,    5 700 386,    3 015 088,    2 685 298,    2 473 966,    648 373,    1 346 523,    479 070,,,  24,    436 092,    43 621,    154 064,    184 135,    54 272,    49 436,    5 593,    948,    211,    69,    78
25—29岁,    50 754 542,    5 438 523,    23 080 657,    12 434 859,    10 645 798,    16 098 705,    4 350 440,    9 077 858,    2 670 407,,,25-29岁,    4 991 092,    474 157,    1 787 597,    2 180 678,    548 660,    953 141,    155 939,    28 284,    5 865,    1 599,    737
  25,    11 926 749,    2 259 442,    5 785 318,    3 080 137,    2 705 181,    3 082 180,    816 544,    1 697 169,    568 467,,,  25,    688 964,    67 199,    243 637,    294 692,    83 436,    95 190,    12 647,    2 241,    532,    135,    100
  26,    12 328 474,    1 480 801,    5 923 958,    3 177 387,    2 746 571,    3 726 996,    999 258,    2 081 032,    646 706,,,  26,    1 009 843,    96 165,    357 374,    438 860,    117444,    160 409,    21 898,    3 587,    649,    212,    121
  27,    13 060 283,    1 015 315,    5 890 227,    3 189 153,    2 701 074,    4 427 921,    1 206 361,    2 504 924,    716 636,,,  27,    1 419 670,    133 281,    504 763,    624 157,    157 469,    260 234,    39 014,    6 260,    1 186,    315,    141
  28,    7 783 117,    433 737,    3 095 012,    1 682 821,    1 412 191,    2 876 268,    790 510,    1 646 815,    438 943,,,  28,    1 085 514,    102 881,    394 283,    475 824,    112 526,    239 677,    42 553,    7 992,    1 711,    467,    186
  29,    5 655 919,    249 228,    2 386 142,    1 305 361,    1 080 781,    1 985 340,    537 767,    1 147 918,    299 655,,,  29,    787 101,    74 631,    287 540,    347 145,    77 785,    197 631,    39 827,    8 204,    1 787,    470,    189
30—34岁,    40 169 574,    824401,    13 151 093,    7 623 884,    5 527 209,    15 703 771,    4 218 571,    9 166 349,    2 318 851,,,30—34岁,    7 279 247,    700 738,    2 773 742,  3 203 444,    601 323,    2 322 554,    636 774,    177 011,    50 542,    16 470,    7 711
  30,    6 923 442,    219 463,    2 729 737,    1 522 546,    1 207 191,    2 544 031,    685 309,    1 476 915,    381 807,,,  30,    1 046 301,    97 688,    385 688,    465 240,    97 685,    288 010,    69 315,    18 272,    5 465,    1 852,    996
  31,    6 843 038,    162 263,    2 428 553,    1 392 222,    1 036 331,    2 633 128,    708 680,    1 533 383,    391 065,,,  31,    1 160 224,    110 369,    436 295,    512 383,    101 177,    343 821,    86 267,    21 320,    5 287,    1 529,    646
  32,    9 053 122,    172 596,    2 989 563,    1 743 368,    1 246 195,    3 559 959,    952 594,    2 081 748,    525 617,,,  32,    1 629 086,    156 315,    619 152,    719 157,    134 462,    513 440,    137 169,    36 664,    10 065,    3 226,    1 354
