,,,,,,,,,,,,,,,,,,,,,,,
表9--18全国市按年龄和活产子女数分的15--64岁妇女人数(第二口径),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,单位：人,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,    活产3个,,,,,    活产,    活产,    活产,    活产,    活产,    活产9个
,,,    活 产1个,,,    活产2个,,,,,,    年龄别,,,,,,,,,,,
    年龄别,    合计,    无活产,,,,,,,,,,,    小计,    3男,  2男1女,  1男2女,    3女,    4个,    5个,    6个,    7个,    8个,    及以上
,,,    小计,    男,    女,    小计,    2男,    1男1女,    2女,,,总计,    7 374 393,    917 401,    3 098 324,    2 755 333,    603 335,    4 887 124,    2 922 074,    1 606 025,    759 900,    353 826,    248 719
总计,    73 615 251,    20 769 111,    22 767 532,    12 250 508,    10 517 024,    1 1 926 547,    3 140 150,    6 653 293,    2 133 104,,,15-19岁,    409,    62,    152,    139,    56,    126,    60,    154,    21,    13,    57
1 5-19岁,    9 697 433,    9 618 576,    72 881,    38 432,    34 449,    5 136,    1 356,    2 659,    1 121,,,  1 5,    32,    3,    16,    6,     7,    18,    8,    26,    2,     2,    6
  15,    1 505 048,    1 504 469,    410,    298,,    75,    21,    44,    10,,,  16,    35,    6,    11,    12,    6,    18,    11,    21,   5,      2,    14
  16,    1 704 892,    1 703 472,    1 197,    696,    501,    117,    38,    59,    20,,,  17,    45,    11,    12,    17,    5,    29,    14,    39,      2,    1,    15
  17,    2 007 265,    2 002 076,    4 767,    2 577,    2 190,    277,    75,    145,    57,,,  18,    78,    12,    26,    26,    14,    30,    18,    33,     5,    6,    13
  18,    2 138 030,    2 120 180,    16 772,    8 71 1,    8 061,    895,    222,    478,    195,,,  19,    219,    30,    87,    78,    24,    31,    9,    35,    7,     2,    9
  19,    2 342 198,    2 288 379,    49 735,    26 150,    23 585,    3 772,    1 000,    1 933,    839,,,20—24岁,    41 795,    4 138,    14 502,    17 793,    5 362,    4 159,    476,    212,    31,    16,    70
20—24岁,    11 181 188,    8 212 643,    2 542 459,    1 336 648,    1 205 811,    379 327,    96 129,    204 957,    78 241,,,  20,    807,    103,    289,    304,111,    90,    23,    39,    3,    1,    13
