表9—1  省、自治区、直辖市的市分性别的出生人口数,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
    单位：人、％,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,    合计,,,,    1989年 上半年,,,,    1989年下半年,,,,    1990年上半年,,,
    地区别,,,,,,,,,,,,,,,,
,  合计,    男,    女,性别比,  小计,    男,    女,性别比,  小计,    男,    女,性别比,小计,    男,    女,  性别比
,,,,,,,,,,,,,,,,
总计,    4 880 486,    2 544 543,    2 335 943,  108.93,  1 619 21 1,    844 771,  774 440,  109.08, 1 798 129,    936 726,    861 403,  108.74, 1 463 146,    763 046,  700 100,    108.99
北京市,    124 895,    64 441,    60 454,  106.60,    42 966,    22 078,    20 888,  105.70,    43 410,    22 541,    20 869,  108.01,    38 519,    19 822,    18 697,    106.02
天津市,    108 732,    55 855,    52 877,  105.63,    36 324,    18 720,    17 604,  106.34,    41 125,    21 188,    19 937,  106.27,    31 283,    15 947,    15 336,    103.98
河北省,    193 789,    100 594,    93 195,  107.94,    67 343,    34 871,    32 472,  107.39,    69 812,    36 191,    33 621,  107.64,    56 634,    29 532,    27 102,    108.97
山西省,    170 933,    89 277,    81 656,  109.33,    55 851,    29 325,    26 526,  110.55,    62 353,    32 593,    29 760,  109.52,    52 729,    27 359,    25 370,    107.84
内蒙古自治区,    125 907,    65 533,    60 374,  108.55,    40 353,    21 020,    19 333,  108.73,    45 044,    23 403,    21 641,  108.14,    40 510,    21 110,    19 400,    108.81
辽宁省,    339 556,    174 789,    164 767,  106.08,    120 205,    61 810,    58 395,  105.85,  113 069,    58 428,    54 641,  106.93,  106 282,    54 551,    51 731,    105.45
吉林省,    160 087,    82 378,    77 709,  106.01,    58 682,    30 410,    28 272,107.56,    49 907,    25 483,    24 424,  104.34,    51 498,    26 485,    25 013,    105.88
黑龙江省,    269 961,    138 790,    131 171,  105.81,    96 177,    49 440,    46 737,  105.78,    87 631,    45 221,    42 410,  106.63,    86 1 53,    44 129,    42 024,    105.01
上海市,    139 250,    71 465,    67 785,  105.43,    45 847,    23 441,    22 406,  104.62,    54 216,    27 836,    26 380,  105.52,    39187,    20 188,    18 999,    106.26
江苏省,    224 109,    118 363,    105 746,  111.93,    72 860,    38 394,    34 466,111.4,    85 262,    44 932,    40 330,  111.41,    65 987,    35 037,    30 950,    113.21
浙江省,    130 712,    67 526,    63 186,  106.87,    41 635,    21 654,    19 98 1,  108.37,    50 697,    26 095,    24 602,  106.07,    38 380,    19 777,    18 603,    106.31
安徽省,    193 168,    100 788,    92 380,  109.10,    60 295,    31 623,    28 672,  110.29,    73 150,    38 058,    35 092,  108.45,    59 723,    31 107,    28 616,    108.70
福建省,    94 051,    49 693,    44 358,  112.03,    30 299,    16 001,    14 298,  111.91,    35 993,    19 040,    16 953,  112.31,    27 759,    14 652,    13 107,    111.79
江西省,    139 559,    73 310,    66 249,  110.66,    42 237,    22 273,    19 964,111.57,    56 284,    29 562,    26 722,  110.63,    41 038,    21 475,19 563,    109.77
山东省,    380 540,    203 080,    177 460,  114.44,    131 486,    70 193,    61 293,  114.52,  135 057,    71 932,    63 125,  113.95,  1 13 997,    60 955,    53 042,    114.92
河南省,    232 314,    123 119,    109 195,  112.75,    80 882,    42 825,    38 057,  112.53,    82 752,    43 678,    39 074,  111.78,    68 680,    36 616,    32 064,    114.20
湖北省,    309 663,    161 468,    148 195,  108.96,    95 798,    49 905,    45 893,  108.74,  124 217,    64 675,    59 542,  108.62,    89 648,    46 888,    42 760,    109.65
湖南省,    194 691,    100 850,    93 841,  107.47,    61 169,    31 747,    29 422,  107.90,    76 503,    39 612,    36 891,  107.38,    57 019,    29 491,    27 528,    107.13
广东省,    409 165,    217 061,    192 104,  112.99,    126 924,    67 595,    59 329,  113.93,    163 319,    86 274,    77 045,111.98,    1 18 922,    63 192,    55 730,    113.39
广西壮族自治区,    63 824,    33 725,    30 099,  112.05,    20 204,    10 542,    9 662,  109.11,    25 239,    13 377,    1 1 862,  112.77,    18 381,    9 806,    8 575,    114.36
海南省,    27 687,    14 515,    13 172,  110.20,    9 047,    4 749,    4 298,  1 10.49,    9 857,    5 093,    4 764,  106.91,    8 783,    4 673,    4 110,    113.70
四川省,    313 931,    162 943,    150 988,  107.92,    101 593,    52 810,    48 783,  108.25,  118 744,    61 609,    57 135,  107.83,    93 594,    48 524,    45 070,    107.66
贵州省,    136 487,    68 678,    67 809,  101.28,    45 645,    23 293,    22 352,  104.21,  49 786,    24 957,    24 829,  100.52,    41 056,    20 428,    20 628,    99.03
云南省,    46 879,    23 942,    22 937,  104.38,    14 913,    7 566,    7 347,  102.98,  18 273,    9 376,    8 897,  105.38,    13 693,    7 000,    6 693,  104.59
西藏自治区,    4 501,    2 281,    2 220,  102.75,    1 581,    814,    767,106.13,    1 668,    839,    829,  101.21,    1 252,    628,    624,  100.64
陕西省,    125 120,    65 658,    59 462,  110.42,    44 304,    23 133,    21 171,  109.27,    44 662,    23 376,    21 286,  109.82,    36154,    19 149,    17 005,  112.61
甘肃省,    97 924,    51 046,    46 878,  108.89,    32 822,    17 019,    15 803,  107.69,    36 919,    19 1 53,    17 766,  107.81,    28 183,    14 874,    13 309,  111.76
青海省,    18 659,    9 648,    9 011,  107.07,    5 978,    3 113,    2 865,  108.66,    6 953,    3 596,    3 357,  107.12,    5 728,    2 939,    2 789,  105.38
宁夏回族自治区,    19 090,    9 935,    9 155,  108.52,    6 152,    3 218,    2 934,  109.68,    7 042,    3 658,    3 384,  108.10,    5 896,    3 059,    2 837,  107.83
新疆维吾尔自治区,    85 302,    43 792,    41 510,  105.50,    29 639,    15 189,    14 450,  105.11,    29 185,    14 950,    14 235,  105.02,    26 478,    13 653,    12 825,  106.46
