表9-2省、自治区、直辖市的镇分性别的出生人口数,,,,,,,,,,,,,,,,
(1989．1．1-1 990．6．30),,,,,,,,,,,,,,,,
        单位：人、％,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,    合计,,,,    1989年 上半年,,,,    1989年下半年,,,,    1990年上半年,,,
    地区别,,,,,,,,,,,,,,,,
,  合计,    男,    女,性别比,  小计,    男,    女,性别比,  小计,    男,    女,性别比,  小计,    男,    女,  性别比
,,,,,,,,,,,,,,,,
总计,  2 133 725,  1 128 484,  1 005 241,  112.26,    707 765,    374 928,  332 837, 112.65, 786 569,  41 5 564,  371 005, 112.01, 639 391,  337 992,  301 399,  112.14
北京市,    9 422,    4 802,    4 620,  103.94,    3 221,    1 623,    1 598, 101.56,    3 406,    1 737,    1 669, 104.07,    2 795,    1 442,    1 353,  106.58
天津市,    4 918,    2 573,    2 345,  109.72,    1 661,    874,    787, 111.05,    1 818,    955,    863, 110.66,    1 439,    744,    695,  107.05
河北省,    80 023,    42 194,    37 829,  111.54,    28 369,    14 915,  13 454, 110.86,  28 765,  15 189,  13 576, 111.88,  22 889,  12 090,  10 799,  111.95
山西省,    52 481,    27 955,    24 526,  113.98,    17 695,    9 492,    8 203, 11 5.71,  19 473,  10 282,    9 191, 111.87,  15 313,    8 181,    7 132,  114.71
内蒙古自治区,    80 484,    41 502,    38 982,  106.46,    26 732,    13 833,  12 899, 107.24,  27 629,  14 291,  1 3 338, 107.14,  26 123,  13 378,  12 745,  104.97
辽宁省,    75 623,    39 348,    36 275,  108.47,    25 797,    13 461,  12 336, 109.12,  25 679,  13 282,  12 397, 107.14,  24 147,  12 605,  1 1 542,  109.21
吉林省,    81 782,    42 527,    39 255,  108.34,    29 490,    15 312,  14 178, 108.00,  25 959,  13 433,  12 526, 107.24,  26 333,  13 782,  12 551,  109.81
黑龙江省,    132 355,    68 374,    63 981,  106.87,    46 774,    24 412,  22 362, 109.17,  42 893,  22 090,  20 803, 106.19,  42 688,  21 872,  20 816,  105.07
上海市,    9 692,    4 951,    4 741,  104.43,    3 145,    1 567,    1 578,  99.30,    3 766,    1 917,    1 849, 103.68,    2 781,    1 467,    1 314,  111.64
江苏省,    99 557,    52 214,    47 343,  110.29,    31 315,    16 439,  14 876, 110.51,  38 490,  20 009,  18 481, 108.27,  29 752,  15 766,  13 986,  112.73
浙江省,    132 022,    71 570,    60 452,  118.39,    42 246,    22 897,  19 349, 118.34,  50 643,  27 331,  23 312, 117.24,  39 133,  21 342,  17 791,  119.96
安徽省,    94 819,    50 207,    44 612,  112.54,    29 445,    15 674,  13 771, 113.82,  35 693,  18 878,  16 81 5, 112.27,  29 681,  15 655,  14 026,  111.61
福建省,    68 632,    37 187,    31 445,  118.26,    22 048,    11 943,  10 105, 118.19,  26 451,  14 406,  12 045, 119.60,  20 133,  10 838,    9 295,  116.60
江西省,    58 426,    30 957,    27 469,  112.70,    18 284,    9 758,    8 526, 114.45,  22 641,  12 006,  10 635, 112.89,  17 501,    9 193,    8 308,  110.65
山东省,    166 027,    88 892,    77 1 35,  115.24,    56 936,    30 391,  26 545, 114.49,  60 098,  32 076,  28 022, 114.47,  48 993,  26 425,  22 568,  117.09
河南省,    137 500,    73 999,    63 501,  116.53,    48 332,    25 898,  22 434, 11 5.44,  49 658,  26 576,  23 082, 115.14,  39 510,  21 525,  17 985,  119.68
湖北省,    103 211,    54 992,    48 219,  114.05,    32 310,    17 230,  15 080, 114.26,  40 760,  21 709,  19 051, 113.95,  30 141,  16 053,  14 088,  113.95
湖南省,    75 685,    39 350,    36 335,  108.30,    24 270,    12 673,  1 1 597, 109.28,  28 726,  14 917,  13 809, 108.02,  22 689,  1 1 760,  10 929,  107.60
广东省,    197 633,    107 788,    89 845,  119.97,    64 033,    35 120,  28 913, 121.47,  77 652,  42 258,  35 394, 119.39,  55 948,  30 410,  25 538,  119.08
广西壮族自治区,    67 257,    35 894,    31 363,  114.45,    22 105,    11 745,  10 360, 113.37,  26 557,  14 206,  12 351, 115.02,  18 595,    9 943,    8 652,  114.92
海南省,    20 751,    11 857,    8 894,  133.31,    6 808,    3 881,    2 927, 132.59,    7 819,    4 483,    3 336, 134.38,    6 124,    3 493,    2631,  1 32.76
四川省,    118 203,    60 761,    57 442,  105.78,    38 763,    20 019,  18 744, 106.80,  42 546,  21 786,  20 760, 104.94,  36 894,  18 956,  17 938,  105.68
贵州省,    51 603,    26 645,    24 958,  106.76,    16 451,    8 550,    7 901, 108.21,  19 765,  10 194,    9 571, 106.51,  15 387,    7 901,    7 486,  105.54
云南省,    81 062,    41 754,    39 308,  106.22,    24 933,    12 854,  12 079, 106.42,  31 523,  16 286,  1 5 237, 106.88,  24 606,  12 614,  1 1 992,  105.19
西藏自治区,    2 409,    1 214,    1 195,  101.59,    836,    414,    422,    98.10,    920,    481,    439, 109.57,    653,    319,    334,    95.51
陕西省,    46 808,    24 783,    22 025,  112.52,    16 432,    8 772,    7 660, 114.52,  16 937,    8 991,    7 946, 113.15,  13 439,    7 020,    6 419,  109.36
甘肃省,    23 254,    12 483,    10 771,  115.89,    7 602,    4 076,    3 526, 115.60,    8 867,    4 820,    4 047, 119.10,    6 785,    3 587,    3 198,  112.16
青海省,    8 638,    4 397,    4 241,  103.68,    2 695,    1 356,    1 339, 101.27,    3 244,    1 653,    1 591, 103.90,    2 699,    1 388,    1 311,  105.87
宁夏回族自治区,    10 322,    5 347,    4 975,  107.48,    3 303,    1 742,    1561, 111.60,    3 875,    2 003,    1 872, 107.00,    3 144,    1 602,    1 542,  103.89
新疆维吾尔自治区,    43 126,    21 967,    21 159,  103.82,    15 734,    8 007,    7 727, 103.62,  14 316,    7 319,    6 997, 104.60,  13 076,    6 641,    6 435,  103.20
