表9—3  省、自治区、直辖市的县分性别的出生人口数,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
    单位：人、％,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,    合计,,,,    1989年 上半年,,,,    1989年下半年,,,,    1990年上半年,,,
    地区别,,,,,,,,,,,,,,,,
,  合计,    男,    女,性别比,  小计,    男,    女,性别比,  小计,    男,    女,性别比,  小计,    男,    女,性别比
总计,28 096 734,  14 832 902,  13 263 832,  111.83,    8 997 472,    4 753 927,  4 243 545,  112.03,10 715 741,  5 643 168,  5 072 573,  111.25,  8 383 521, 4 435 807,  3 947 714,  112.36
北京市,    83 960,    43 834,    40 126,  109.24,    27 756,    14 400,    13 356,  107.82,    32 1 17,    16 746,    15 371,  108.95,    24 087,    12 688,    11399,  111．31
天津市,    90 759,    48 710,    42 049,  115.84,    30 002,    15 955,    14 047,  113.58,    33 503,    18 005,    15 498,  116.18,    27 254,    14 750,    12 504,  117.96
河北省,    1 580 825,    839 019,    741 806,  113.10,    550 922,    292 081,    258 841,  112.84,    588 516,    310 558,    277 958,  111.73,    441 387,    236 380,    205 007,  115.30
山西省,    737 591,    385 365,    352 226,  109.41,    246 483,    129 263,    1 17 220,  110.27,    255 740,    132 664,    123 076,  107.79,    235 368,    123 438,    111 930,  110.28
内蒙古自治区,    424 093,    220 838,    203 255,  108.65,    1 31 581,    68 394,    63 187,  108.24,    154 873,    80 840,    74 033,  109.19,    137 639,    71 604,    66 035,  108.43
辽宁省,    504 817,    268 103,    236 714,  11 3.26,    163 791,    86 726,    77 065,  112.54,    177 041,    94 138,    82 903,  113.55,    163 985,    87 239,    76 746,  113.67
吉林省,    463 128,    242 241,    220 887,109.67,    163 657,    86106,    77 551,  111.03,    148 377,    76 944,    71 433,  107.71,    151 094,    79 191,    71 903,  110.14
黑龙江省,    547 025,    284 230,    262 795,  108.16,    190109,    98 986,    91 123,  108.63,    178 087,    92 248,    85 839,  107.47,    178 829,    92 996,    85 833,  108.35
上海市,    75 765,    38 588,    37 177,  103.80,    24 644,    12 556,    12 088,  103.87,    29 128,    14 870,    14 258,  104.29,    21 993,    11 162,    10 831,  103.06
江苏省,    1 652 484,    886 1 14,    766 370,  115.62,    502 050,    269 525,    232 525,  115.91,    640 229,    341 812,    298 417,  114.54,    510 205,    274 777,    235 428,  116.71
浙江省,    636 625,    347 032,    289 593,119.83,    200 846,    109 357,    91 489,  119.53,    247 411,    134 412,    112 999,  118.95,    188 368,    103 263,    85 105,  121.34
安徽省,    1 713 327,    901 261,    812 066,  110.98,    503 759,    266 215,    237 544,  112.07,    674 614,    354 149,    320 465,  110.51,    534 954,    280 897,    254 057,  110.56
福建省,    868 042,    453 697,    414 345,  109.50,    270 086,    141 406,    128 680,  109.89,    344 488,    178 359,    166 129,  107.36,    253 468,    133 932,    119 536,  112.04
江西省,  1 092 704,    574 191,    518 513,  110.74,    303 834,    160 300,    143 534,  111.68,    466 532,    243 718,    222 814,  109.38,    322 338,    170 173,    152 165,  111.83
山东省,  1 862 423,    997 179,    865 244,  11 5.25,    630 122,    334 774,    295 348,  113.35,    693 231,    371 769,    321 462,  115.65,    539 070,    290 636,    248 434,  116.99
河南省,  2 790 010,    1 501 250,    1 288 760,  116.49,    971 272,    521 501,    449 771,  115.95,  1 019 997,    547 459,    472 538,  115.86,    798 741,    432 290,    366 451,  117.97
湖北省,  1 465 907,    765 773,    700 134,  109.38,    429 174,    224 479,    204 695,  109.67,    605 893,    315 768,    290 125,  108.84,    430 840,    225 526,    205 314,  109.84
湖南省,  1 817 521,    954 643,    862 878,  110.63,    530 999,    279 542,    251 457,  111.17,    735 269,    385 188,    350 081,  110.03,    551 253,    289 913,    261 340,  110.93
广东省,  1 408 399,    739 728,    668 671,  110.63,    436 955,    229 787,    207 168,  110.92,    559 961,    292 573,    267 388,  109.42,    411 483,    217 368,    194 115,  111.98
广西壮族自治区,  1 191 545,    643 236,    548 309,  117.31,    398 663,    213 705,    184 958,  115.54,    476 554,    257 632,    218 922,  117.68,    316 328,    171 899,    144 429,  119.02
海南省,    183 838,    97 800,    86 038,  11 3.67,    63 1 14,    33 736,    29 378,  114.83,    64 278,    34 060,    30 218,  112.71,    56 446,    30 004,    26 442,  113.47
四川省,    2 338 259,    1 239 626,    1 098 633,  112.83,    718 309,    383 627,    334 682,  114.62,    936 941,    496 254,  440 687,  112.61,    683 009,    359 745,    323 264,  111.29
贵州省,    937 837,    471 123,    466 714,  100.94,    284 790,    145 123,    139 667,  103.91,    376 699,    189 798,  186 901,  101.55,    276 348,    136 202,    140 146,    97.19
云南省,    1 142 208,    592 106,    550 102,  107.64,    357 360,    185 281,    172 079,  107.67,    427 377,    221 801,  205 576,  107.89,    357 471,    185 024,    172 447,    107.29
西藏自治区,    92 221,    46 857,    45 364,  103.29,    35 983,    18 453,    17 530,  105.27,    27 959,    14 061,    13 898,  101.17,    28 279,    14 343,    13 936,    102.92
陕西省,    1 003 399,    528 778,    474 621,  111.41,    341 833,    179 305,    162 528,  110.32,    354 077,    186 309,    167 768,  111.05,    307 489,    163 164,    144 325,    113.05
甘肃省,    643 198,    338 271,    304 927,  110.94,    213 516,    11 1 975,    101 541,  110.28,    245 410,    127 976,    117 434,  108.98,    184 272,    98 320,    85 952,    114.39
青海省,    125 771,    64 121,    61 650,  104.01,    42 862,    21811,    21 051,  103.61,    42 945,    21 866,    21 079,  103.73,    39 964,    20 444,    19 520,    104.73
宁夏回族自治区,    141 645,    73 123,    68 522,  106.71,    48 203,    24 903,    23 300,  106.88,    48 026,    24 698,    23 328,  105.87,    45 416,    23 522,    21 894,    107.44
新疆维吾尔自治区,    481 408,    246 065,    235 343,  104.56,    184 797,    94 655,    90 142,  105.01,    130 468,    66 493,    63 975,  103.94,    166 143,    84 917,    81 226,    104.54
