表9-4全国按妇女的年龄和生育孩次分的出生人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1989．1．1．-1990．6．30．),,,,,,,,,,,,,,,,,,        单位：人,,,,,,,,,,,,,,,,,,  表9-4全国按妇女的年龄和生育孩次分的出生人口数(1989．1．1．-1990．6．30．)(续02),,,,,,,,,,,,,,,,,,表9-4全国按妇女的年龄和生育孩次分出生人口数(1989．1．1．-1990．6．30．)(续03),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,    1989年上半年,,,,,,    1989年下半年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,    1989年 上半年,,,,,,,,,,,,,,    年龄别,    四孩,,,    五孩及以上,,,    合计,,,    一孩,,,    二孩,,,,,,    1989年下半年,,,,,,,,,    1990年上半年,,,,,,,,,    1990年 上半年,,,,,,,,,,,
,    合,,,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,    年龄别,    三孩,,,    四孩,,,    五孩及以上,,,    合计,,,    一孩,,,,,    年龄别,    二孩,,,    三孩,,,    四孩,,,    五孩及以上,,
    年龄别,,    男,    女,    合计,,,    一孩,,,    二孩,,,    三孩,,,,,总计,    489 419,    277 512,    211 907,    324 399,    182 227,    142 172, 12 918 596, 6 868 264,  6 050 332,  6 634 047,  3 402 765,  3 231282,  3 918 236,  2 141 851, 1 776 335,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  合计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女
,    计,,,,,,,,,,,,,,,,,15-19岁,    81,    47,    34,    60,    45,    15,    335 087,    172 502,    162 585,    308 410,    158 508,    149 902,    25 495,    13 389,    12 106,,,总计,    1 547 654,    857 821,    689 833,    512 029,    291 658,    220 371,    306 630,    174 169,    132 461,10 164 423,  5 433 714,  4 730 709, 5 031 119,  2 587 200,2 443 919,,,总计,    3 209 712,    1 765 347,  1 444 365,    1 235 614,    690 269,    545 345,    416 704,    238 284,    178 420,    271 274,    152 614,    1 1 8 660
,,,,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,  1 5,    10,    7,    3,    6,    4,    2,    821,    469,    352,    740,    425,    315,    63,    32,    31,,,15-19岁,    1 051,    542,    509,    83,    41,    42,    48,    22,    26,    401 571,    207 643,    193 928,    363 352,    187 395,    175 957,,,15-19岁,    36 237,    19 182,    17 055,    1 797,    974,    823,    133,    68,    65,    52,    24,    28
总计,  34 016 299,  18 133 908,  15 882 391,  10 933 280,    5 831 930,    5 101 350,    5 156 267,  2 641 877,  2 514 390,  3 544 887,  1 944 575, 1 600 312,  1 418 308,    785 739,    632 569,,,  16,    13,    5,    8,    10,    10,    -,    4 903,    2 545,    2 358,    4 718,    2 453,    2 265,    151,    72,    79,,,  15,    11,    9,    2,    2,    1,    1,    5,    2,    3,    1 652,    841,    81 1,    1 554,    792,    762,,,  15,    72,    37,    35,    13,    5,    8,    6,    4,      2,    7,    3,    4
15-19岁,    917 577,    473 757,    443 820,    180 919,    93 612,    87 307,    167 117,    86 399,    80 718,    12 994,    6 760,    6 234,    667,    361,    306,,,  17,    13,    7,    6,    10,    8,    2,    23 530,    12 117,    11 413,    22 627,    11 636,    10 991,    855,    455,    400,,,  16,    16,    9,    7,    7,    5,    2,    11,    6,    5,    8 755,    4 555,    4 200,    8 460,    4 401,    4 059,,,  16,    258,    136,    122,    21,    12,    9,   7,     2,    5,    9,    4,   5
  15,    2 992,    1 595,    1 397,    519,    285,    234,    431,    231,    200,    62,    38,    24,    10,    5,     5,,,  18,    13,    9,    4,    16,    12,    4,    80 915,    41 574,    39 341,    75 959,    38 966,    36 993,    4 738,    2 503,    2 235,,,  17,    36,    19,    17,    3,    2,    1,    9,    5,    4,    34 881,    17 985,    16 896,    33 278,    17 099,    16 179,,,  17,    1 534,    848,    686,    57,    32,    25,   5,    2,    3,    7,    4,    3
  16,    15 798,    8 168,    7 630,    2 140,    1 068,    1 072,    1 992,    988,    1 004,    102,    55,    47,    23,    10,    13,,,  19,    32,    19,    13,    18,    11,    7,    224 918,    115 797,    109 121,    204 366,    105 028,    99 338,    19 688,    10 327,    9 361,,,  18,    193,    93,    100,    16,    8,    8,    9,    4,    5,    104 814,    54 056,    50 758,    96 894,    49 907,    46 987,,,  18,    7 570,    3 956,    3 614,    312,    179,    133,    29,    13,    16,    9,    1,    8
  17,    69 521,    35 763,    33 758,    11 110,    5 661,    5 449,    10 647,    5 431,    5 216,    413,    201,    212,    27,    14,    13,,,20-24岁,    14 692,    8 005,    6 687,    2 001,    1041,    960,  5 973 746,  3 129 107,  2 844 639,  4 331 797,  2 235 828,  2 095 969,  1 403 232,    761 954,    641 278,,,  19,    795,    412,    383,    55,    25,    30,    14,    5,    9,    251 469,    130 206,    121 263,    223 166,  115 196,    107 970,,,  19,    26 803,    14 205,    12 598,    1 394,    746,    648,    86,    47,    39,    20,    12,    8
