表9—5  全国市按妇女的年龄和生育孩次分的出生人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,表9-5全国市按妇女的年龄和生育孩次分的出生人口数(1989．1．1．-1990．6．30．)(续01),,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    1989年下半年,,,,,,,,,    1990年上半年,,,,,,,,,    1990年 上半年,,,,,,,,,,,
,,,,    1989年 上半年,,,,,,,,,,,,,,,    1989年上半年,,,,,,    1989年下半年,,,,,,,,,,,    年龄别,    三孩,,,    四孩,,,    五孩及以上,,,    合计,,,    一孩,,,,,    年龄别,    二孩,,,    三孩,,,    四孩,,,    五孩及以上,,
,,,,,,,,,,,,,,,,,,    年龄别,    四孩,,,    五孩及以上,,,    合计,,,    一孩,,,    二孩,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  合计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
    年龄别,    合,    男,    女,    合计,,,    一孩,,,    二孩,,,    三孩,,,,,,  小计,    男,    女,  小计,    男,    女,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,    92 189,    52 108,    40 081,    26 171,    1 5 141,    11 030,    13 225,    7 716,    5 509,  1 417 077,    745 748,    671 329,  1 023 624,    527 222,  496 402,,,总计,    291 453,    160 162,    131 291,    71 133,    40 546,    30 587,    20 087,    11690,    8 397,    10 780,    6 128,    4 652
,    计,,,,,,,,,,,,,,,,,总计,    25 648,    14 838,    10 810,    13 708,    7 870,    5 838,  1 743 722,    915 958,    827 764,  1 258 601,    647 379,  611 222,    353 536,    193 614,    159 922,,,15-19岁,    53,    22,    31,    6,    1,      5,    3,      2,    1,    28 181,    14 566,    13 615,    26 21 1,    13 531,    12 680,,,1 5-19岁,    1 865,    977,    888,    96,    53,    43,    4,    3,    1,      5,    2,     3
,,,,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,15-19岁,    2,    1,    1,    4,     2,     2,    22 613,    11 759,    10 854,    21 187,    10 985,    10 202,    1 364,    749,    615,,,  1 5,    1,    1,-,-,-,-,    1,    -,    1,    93,    46,    47,    85,    41,    44,,,  15,    6,    4,    2,    2,    1,    1,-,-,-,-,-,-
总计,  4 711 674,    2 475 348,    2 236 326,    1 550 875,    813 642,    737 233,    1 091 066,    559 191,    531 875,    334 482,    183 521,    150 961,    85 971,    48 222,    37 749,,,  15,    1,    1,-,-,-,-,    51,    34,    17,    46,    30,    16,    3,    3,     -,,,  16,    1,,    1,-,-,-,    1,    1,-,    469,    233,    236,    462,    229,    233,,,  16,    6,    4,    2,-,-,-,-,-,-,    1,-,    1
15-19岁,    63 492,    33 026,    30 466,    12 698,    6 701,    5 997,    11 963,    6 322,    641,    698,    357,    341,    31,    19,    12,,,  16,    1,-,    1,    1,    1,-,    299,    163,    136,    287,    159,    128,    10,    3,    7,,,  17,    1,    1,-,    1,-,    1,-,-,-,    2 072,    1 081,    991,    1 991,    1 042,    949,,,  17,    75,    34,    41,    5,    4,    1,-,-,-,    1,    1,-
  15,    175,    96,    79,    31,    16,    15,    26,    12,    14,    3,    2,    1,    1,    1,     -,,,  17,-,-,-,-,-,-,    1 379,    741,    638,    1 328,    710,    618,    49,    30,    19,,,  18,    7,     2,    5,    4,    1,     3,-,-,-,    6 881,    3 544,    3 337,    6 504,    3 351,    3 1 53,,,  18,    356,    180,    176,    19,    12,7,    1,    1,-,    1,    -,    1
