表9-6全国镇按妇女的年龄和生育孩次分的出生人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1989．1．1．-1990．6．30．),,,,,,,,,,,,,,,,,,表9-6全国镇按妇女的年龄和生育孩次分的出生人口数(1989．1．1．-1990．6．30．)(续01),,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    1989年下半年,,,,,,,,,    1990年上半年,,,,,,,,,    1990年 上半年,,,,,,,,,,,
,,,,    1989年 上半年,,,,,,,,,,,,,,,    1989年上半年,,,,,,    1989年下半年,,,,,,,,,,,    年龄别,    三孩,,,    四孩,,,    五孩及以上,,,    合计,,,    一孩,,,,,    年龄别,    二孩,,,    三孩,,,    四孩,,,    五孩及以上,,
,    合,,,,,,,,,,,,,,,,,    年龄别,    四孩,,,    五孩及以上,,,    合计,,,    一孩,,,    二孩,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  合计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
    年龄别,,    男,    女,    合计,,,    一孩,,,    二孩,,,    三孩,,,,,,  小计,    男,    女,  小计,    男,    女,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,    45 116,    25 421,    19 695,    13 083,    7 552,    5 531,    6 309,    3 663,    2 646,    620 747,    331 160,    289 587,    422 340,    219 974,  202 366,,,总计,    148 732,    83 100,    65 632,    34 704,    19 506,    15 198,    10 005,    5 770,    4 235,    4 966,    2 810,    2 156
,    计,,,,,,,,,,,,,,,,,总计,    13 525,    7 797,    5 728,    7 198,    4 075,    3 123,    763 973,    406 693,    357 280,    518 495,    269 551,  248 944,    180 970,    100 506,    80 464,,,15-19岁,    29,    13,    16,    2,    1,    1,    3,    3,-,    15 924,    8 365,    7 559,    14 892,    7 830,    7 062,,,15-19岁,    977,    508,    469,    49,    25,    24,    5,    2,    3,    1,-,    1
,,,,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,15-19岁,     5,    3,    2,    3,     2,    1,    11 952,    6 234,    5 718,    11267,    5 863,    5 404,    651,    354,    297,,,  1 5,    1,-,    1,-,-,-,-,-,-,    53,    37,    16,    50,    34,    16,,,  15,    3,    3,-,-,-,-,-,-,-,-,-,-
总计,    2 066 157,    1 101 099,    965 058,    681 437,    363 246,    318 191,    435 196,    225 709,    209 487,    181130,    101 004,    80126,    44 388,    24 661,    19 727,,,  15,    2,    1,    1,-,-,-,    27,    16,    11,    23,    1 5,    8,    3,    1,    2,,,  16,    1,-,    1,-,-,-,    1,    1,-,    267,    145,    122,    256,    138,    118,,,  16,    10,    7,    3,    1,-,    1,-,-,-,-,-,-
15-19岁,    34 827,    18 256,    16 571,    6 951,    3 657,    3 294,    6 562,    3 432,    3 130,    361,    207,    154,    20,    13,    7,,,  16,    1,    1,-,    1,    1,-,    163,    76,    87,    152,    68,    84,    9,    7,    2,,,  17,    2,    1,    1,-,-,-,    2,    2,-,    1 192,    634,    558,    1 143,    610,    533,,,  17,    47,    23,    24,    2,    1,    1,-,-,-,-,-,-
  15,    105,    67,    38,    25,    14,    11,    21,    12,    9,    2,    1,    1,-,-,-,,,  17,-,-,-,    1,    1,-,    798,    403,    395,    770,    386,    384,    24,    14,    10,,,  18,    6,    4,   2,     2,    1,    1,-,-,-,    3 828,    1 974,    1 854,    3 616,    1 874,    1 742,,,  18,    202,    94,    108,    9,    6,    3,    1,-,    1,-,-,-
  16,    499,    254,    245,    69,    33,    36,    62,    29,    33,    3,    1,    2,    2,    1,    1,,,  18,-,-,-,-,-,-,    2 729,    1 464,    1 265,    2 599,    1 393,    1 206,    122,    66,    56,,,  19,    19,    8,    11,-,-,-,-,-,-,    10 584,    5 575,    5 009,    9 827,    5 174,    4 653,,,  19,    715,    381,    334,    37,    18,    19,    4,2,    2,    1,-,    1
  17,    2 380,    1252,    1 128,    390,    21 5,    175,    377,    204,    173,    11,    9,    2,    1,    1,-,,,  19,    2,    1,    1,    1,   -,    1,    8 235,    4 275,    3 960,    7 723,    4 001,    3 722,    493,    266,    227,,,20-24岁,    4 759,    2 685,    2 074,    428,    249,    179,    56,    29,    27,  297 744,    157 165,    140 579,    254 267,    132 972,    121 295,,,20-24岁,    38 183,    21 226,    16 957,    4 729,    2 686,    2 043,    502,    249,    253,      63,    32,    31
