表9-7全国县按妇女的年龄和生育孩次分的出生人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1989．1．1．-1990．6．30．),,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,表9-7全国县按妇女的年龄和生育孩次分的出生人口数(1989．1．1．-1990．6．30．)(续03),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,    1989年上半年,,,,,,    1989年下半年,,,,,,,,,,,,    1989年下半年,,,,,,,,,    1990年上半年,,,,,,,,,,,,,,,,,,,,
,,,,    1989年 上半年,,,,,,,,,,,,,,    年龄别,    四孩,,,    五孩及以上,,,    合计,,,    一孩,,,    二孩,,,,,    年龄别,    三孩,,,    四孩,,,    五孩及以上,,,    合计,,,    一孩,,,,,,    1990年 上半年,,,,,,,,,,,
,    合,,,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  合计,  男,  女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  合计,    男,    女,  小计,    男,    女,,,    年龄别,    二孩,,,    三孩,,,    四孩,,,    五孩及以上,,
    年龄别,,    男,    女,    合计,,,    一孩,,,    二孩,,,    三孩,,,,,总计,    450 246,    254 877,    195 369,    303 493,    170 282,    133 211,    10 410 901,  5 545 613,  4 865 288,  4 856 951,  2 485 835, 2 371 116,  3 383 730,  1 847 731,1 535 999,,,总计,    1 410 349,    780 292,    630 057,    472 775,    268 965,    203 810,    287 096,    162 790,    124 306,  8 126 599,  4 356 806,  3 769 793,  3 585 155,  1 840 004,1 745 151,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
,    计,,,,,,,,,,,,,,,,,15-19岁,    74,    43,    31,    53,    41,    12,    300 522,    154 509,    146 013,    275 956,    141 660,    134 296,    23 480,    12 286,  11 194,,,15-19岁,    969,    507,    462,    75,    39,    36,    42,    17,    25,    357 466,    184 712,    172 754,    322 249,    166 034,    156 215,,,总计,    2 769 527,    1 522 085,    1 247 442,    1 129 777,    630 217,    499 560,    386 612,    220 824,    165 788,    255 528,    143 676,    11 1 852
,,,,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,  15,    7,    5,    2,    6,    4,     2,    743,    419,    324,    671,    380,    291,    57,    28,    29,,,  15,    9,    8,    1,     2,    1,    1,    4,    2,   2,    1 506,    758,    748,    1 419,    717,    702,,,15-19岁,    33 395,    17 697,    15 698,    1 652,    896,    756,    124,    63,    61,    46,    22,    24
总计,  27 238 468,  14 557 461,  12 681 007,    8 700 968,    4 655 042,    4 045 926,    3 630 005,  1 856 977,  1 773 028,  3 029 275,  1 660 050,  1 369 225,  1 287 949,    712 856,  575 093,,,  16,    11,    4,    7,    8,    8,     -,    4 441,    2 306,    2 135,    4 279,    2 226,    2 053,    132,    62,    70,,,  16,    14,    9,    5,    7,    5,   2,    9,    4,    5,    8 019,    4 177,    3 842,    7 742,    4 034,    3 708,,,  15,    63,    30,    33,    11,    4,    7,    6,    4,    2,    7,    3,    4
15-19岁,    819 258,    422 475,    396 783,    161 270,    83 254,    78 016,    148 592,    76 645,    71 947,    11 935,    6 196,    5 739,    616,    329,    287,,,  17,    13,    7,    6,    9,    7,    2,    21 353,    10 973,    10 380,    20 529,    10 540,    9 989,    782,    411,    371,,,  17,    33,    17,    16,    2,    2,   -,       7,    3,    4,    31 617,    16 270,    15 347,    30 144,    15 447,    14 697,,,  16,    242,    125,    117,    20,    12,    8,     7,   2,    5,    8,    4,    4
  15,    2 712,    1 432,    1 280,    463,    255,    208,    384,    207,    177,    57,    35,    22,    9,    4,    5,,,  18,    13,    9,    4,    15,    12,    3,    73 084,    37 543,    35 541,    68 478,    35 124,    33 354,    4 407,    2 322,    2 085,,,  18,    180,    87,    93,    10,    6,    4,    9,    4,    5,    94 105,    48 538,    45 567,    86 774,    44 682,    42 092,,,  17,    1 412,    791,    621,    50,    27,    23,     5,     2,    3,    6,    3,     3
  16,    14 390,    7 442,    6 948,    1 930,    959,    971,    1 799,    889,    910,    94,    50,    44,    18,    8,    10,,,  19,    30,    18,    12,    15,    10,    5,    200 901,    103 268,    97 633,    181 999,    93 390,    88 609,    18 102,    9 463,    8 639,,,  19,    733,    386,    347,    54,    25,    29,    13,    4,    9,    222 219,    114 969,    107 250,    196 170,    101 154,    95 016,,,  18,    7 012,    3 682,    3 330,    284,    161,    123,    27,    12,    15,    8,    1,      7
  17,    63 012,    32 350,    30 662,    10 042,    5 107,    4 935,    9 622,    4 902,    4 720,    372,    178,    194,    26,    13,    13,,,20-24岁,    13 652,    7 424,    6 228,    1 866,    969,    897,    4 969 219,  2 603 014,  2 366 205,  3 475 687,  1 791 382,  1 684 305,  1 271 834,    689 832,  582 002,,,20-24岁,    199 223,    109 391,    89 832,    20 172,    11 173,    8 999,    2 303,    1 236,    1 067,  3 970 319,  2 091 315,  1 879 004,  2 586 067,  1 334 543,1 251 524,,,  19,    24 666,    13 069,    11 597,    1 287,    692,    595,    79,    43,    36,    17,    11,    6
  18,    205 995,    106 119,    99 876,    38 806,    20 038,    18 768,    36 390,    18 793,    17 597,    2 267,    1 165,    1 102,    121,    59,    62,,,  20,    268,    136,    132,    50,    25,    25,    457 974,    237 227,    220 747,    394 802,    203 884,    190 918,    58 893,    31 123,    27 770,,,  20,    3 950,    2 050,    1 900,    287,    151,    136,    42,    19,    23,    474 029,    246 195,    227 834,    398 221,    205 947,    192 274,,,20-24岁,    1 148 490,    626 395,    522 095,    207 943,    114 890,    93 053,    24 436,    13 656,    10 780,    3 383,    1 831,    1 552
  19,    533 149,    275 132,    258 017,    110 029,    56 895,    53 1 34,    100 397,    51 854,    48 543,    9 145,    4 768,    4 377,    442,    245,    197,,,  21,    586,    31 5,    271,    71,    36,    35,    898 763,    467 31 1,    431 452,    738 538,    381 630,    356 908,    146 542,    78 250,    68 292,,,  21,    12 694,    6 896,    5 798,    895,    482,    413,    94,    53,    41,    782 048,    407 294,    374 754,    611 047,    315 334,    295 713,,,  20,    69 452,    36 905,    32 547,    5 739,    3 022,    2 717,    531,        270,    261,    86,    51,    35
20-24岁,  12 353 209,    6 483 279,    5 869 930,    3 413 671,    1 788 950,    1 624 721,    2 377 168,  1 226 447,  1 150 721,    890 385,    482 848,    407 537,    130 600,    71 262,    59 338,,,  22,    1 577,    849,    728,    229,    113,    116,    1 094 379,    571 238,    523 141,    826 206,    426 491,    399 715,    237 881,    128 269,    109 612,,,  22,    27 668,    15 006,    12 662,    2 335,    1 324,    1 011,    289,    148,    141,    862 613,    453 030,    409 583,    595 054,    307 844,    287 210,,,  21,    153 422,    82 429,    70 993,    16 150,    8 779,    7 371,    1 284,    675,    609,    145,     77,    68
  20,    1 197 203,    620 620,    576 583,    265 200,    137 198,    128 002,    229 028,    118 217,  110 81 1,    33 315,    17 485,    15 830,    2 539,    1 335,    1 204,,,  23,    3 446,    1 880,    1 566,    463,    237,    226,    1 201 773,    631 190,    570 583,    786142,    404 617,    381 525,    354 165,    192 828,    161 337,,,  23,    55 682,    30 525,    25 157,    5 238,    2 926,    2 312,    546,    294,    252,    896 273,    474 233,    422 040,    522 793,    269 400,    253 393,,,  22,    231 543,    125 524,    106 019,    32 620,    17 804,    14 816,    2 989,    1 655,    1 334,    407,    203,    204
  21,    2 206 566,    1 147 862,    1 058 704,    525 755,    273 257,    252 498,    431 223,    222 945,  208 278,    86 600,    46 045,    40 555,    7 275,    3 916,    3 359,,,  24,    7 775,    4 244,    3 531,    1 053,    558,    495,    1 316 330,    696 048,    620 282,    729 999,    374 760,    355 239,    474 353,    259 362,    214 991,,,  24,    99 229,    54 914,    44 315,    11 417,    6 290,    5 127,    1 332,    722,    610,    955 356,    510 563,    444 793,    458 952,    236 018,    222 934,,,  23,    308 213,    168 705,    139 508,    57 999,    32 071,    25 928,    6 463,    3 622,    2 841,    805,    435,    370
