表9—8  全国1989年育龄妇女分年龄、文化程度和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,    生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
总计,    300 199 353,  23 850 536,    79.45,  11 790 815,    39.28,  7 462 351,    24.86,  2 965 302,    9.88,  1 011155,    3.37,    620 913,    2.07
15-19岁,    60 832 397,    1 337 535,    21.99,    1 189 198,    19.55,    138 767,    2.28,    8 622,    0.14,    759,    0．01,    189,    0．00
  15,    11 443 691,    7 043,    0.62,    6 710,    0.59,    253,    0．02,    39,    0.00,    22,    0.00,    19,    0.00
  16,    11955 254,    34 640,    2.90,    33 276,    2.78,    1 266,    0.11,    63,    0.01,    17,    0.00,    18,    0.00
  17,    11 928 1 54,    124 042,    10.40,    116 495,    9.77,    7 173,    0.60,    320,    0.03,    31,    0.00,    23,    0.00
  18,    12 660 569,    348 941,    27.56,    317 922,    25.11,    29 631,2.34,    1 269,    0.10,    88,    0.01,    31,    0.00
  19,    12 844 729,    822 869,    64.06,    714 795,    55.65,  100444,    7.82,    6 931,    0.54,    601,    0.05,    98,    0．01
20-24岁,    60 610 171,    12 049 695,    198.81,    8 066 430,    133.09,  3 285 811,    54.21,    612 794,    10.11,    74 358,    1.23,    10 302,    0.17
  20,    13 335 020,    1 657 824,    124.32,    1 379 428,    103.44,    255 136,    19.13,    21 486,    1.61,    1 594,    0.12,    180,    0.01
  21,    11 965 751,    2 157 318,    180.29,    1 675 084,    139.99,    429 570,    35.90,    47 925,    4.01,    4 199,    0.35,    540,    0.05
  22,    11 132 124,    2 484 083,    223.15,    1 710 938,    153.69,    664 796,    59.72,   97 961,    8.80,    9 327,    0.84,    1 061,    0．10
  23,    12 250 527,    2 970 482,    242.48,    1 829 620,    149.35,    936 985,    76.49,    180 783,    14.76,    20 600,    1.68,    2 494,    0.20
  24,    1 1 926 749,    2 779 988,    233.09,    1 471 360,    123.37,    999 324,    83.79,    264 639,    22.19,    38 638,    3.24,    6 027,    0.51
25-29岁,    45 751 235,    7 116 694,    155.55,    2 297 817,    50.22,  2 944 781,    64.37,  1 409 529,    30.81,    370 123,    8.09,    94 444,    2.06
  25,    12 328 474,    2 463 542,    199.83,    1 057 256,    85.76,    985 749,    79.96,    347 395,    28.18,    63 185,    5.1 3,    9 957,    0.81
  26,    13 060 283,    2 197 230,    168.24,    726 008,    55.59,    931 314,    71.31,    426 723,    32.67,    95 409,    7.31,    17 776,    1.36
  27,    7 783 117,    1 142 032,    146.73,    278 919,    35.84,    482 501,    61.99,    280 899,    36.09,    80 230,    10.31,    19 483,    2.50
  28,    5 655 919,    644 937,    114.03,    135 467,    23.95,    265 571,    46.95,    168 904,    29.86,    57 807,    10.22,    17 188,    3.04
  29,    6 923 442,    668 953,    96.62,    100 167,    14.47,    279 646,    40.39,    185 608,    26.81,    73 492,    10.61,    30 040,    4.34
30-34岁,    42 571 822,    2 372 991,    55.74,    187 319,    4.40,    890 492,    20.92,    697 687,    16.39,    368 471,    8.66,    229 022,    5.38
  30,    6 843 038,    556 300,    81.29,    57 851,    8.45,    230 522,    33.69,    162 766,    23.79,    72 901,    10.65,    32 260,    4.71
  31,    9 053 122,    608 906,    67.26,    50 198,    5.54,    242 083,    26.74,    179 935,    19.88,    89 978,    9.94,    46 712,    5.16
  32,    8 821 542,    487 965,    55.32,    34 643,    3.93,    179 984,    20.40,    145 929,    16.54,    79 237,    8.98,    48 172,    5.46
  33,    8 528 430,    383 096,    44.92,    25 013,    2.93,    132 101,    15.49,    112 594,    13.20,    65 460,    7.68,    47 928,    5.62
