表9—9  全国市1989年育龄妇女分年龄、文化程度和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,    生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
总计,    60 799 793,    3 294 515,    54.19,    2 349 735,    38.65,    687 938,    11．31,    178 118,    2.93,    52 252,    0．86,    26 472,    0.44
15-19岁,    10 576 218,    99 813,    9.44,    91 832,    8.68,    7 575,    0．72,    367,    0．03,    28,    0.00,    11,    0.00
  15,    1 704 892,    440,    0.26,    418,    0．25,    15,    0.01,    4,    0.00,    1,    0．00,    2,    0.00
  16,    2 007 265,    2 057,    1.02,    1 976,    0.98,    79,    0.04,    1,    0.00,    1,    0.00,-,-
  17,    2 138 030,    7 897,    3.69,    7 554,    3.53,    326,    0.15,    12,    0.01,    4,    0．00,    1,    0．00
  18,    2 342 198,    24 835,    10.60,    23 132,    9.88,    1 635,    0．70,    64,    0．03,    1,    0.00,    3,    0.00
  19,    2 383 833,    64 584,    27.09,    58 752,    24.65,    5 520,    2.32,    286,    0.12,    21,    0.01,    5,    0.00
20-24岁,    11 112 518,    1 551 259,    139.60,    1 293 937,    116.44,  222 840,    20.05,    30 676,    2.76,    3 394,    0.31,    412,    0.04
  20,    2 521 358,    154 671,    61.34,    138 413,    54.90,    15 113,    5.99,    1 062,    0.42,    76,    0．03,    7,    0．00
  21,    2 180 663,    224 200,    102.81,    195 084,    89.46,    26 605,    12.20,    2 284,    1.05,    202,    0.09,    25,    0.01
  22,    1 890 413,    278 946,    147.56,    230 967,    122.18,    42 753,    22.62,    4 761,    2.52,    420,    0.22,    45,    0.02
  23,    2 204 921,    423 287,    191.97,    348 497,    158.05,    64 615,    29.30,    9 099,    4.13,    968,    0.44,    108,    0.05
  24,    2 315 163,    470 155,    203.08,    380 976,    164.56,    73 754,    31.86,    13 470,5.82,    1 728,    0.75,    227,    0.10
25-29岁,    10 431 830,    1 232 154,    118.11,    855 093,    81.97,    273 925,    26.26,    80 408,    7.71,    18 685,    1.79,    4 043,    0.39
  25,    2 687 590,    454 544,    169.13,    353 711,    131.61,    79 076,    29.42,    18 412,    6.85,    2 931,    1.09,    414,    0．15
  26,    2 863 531,    388 927,    135.82,    277 630,    96.95,    82 429,    28.79,    23 473,    8.20,    4 621,    1.61,    774,    0.27
  27,    1 617 769,    175 625,    108.56,    110 594,    68.36,    44 589,    27.56,    15 764,    9.74,    3 839,    2.37,    839,    0.52
  28,    1 477 913,    109 554,    74.13,    65 082,    44.04,    30 093,    20.36,    10 456,    7.07,    3 144,    2.13,    779,    0．53
  29,    1 785 027,    103 504,    57.98,    48 076,    26.93,    37 738,    21.14,    12 303,    6.89,    4 150,    2.32,    1 237,    0.69
30-34岁,    9 858 846,    315 355,    31.99,    90 530,    9.18,    145 960,    14.80,    48 780,    4.95,    19 601,    1.99,    10 484,    1.06
  30,    1 689 725,    80 138,    47.43,    28 476,    16.85,    34 777,    20.58,    11 279,    6.68,    4 039,    2.39,    1 567,    0．93
  31,    2 155 293,    82 761,    38.40,    24 676,    11.45,    38 682,    17.95,    12 398,    5.75,    4 878,    2.26,    2 127,    0.99
  32,    2 017 129,    63 566,    31.51,    16 799,    8.33,    30 386,    15.06,    10 017,    4.97,    4 174,    2.07,    2 190,    1.09
  33,    1 939 932,    48 742,    25.13,    11863,    6.12,    23 288,    12.00,    8 007,    4.13,    3 377,    1.74,    2 207,    1.14
  34,    2 056 767,    40 148,    19.52,    8 716,    4.24,    18 827,    9.15,    7 079,    3.44,    3 133,    1.52,    2 393,    1.16
