表1    总人口、户籍人口、少数民族人口比重、非农业户口人口比重、城乡人口、家庭户人口、家庭户类别（全部数据）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
县市名,总人口（人）,,,总人口,户籍人口（人）,少数民族人口比重,非农业户口人口比重,城乡人口（人）,,家庭户,,,,家庭户类别（户）,,,
,合计,男,女,性别比,,（%）,（%）,城镇,乡村,户数（户）,人口数（人）,户规模（人/户）,其中：一人户(户),一代户,二代户,三代户,四代以上户
,,,,,,,,,,,,,,,,,
北京市,13569194,7074518,6494676,108.93,11167502,4.31,60.17,10522464,3046730,4096844,11922945,2.91,494553,1267259,2240735,578024,10826
市辖区,11509595,6020903,5488692,109.70,9285488,4.35,66.20,9876661,1632934,3483627,9983850,2.87,443010,1105041,1892079,478676,7831
东城区,535558,269492,266066,101.29,635381,6.40,89.73,535558,,169723,489295,2.88,23827,50061,90787,28595,280
西城区,706691,360472,346219,104.12,792201,5.94,88.30,706691,,230554,630535,2.73,36799,76851,121622,31762,319
崇文区,346205,173384,172821,100.33,414322,4.82,88.09,346205,,118524,328133,2.77,17744,38961,62366,17054,143
宣武区,526132,272000,254132,107.03,555035,7.40,90.00,526132,,173619,480961,2.77,25418,54503,93989,24929,198
朝阳区,2289756,1216155,1073601,113.28,1537899,5.00,73.04,2289756,,712624,1979644,2.78,99778,242632,382168,86667,1157
丰台区,1369480,719896,649584,110.82,825739,3.57,68.55,1369480,,431537,1215762,2.82,54246,142272,237601,50959,705
石景山区,489439,260316,229123,113.61,333887,3.04,79.38,489439,,153046,429593,2.81,18894,50854,83326,18643,223
海淀区,2240124,1195796,1044328,114.50,1628415,4.50,75.69,2240124,,614648,1708315,2.78,86676,207343,329467,76597,1241
门头沟区,266591,138307,128284,107.81,236573,1.31,60.96,187616,78975,86818,256102,2.95,8828,25827,49806,11028,157
房山区,814367,422230,392137,107.67,752347,2.71,33.73,379882,434485,236802,753256,3.18,18858,59381,139192,37451,778
通州区,673952,339349,334603,101.42,602121,3.89,31.99,346645,327307,205049,630961,3.08,19481,56789,113426,33839,995
顺义区,636479,325122,311357,104.42,544153,2.82,20.77,207341,429138,179649,585370,3.26,14144,45667,95643,37157,1182
昌平区,614821,328384,286437,114.64,427415,3.21,41.90,251792,363029,171034,495923,2.90,18317,53900,92686,23995,453
市辖县,2059599,1053615,1005984,104.73,1882014,4.13,26.42,645803,1413796,613217,1939095,3.16,51543,162218,348656,99348,2995
大兴县,671444,350691,320753,109.33,533127,3.83,30.15,188109,483335,180621,602419,3.34,13559,43432,100455,35484,1250
