表2    分年龄、性别的人口（全部数据）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位：人
县市名,0岁,,1-4岁,,5-9岁,,10-14岁,,15-19岁,,20-24岁,,25-29岁,,30-34岁,,35-39岁,,40-44岁,,45-49岁,,50-54岁,,55-59岁,,60-64岁,,65-69岁,,70-74岁,,75-79岁,,80-84岁,,85岁及以上,
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京市,42727,38654,189906,171291,274481,250552,451762,424395,651212,582961,703886,555622,684362,587045,712527,605361,757145,656727,645160,592807,554846,538458,344683,345399,241344,264371,265503,293143,247725,247949,162277,164859,88918,98208,38493,48109,17561,28765
市辖区,34823,31159,152350,136779,216417,197198,349358,329215,563329,501290,635700,492958,595139,501297,605420,504627,648215,551868,553099,505552,475765,459217,291115,290399,201407,225695,224280,257186,212217,214594,139029,140960,75706,83211,32360,40457,15174,25030
东城区,1244,1101,5018,4603,8707,8146,16099,15430,24761,21794,23285,19017,21391,19475,20871,20025,28788,28049,29781,29314,25330,25620,14775,14272,9081,9773,10253,13866,11361,13333,8921,10249,5630,6594,2828,3324,1368,2081
西城区,1663,1452,6733,5956,11447,10525,20297,19247,33473,29771,34305,26478,30270,26369,29141,26600,37329,35085,37271,36129,32037,31884,18817,18380,12356,13610,13983,18367,16216,18180,12392,13211,7430,8365,3544,4096,1768,2514
崇文区,732,665,3331,3054,5949,5400,11236,10533,15961,15019,12582,11785,11705,11485,12745,12936,20569,19401,21410,20503,16890,16100,8862,7996,5041,5285,6053,9030,7883,9441,6116,6821,3787,4300,1751,2036,781,1031
宣武区,1083,1010,4500,4195,8036,7562,15903,15185,24151,21473,22624,16676,20236,16793,21278,18057,31345,27860,31770,29455,26537,25173,14634,13890,9109,9269,10286,13635,12159,13651,9235,9776,5515,6043,2482,2840,1117,1589
朝阳区,6708,5898,30550,26981,38790,35054,54613,50932,108264,93526,136184,103768,129706,107601,130859,104487,132973,106925,109859,96933,94167,89937,58976,59246,42733,47064,48913,55612,44481,41179,26898,24214,13543,13390,5358,6428,2580,4426
丰台区,4479,3914,20253,17882,25006,22927,36064,34011,60507,54465,70786,55603,75806,64883,77637,63995,82662,68238,70974,63131,57899,54473,35184,33677,22640,25926,25838,31370,25621,25021,15799,15332,8017,8563,3198,3791,1526,2382
