表3    各年龄组人口比重、有老年人口的户数、人口自然变动、迁入人口（全部数据）,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
县市名,各种年龄组人口占总人口比重(%) ,,,,有65岁及以上老年人口的户数(户),,,,人口自然变动(‰),,,总和生育率,迁入人口（人） ,,
,0-14岁,15-64岁,65岁及以上,15-49岁育龄妇女,合计,有一个老人,有二个老人,有二个以上老人,出生率,死亡率,自然增长率,（长表数据）,本县(市)/本市市区,本省其他县(市)、市区,外省
,,,,,,,,,,,,,,,
北京市,13.59 ,77.99 ,8.42 ,30.36 ,850821,572156,275793,2872,6.02 ,5.14 ,0.87 ,0.67 ,2034015,140299,2463217
市辖区,12.57 ,78.92 ,8.50 ,30.56 ,728247,489015,236822,2410,5.75 ,5.00 ,0.75 ,0.64 ,1922063,81874,2261763
东城区,11.27 ,76.47 ,12.27 ,30.49 ,48825,32518,16098,209,4.39 ,6.48 ,-2.09 ,0.52 ,74046,1596,70463
西城区,10.94 ,76.65 ,12.41 ,30.04 ,64455,41941,22269,245,4.42 ,6.58 ,-2.16 ,0.49 ,102475,2101,106436
崇文区,11.81 ,75.49 ,12.69 ,30.97 ,32877,22099,10686,92,4.05 ,6.07 ,-2.02 ,0.55 ,49715,1879,49507
宣武区,10.92 ,76.83 ,12.24 ,29.55 ,48039,32172,15741,126,3.99 ,6.19 ,0.00 ,0.59 ,89613,1671,61751
朝阳区,10.90 ,81.13 ,7.97 ,30.71 ,135841,91027,44359,455,5.52 ,4.11 ,1.42 ,0.61 ,515093,17294,511856
丰台区,12.01 ,80.01 ,7.98 ,31.02 ,81158,54261,26636,261,6.17 ,4.54 ,1.62 ,0.74 ,358697,15720,331851
石景山区,12.10 ,80.20 ,7.70 ,30.96 ,27450,17640,9748,62,6.25 ,4.40 ,1.85 ,0.63 ,81047,2689,126352
海淀区,10.54 ,82.22 ,7.24 ,31.62 ,119000,78443,40066,491,5.96 ,3.76 ,2.20 ,0.59 ,333379,15881,567537
门头沟区,15.25 ,75.55 ,9.21 ,28.77 ,18577,13055,5479,43,7.63 ,6.72 ,0.90 ,0.95 ,50310,696,30226
