表4    各种受教育程度人口、平均受教育年限、文盲人口（全部数据）,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
县市名,6岁及以上各种受教育程度人口（人）,,,,,,,,,,,,,,,,,,平均受教育年限（年）,,,15岁及以上文盲人口,,, 文盲率（%） ,,
,未上过学,,扫盲班,,小学,,初中,,高中,,中专,,大学专科,,大学本科,,研究生,,合计,男,女,合计,男,女, 合计 , 男 , 女 
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京市,127773,453864,13966,33289,1152146,1149580,2655655,2009511,1146366,1050919,434136,511935,522487,507442,621697,460571,114011,58642,9.99,10.30,9.65,577604,123251,454353,4.93,2.02,8.10
市辖区,80925,336686,10054,27616,885144,898519,2204592,1636038,1026095,937223,384844,464078,486111,476564,600886,447736,113050,58205,10.29,10.58,9.97,414170,76945,337225,4.12,1.46,7.03
东城区,2387,14773,328,1408,31033,35509,81539,64030,64000,61096,18938,26225,29497,30235,30451,23456,3624,2217,10.88,11.20,10.55,17772,2325,15447,3.74,0.98,6.52
西城区,2681,16206,408,1862,38563,44943,104625,80118,77052,72723,24181,33173,42225,43800,53151,40173,7255,4056,11.20,11.51,10.89,19335,2486,16849,3.07,0.78,5.45
崇文区,2140,13766,305,1156,24620,26483,59433,46721,43555,42003,12547,16098,14299,13634,10241,7748,1126,580,10.09,10.50,9.68,15715,1936,13779,5.15,1.27,9.00
宣武区,2822,15778,437,1635,34860,36818,89209,64753,63407,58854,21585,26303,26739,25361,23185,16577,2783,1527,10.53,10.85,10.18,18309,2669,15640,3.91,1.10,6.91
朝阳区,12005,52105,1775,4706,153566,158034,443473,309448,214673,189248,85163,101115,110072,108191,131806,100741,18341,10029,10.61,10.82,10.37,63125,11181,51944,3.09,1.03,5.44
丰台区,9655,41019,1189,3365,102928,105328,278484,202400,136589,120485,50444,59654,55562,51780,49604,36158,5588,2932,10.06,10.35,9.74,50444,9231,41213,4.19,1.46,7.22
石景山区,3097,13596,356,1010,33792,34041,86856,63482,56569,48832,20505,22123,22767,20638,22302,14011,2994,1670,10.43,10.75,10.06,17068,3104,13964,3.97,1.35,6.95
海淀区,8716,38792,1356,4333,125496,127013,342143,236873,185878,171412,64412,89065,120740,127504,237042,178212,67641,33480,11.61,11.83,11.37,45904,7849,38055,2.29,0.73,4.08
门头沟区,4318,13652,515,678,28887,27877,55495,42303,24449,21462,9273,9306,5912,5068,2546,1505,95,46,8.83,9.23,8.39,18122,4331,13791,8.02,3.69,12.69
房山区,11215,34509,962,2027,95945,96583,196126,152332,47640,43613,25378,26153,13783,11654,9662,5794,602,206,8.62,8.97,8.23,45460,10964,34496,6.84,3.18,10.77
通州区,6424,26986,768,2001,83183,84369,161336,137153,34535,34363,17909,19575,11906,10311,8306,6375,533,256,8.62,8.96,8.27,32597,5978,26619,5.81,2.13,9.52
顺义区,8507,32392,818,1764,77297,72117,162649,134763,34649,33967,12237,12154,9750,8136,4705,3083,204,94,8.38,8.77,7.97,39971,7961,32010,7.72,3.02,12.60
昌平区,6958,23112,837,1671,54974,49404,143224,101662,43099,39165,22272,23134,22859,20252,17885,13903,2264,1112,9.55,9.83,9.23,30348,6930,23418,5.67,2.41,9.43
市辖县,46848,117178,3912,5673,267002,251061,451063,373473,120271,113696,49292,47857,36376,30878,20811,12835,961,437,8.28,8.66,7.88,163434,46306,117128,9.83,5.46,14.36
大兴县,9179,30004,961,1396,77688,75977,162836,125994,39060,35308,17125,17181,13325,11150,12483,7269,618,304,8.70,9.09,8.27,39017,9014,30003,7.09,3.13,11.44
