表5    各职业大类人口和未工作人口（长表数据）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,单位：人
县市名,,,,,,,,,,,,,,,,,
,15岁及以上人口,各种职业人口,国家机关、党群组织、,专业技术人员,办事人员和有关人员,商业、服务业人员,农林牧渔水利业,生产、运输设备操作,不便分类的其他,各种未工作人口,在校学生,料理家务,离退休,丧失劳动能力,从未工作,失去工作,其他
,总        计,总        计,企业、事业单位负责人,,,,生  产  人  员,人 员 及 有 关 人 员,从  业  人  员,总        计,,,,,正在寻找工作,正在寻找工作,
,,,,,,,,,,,,,,,,,
北京市,1134081,688315,39126,118980,73985,165256,89008,201925,35,445766,109463,87793,164598,27912,13534,27615,14851
市辖区,969270,577505,35248,109708,68360,149743,42066,172350,30,391765,97762,68341,156900,17695,11857,25663,13547
东城区,43605,24332,2450,5596,4205,7176,34,4871,,19273,3412,1636,10863,424,803,1762,373
西城区,57918,32504,3453,8220,5829,8942,41,6019,,25414,5093,1932,14453,547,920,2139,330
崇文区,30198,16549,1400,3155,1868,6038,29,4058,1,13649,2288,1206,7054,293,358,1358,1092
宣武区,44460,24291,2232,5288,3687,6943,98,6043,,20169,3450,1472,11219,357,997,2167,507
朝阳区,196904,117418,8814,22685,16293,32512,2854,34253,7,79486,18436,10842,37114,1818,1850,5979,3447
丰台区,113582,69794,1817,11578,10076,20426,2454,23439,4,43788,7412,6767,20810,1019,1603,3243,2934
石景山区,42105,25806,1115,4893,2988,7027,401,9379,3,16299,4116,2555,7359,286,487,1279,217
海淀区,193122,111794,8719,32834,12353,31122,2369,24389,8,81328,34087,7566,29887,1528,2184,4038,2038
门头沟区,22757,12148,521,1438,1218,2770,1022,5179,,10609,1216,3657,2955,833,438,741,769
房山区,65498,41808,1293,4103,3126,5978,11742,15560,6,23690,4655,9407,4902,2826,693,663,544
通州区,55285,35069,1023,3140,2323,6372,10706,11504,1,20216,3745,7436,4353,2956,602,539,585
顺义区,50699,33783,790,2978,2050,6574,6335,15056,,16916,2735,7723,2126,3046,321,735,230
昌平区,53137,32209,1621,3800,2344,7863,3981,12600,,20928,7117,6142,3805,1762,601,1020,481
市辖县,164811,110810,3878,9272,5625,15513,46942,29575,5,54001,11701,19452,7698,10217,1677,1952,1304
大兴县,54150,36397,1284,3039,2124,5162,15679,9107,2,17753,4472,5193,3676,2576,612,837,387
平谷县,30521,20466,711,1712,783,2503,8374,6383,,10055,2071,3815,1143,2300,352,306,68
怀柔县,24426,16691,815,1547,1020,3233,5093,4981,2,7735,1664,3014,856,1674,163,316,48
密云县,33802,21834,789,1762,1074,2876,8508,6825,,11968,2155,4943,1172,2469,402,300,527
延庆县,21912,15422,279,1212,624,1739,9288,2279,1,6490,1339,2487,851,1198,148,193,274
,,,,,,,,,,,,,,,,,
天津市,797365,461104,18558,55548,34674,71695,140058,140232,339,336261,66259,79676,97246,26459,16693,31900,18028
市辖区,617642,331916,15444,48713,32214,61710,57569,116081,185,285726,57053,58767,93050,14952,14880,31142,15882
和平区,26542,12477,1457,2981,2024,3017,15,2979,4,14065,2891,1450,6506,221,506,1815,676
河东区,60874,29105,1823,5577,3889,6455,78,11275,8,31769,6269,3879,13152,610,1779,4651,1429
河西区,65480,32427,1473,7795,3926,8096,84,11053,,33053,7570,3448,14402,492,1492,4275,1374
南开区,74591,33037,2459,8227,4718,7822,115,9662,34,41554,11944,4575,15982,705,1776,4750,1822
河北区,53166,24145,1018,4424,3477,5823,58,9343,2,29021,5165,4034,10517,503,1551,4108,3143
