表7    人口婚姻状况和妇女生育状况（长表数据）,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,单位：人,,
县市名,15岁及以上人口,,,未婚,,,初婚有配偶,,,再婚有配偶,,,离婚,,,丧偶,,,15—50岁妇女,,,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,平均活产子女数,平均存活子女数,,
,,,,,,,,,,,,,,,,,,,,,,
北京市,1134081,582659,551422,267428,155338,112090,779056,394553,384503,24575,12620,11955,15152,7229,7923,47870,12919,34951,0.81,0.81,,
市辖区,969270,499072,470198,236955,137385,99570,658578,334204,324374,20033,10687,9346,13756,6391,7365,39948,10405,29543,0.76,0.75,,
东城区,43605,21162,22443,9748,5353,4395,29558,14286,15272,901,508,393,983,448,535,2415,567,1848,0.66,0.66,,
西城区,57918,28809,29109,13580,7691,5889,38580,19071,19509,1385,796,589,1276,545,731,3097,706,2391,0.65,0.65,,
崇文区,30198,15010,15188,6597,3662,2935,20601,10272,10329,674,379,295,628,275,353,1698,422,1276,0.72,0.72,,
宣武区,44460,22334,22126,9498,5451,4047,30591,15312,15279,933,521,412,998,451,547,2440,599,1841,0.70,0.70,,
朝阳区,196904,102888,94016,48529,28146,20383,134947,69538,65409,3727,2094,1633,2793,1287,1506,6908,1823,5085,0.69,0.69,,
丰台区,113582,58503,55079,24924,14435,10489,80586,40997,39589,2205,1212,993,1543,714,829,4324,1145,3179,0.76,0.76,,
石景山区,42105,22237,19868,10200,6230,3970,28892,14830,14062,859,476,383,661,315,346,1493,386,1107,0.74,0.73,,
海淀区,193122,101330,91792,63584,37272,26312,117719,59570,58149,3546,1951,1595,2653,1169,1484,5620,1368,4252,0.58,0.58,,
门头沟区,22757,11735,11022,4098,2534,1564,16357,8354,8003,711,339,372,301,173,128,1290,335,955,0.98,0.97,,
房山区,65498,33677,31821,12585,7489,5096,47717,24310,23407,1451,665,786,584,315,269,3161,898,2263,1.10,1.09,,
通州区,55285,27471,27814,10008,5529,4479,40878,20342,20536,1169,551,618,435,211,224,2795,838,1957,0.99,0.98,,
顺义区,50699,25662,25037,8987,5076,3911,37459,19014,18445,1231,593,638,376,214,162,2646,765,1881,1.09,1.08,,
昌平区,53137,28254,24883,14617,8517,6100,34693,18308,16385,1241,602,639,525,274,251,2061,553,1508,0.78,0.78,,
市辖县,164811,83587,81224,30473,17953,12520,120478,60349,60129,4542,1933,2609,1396,838,558,7922,2514,5408,1.13,1.12,,
大兴县,54150,28165,25985,11562,6944,4618,38817,19765,19052,1035,517,518,426,219,207,2310,720,1590,1.06,1.05,,
平谷县,30521,14926,15595,5241,2812,2429,22658,11150,11508,803,344,459,190,115,75,1629,505,1124,1.28,1.26,,
怀柔县,24426,12495,11931,4354,2594,1760,17732,8992,8740,864,342,522,287,184,103,1189,383,806,1.03,1.02,,
密云县,33802,16837,16965,5701,3299,2402,25059,12391,12668,1049,412,637,258,170,88,1735,565,1170,1.10,1.09,,
延庆县,21912,11164,10748,3615,2304,1311,16212,8051,8161,791,318,473,235,150,85,1059,341,718,1.24,1.23,,
,,,,,,,,,,,,,,,,,,,,,,
天津市,797365,398012,399353,154592,85420,69172,580349,289577,290772,14318,7083,7235,7812,3953,3859,40294,11979,28315,0.95,0.94,,
市辖区,617642,308470,309172,125557,69409,56148,443383,221319,222064,10407,5441,4966,6842,3303,3539,31453,8998,22455,0.83,0.83,,
和平区,26542,12799,13743,5869,3171,2698,17777,8667,9110,465,269,196,495,224,271,1936,468,1468,0.69,0.69,,
河东区,60874,30065,30809,12450,6793,5657,43502,21468,22034,892,489,403,799,372,427,3231,943,2288,0.74,0.74,,
河西区,65480,32268,33212,14654,7830,6824,45388,22530,22858,1020,580,440,944,415,529,3474,913,2561,0.69,0.69,,
南开区,74591,37233,37358,19184,10520,8664,49812,24739,25073,973,552,421,807,357,450,3815,1065,2750,0.66,0.65,,
河北区,53166,26373,26793,10759,5954,4805,37785,18758,19027,709,389,320,709,328,381,3204,944,2260,0.73,0.73,,
红桥区,43498,21401,22097,8335,4534,3801,31306,15503,15803,601,324,277,536,259,277,2720,781,1939,0.75,0.75,,
塘沽区,45750,23718,22032,9058,5242,3816,33477,17203,16274,825,439,386,549,288,261,1841,546,1295,0.85,0.84,,
汉沽区,14416,7133,7283,2092,1120,972,11044,5500,5544,425,225,200,203,100,103,652,188,464,0.98,0.97,,
大港区,30758,15371,15387,4965,2725,2240,23806,11889,11917,689,374,315,305,128,177,993,255,738,0.97,0.97,,
东丽区,34424,17416,17008,6133,3428,2705,25767,13018,12749,664,350,314,308,149,159,1552,471,1081,0.94,0.93,,
西青区,34319,17574,16745,7919,4484,3435,24101,12216,11885,654,352,302,224,110,114,1421,412,1009,0.87,0.87,,
津南区,32876,16452,16424,5990,3233,2757,24518,12337,12181,633,310,323,271,150,121,1464,422,1042,0.98,0.97,,
北辰区,36273,18423,17850,8004,4596,3408,25708,12892,12816,596,315,281,316,162,154,1649,458,1191,0.88,0.87,,
武清区,64675,32244,32431,10145,5779,4366,49392,24599,24793,1261,473,788,376,261,115,3501,1132,2369,1.14,1.13,,
市辖县,179723,89542,90181,29035,16011,13024,136966,68258,68708,3911,1642,2269,970,650,320,8841,2981,5860,1.32,1.31,,
宁河县,26902,13308,13594,4329,2215,2114,20476,10184,10292,735,357,378,175,105,70,1187,447,740,1.33,1.31,,
静海县,42481,21280,21201,6021,3413,2608,33255,16613,16642,903,402,501,236,148,88,2066,704,1362,1.18,1.18,,
宝坻县,49631,24503,25128,8421,4526,3895,37749,18718,19031,786,304,482,194,138,56,2481,817,1664,1.33,1.32,,
蓟县,60709,30451,30258,10264,5857,4407,45486,22743,22743,1487,579,908,365,259,106,3107,1013,2094,1.42,1.41,,
,,,,,,,,,,,,,,,,,,,,,,
河北省,5092327,2560446,2531881,1089610,611040,478570,3610998,1799633,1811365,89869,37677,52192,33419,23354,10065,268431,88742,179689,1.29,1.28,,
石家庄市,699666,349710,349956,158597,87448,71149,487685,242611,245074,10876,4911,5965,4664,3092,1572,37844,11648,26196,1.25,1.24,,
长安区,41711,21066,20645,11572,6180,5392,27837,14008,13829,700,402,298,392,163,229,1210,313,897,0.66,0.65,,
桥东区,23957,11908,12049,5669,3034,2635,16762,8335,8427,455,266,189,206,82,124,865,191,674,0.77,0.76,,
桥西区,22039,10558,11481,6468,3074,3394,14232,6996,7236,421,234,187,221,88,133,697,166,531,0.65,0.64,,
新华区,29286,14416,14870,7841,4011,3830,19775,9800,9975,537,314,223,256,111,145,877,180,697,0.69,0.68,,
郊区,34419,17118,17301,9086,4792,4294,23181,11616,11565,616,323,293,190,95,95,1346,292,1054,0.89,0.89,,
井陉矿区,7902,3864,4038,1094,581,513,5902,2940,2962,285,145,140,95,58,37,526,140,386,1.12,1.11,,
