表8    家庭户住房状况（全部数据、长表数据）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
县市名,全 部 数 据,,,长    表    数    据  （户）,,,,,,,,,,,,,
,家庭户（户）,平均每户住房间数,人均住房建筑面积,家庭户,住房中有无厨房,,是否饮用自来水,,住房中有无洗澡设施,,住房中有无厕所,,住房来源,,,,
,,（间/户）,（平方米/人）,,有,    无    ,    是    ,    否    ,有,    无    ,有,    无    ,自建,购买,租用,其他,
,,,,,,,,,,,,,,,,,
北京市,4096844,2.75,21.03,402717,332530,70187,393504,9213,236028,166689,292668,110049,125707,136957,126802,13251,
市辖区,3483627,2.58,20.48,341475,278377,63098,337136,4339,203934,137541,245402,96073,83679,123963,121916,11917,
东城区,169723,1.96,14.97,16180,8177,8003,16139,41,7574,8606,7129,9051,1410,4475,10027,268,
西城区,230554,1.93,16.77,22639,17847,4792,22607,32,12923,9716,14319,8320,1746,8827,11491,575,
崇文区,118524,1.69,12.86,11691,7534,4157,11640,51,4195,7496,4946,6745,885,2433,7052,1321,
宣武区,173619,1.80,15.78,16977,11311,5666,16913,64,8602,8375,9340,7637,1264,6132,9056,525,
朝阳区,712624,2.33,21.29,70258,60277,9981,69770,488,47944,22314,51682,18576,11421,29128,27453,2256,
丰台区,431537,2.31,19.84,40800,34065,6735,40443,357,25386,15414,29395,11405,6842,14775,17017,2166,
石景山区,153046,2.02,17.62,15091,12067,3024,15047,44,8647,6444,10523,4568,1477,7715,5293,606,
海淀区,614648,2.28,21.40,60430,51234,9196,60036,394,43598,16832,46804,13626,7107,28411,23146,1766,
门头沟区,86818,2.77,17.58,8720,6260,2460,8466,254,2704,6016,3789,4931,3409,2594,2426,291,
房山区,236802,3.67,22.20,23548,20504,3044,21179,2369,7795,15753,20261,3287,14354,6125,2598,471,
通州区,205049,4.25,24.63,20560,18785,1775,20486,74,13658,6902,17019,3541,13106,5163,1819,472,
顺义区,179649,4.16,25.22,17730,16890,840,17652,78,12798,4932,17318,412,12158,3477,1510,585,
