表6    各行业门类人口及三次产业人口比重（长表数据）,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,单位：人、%,
县市名,15岁及以上人口,各行业人口合计,,,,,,,,,,,,,,,,,三次产业人口占行业人口比重（%）,,,
,总        计,,农林牧渔业,采掘业,制造业,电力、煤气及,建筑业,地质勘查业、,交通运输、仓储,批发和零售,金融保险业,房地产业,社会服务业,卫生、体育和,教育、文化艺术及,科学研究和,国家机关、政党,其他行业,第一产业,第二产业,第三产业,
,,,,,,水的生产和供应业,,水利管理业,及邮电通信业,贸易、餐饮业,,,,社会福利业,广播电影电视业,综合技术服务业,机关和社会团体,,,,,
,,,,,,,,,,,,,,,,,,,,,,
北京市,1134081,688315,89657,5594,147281,6188,53530,1221,33285,124771,10911,12789,75511,18086,45427,19318,37500,7246,13.03,30.89,56.09,
市辖区,969270,577505,42637,4848,127208,5664,46395,976,28401,113757,10105,12267,69853,16330,41055,19063,32223,6723,7.38,31.88,60.74,
东城区,43605,24332,23,17,4095,277,1127,26,882,6121,662,762,4042,1059,2227,846,1913,253,0.09,22.67,77.24,
西城区,57918,32504,66,17,4571,252,1818,33,1021,7994,1118,1082,5272,1218,3411,1563,2862,206,0.20,20.48,79.31,
崇文区,30198,16549,12,4,3381,132,715,8,689,5167,410,479,2649,475,1010,341,895,182,0.07,25.57,74.35,
宣武区,44460,24291,33,11,4763,387,1618,40,1195,5156,613,726,3990,968,1849,749,1749,444,0.14,27.91,71.96,
朝阳区,196904,117418,2962,38,27283,1279,11044,128,5124,24274,1946,3187,16046,3158,7924,4553,6516,1956,2.52,33.76,63.71,
丰台区,113582,69794,2561,185,19608,751,4781,47,4450,14855,1234,1398,7874,2050,3680,1102,3630,1588,3.67,36.29,60.05,
石景山区,42105,25806,320,485,6152,723,2629,47,1454,5071,374,572,3081,841,1731,781,1036,509,1.24,38.71,60.05,
海淀区,193122,111794,2400,130,17507,668,9703,319,3734,24253,2526,2771,16291,3666,12933,7949,6265,679,2.15,25.05,72.80,
门头沟区,22757,12148,983,1277,2471,227,685,43,1239,1869,137,116,939,397,633,60,1009,63,8.09,38.36,53.55,
房山区,65498,41808,11548,2249,8616,446,3849,21,3117,4560,281,170,1917,800,1509,582,1762,381,27.62,36.26,36.12,
通州区,55285,35069,10912,8,8940,161,2210,107,1962,4600,273,298,2052,470,1216,167,1554,139,31.12,32.28,36.61,
顺义区,50699,33783,6614,101,11224,208,2904,86,1831,4483,270,307,2359,554,1156,68,1535,83,19.58,42.73,37.69,
昌平区,53137,32209,4203,326,8597,153,3312,71,1703,5354,261,399,3341,674,1776,302,1497,240,13.05,38.46,48.49,
市辖县,164811,110810,47020,746,20073,524,7135,245,4884,11014,806,522,5658,1756,4372,255,5277,523,42.43,25.70,31.87,
大兴县,54150,36397,15838,19,6623,157,2158,27,1107,4112,215,267,2049,625,1464,145,1502,89,43.51,24.61,31.88,
平谷县,30521,20466,8307,108,4775,52,1501,23,900,1594,154,35,652,307,833,11,1185,29,40.59,31.45,27.96,
怀柔县,24426,16691,5113,116,3174,106,1367,15,1195,2065,179,101,1210,261,679,29,913,168,30.63,28.54,40.83,
密云县,33802,21834,8455,473,4387,160,1454,136,1253,1975,136,93,1022,349,791,29,988,133,38.72,29.65,31.62,
延庆县,21912,15422,9307,30,1114,49,655,44,429,1268,122,26,725,214,605,41,689,104,60.35,11.98,27.67,
,,,,,,,,,,,,,,,,,,,,,,
天津市,797365,461104,139819,3246,132519,5494,19309,1615,24758,50780,5441,3748,19620,9357,20909,4270,17826,2393,30.32,34.82,34.85,
市辖区,617642,331916,57147,2927,113806,4884,15265,1297,20893,42866,4689,3672,17995,8175,17620,4211,14509,1960,17.22,41.24,41.54,
和平区,26542,12477,7,3,3668,224,558,9,515,2538,387,332,1230,645,1129,339,838,55,0.06,35.69,64.25,
河东区,60874,29105,59,27,12824,870,1373,132,1854,4266,503,473,2111,900,1817,410,1337,149,0.20,51.86,47.94,
河西区,65480,32427,72,5,11747,479,1701,170,1469,6010,825,713,2604,1216,2610,905,1708,193,0.22,42.96,56.81,
南开区,74591,33037,109,36,12227,594,1093,60,1351,5379,800,621,2594,1392,3607,861,1829,484,0.33,42.23,57.44,
河北区,53166,24145,20,16,10077,615,1142,41,2082,3671,342,352,1783,828,1474,518,953,231,0.08,49.08,50.84,
红桥区,43498,19064,32,9,8903,295,685,12,1028,3218,279,271,1404,512,1266,343,734,73,0.17,51.89,47.94,
塘沽区,45750,26333,762,644,7678,535,2210,160,5116,3612,376,340,1790,548,974,264,1135,189,2.89,42.03,55.08,
