表6—1    省、自治区、直辖市分性别、年龄的死亡人口（1999.11.1-2000.10.31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位:人,
地   区   别,死亡人口,,,0     岁,,,1-4 岁 ,,,5-9 岁,,,10-14 岁 ,,,15-19 岁,,,20-24 岁 ,,,25-29 岁,,,30-34 岁 ,,,35-39 岁,,,40-44 岁 ,,,45-49 岁,,,50-54 岁 ,,,55-59 岁,,,60-64 岁 ,,,65-69 岁,,,70-74 岁 ,,,75-79 岁,,,80-84 岁 ,,,85-89 岁,,,90-94 岁 ,,,95-99 岁,,,100岁及100岁以上,,,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合计,7313081,4106571,3206510,340085,155564,184521,85828,46647,39181,52137,32664,19473,51716,32169,19547,63883,40253,23630,93184,58931,34253,133765,84187,49578,167007,107000,60007,174999,115117,59882,199808,131939,67869,290140,185634,104506,335032,212106,122926,398515,252191,146324,606884,380911,225973,831514,508705,322809,1029811,600515,429296,1000941,536181,464760,813355,384869,428486,436741,177071,259670,162110,52114,109996,40771,10724,30047,4855,1079,3776,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京市,69757,39138,30619,298,156,142,152,78,74,144,97,47,251,161,90,368,250,118,669,474,195,882,596,286,1142,815,327,1583,1105,478,2000,1358,642,2548,1632,916,2556,1615,941,3107,1888,1219,6047,3458,2589,9515,5692,3823,11172,6354,4818,10861,5882,4979,8596,4353,4243,5267,2284,2983,2061,727,1334,476,151,325,62,12,50,
天津市,57068,31567,25501,287,152,135,117,70,47,153,97,56,167,106,61,245,161,84,364,262,102,505,351,154,628,431,197,1004,654,350,1412,935,477,1989,1267,722,2310,1375,935,2685,1590,1095,4685,2622,2063,7838,4488,3350,9919,5539,4380,9360,5048,4312,7357,3791,3566,4170,1930,2240,1517,595,922,329,96,233,27,7,20,
河北省,414938,233525,181413,13432,6071,7361,1570,859,711,1788,1203,585,2495,1767,728,3252,2211,1041,3703,2516,1187,5145,3334,1811,7003,4597,2406,8083,5398,2685,10397,6894,3503,15910,10309,5601,19388,12288,7100,21153,13373,7780,35056,21850,13206,51369,30914,20455,66648,37874,28774,62316,32784,29532,49229,24116,25113,25991,11378,14613,9104,3287,5817,1772,470,1302,134,32,102,
山西省,186787,106885,79902,7167,3486,3681,1546,795,751,1167,730,437,1075,701,374,1644,1142,502,2022,1426,596,3077,2156,921,3644,2497,1147,4142,2888,1254,5132,3401,1731,7097,4503,2594,8426,5157,3269,9586,5939,3647,16504,10068,6436,23924,14305,9619,29653,16984,12669,27568,14899,12669,21097,10538,10559,9411,4235,5176,2498,904,1594,377,123,254,30,8,22,
内蒙古自治区,130020,78357,51663,6626,3256,3370,748,400,348,503,305,198,643,399,244,1207,813,394,1626,1085,541,2388,1621,767,2920,2061,859,3652,2545,1107,4563,3072,1491,6084,3918,2166,6620,4134,2486,8137,4964,3173,13709,8498,5211,17072,10507,6565,18722,11258,7464,16808,9777,7031,11545,6487,5058,4969,2611,2358,1262,565,697,195,75,120,21,6,15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辽宁省,253583,145576,108007,3396,1761,1635,1412,753,659,760,493,267,1018,660,358,1441,894,547,2270,1519,751,3077,2051,1026,4525,3126,1399,6365,4403,1962,8614,5936,2678,11280,7357,3923,11457,7131,4326,13873,8564,5309,21306,12633,8673,31091,18127,12964,39094,22168,16926,37288,20642,16646,28603,15061,13542,17713,8659,9054,7261,3042,4219,1577,553,1024,162,43,119,
吉林省,142224,83435,58789,3658,1904,1754,516,282,234,470,290,180,708,463,245,1053,591,462,1538,963,575,2143,1392,751,3259,2171,1088,4368,2936,1432,5340,3578,1762,7652,4990,2662,8101,4878,3223,9536,5863,3673,14914,8971,5943,18687,10698,7989,21697,12520,9177,17926,10139,7787,12015,6507,5508,6157,3118,3039,1983,937,1046,446,218,228,57,26,31,
黑龙江省,172829,103706,69123,2660,1467,1193,574,312,262,581,341,240,884,559,325,1460,962,498,2030,1350,680,3015,1992,1023,4142,2803,1339,5477,3733,1744,7247,4841,2406,9946,6384,3562,11449,6998,4451,12789,7677,5112,19934,11937,7997,24002,14631,9371,25623,15258,10365,19425,11349,8076,13010,7035,5975,6123,2993,3130,1964,873,1091,443,189,254,51,22,29,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市,94927,49836,45091,384,194,190,167,106,61,149,92,57,195,120,75,335,207,128,478,311,167,529,343,186,706,460,246,1328,909,419,2467,1622,845,3050,1969,1081,3094,1935,1159,3064,1921,1143,4859,2986,1873,9869,6008,3861,13990,7961,6029,17027,8982,8045,15936,7426,8510,11114,4484,6630,4959,1527,3432,1117,249,868,110,24,86,
江苏省,434549,236269,198280,6874,3413,3461,2375,1395,980,1821,1137,684,1853,1201,652,1997,1210,787,3099,1895,1204,4684,2763,1921,7751,4762,2989,8046,5173,2873,11062,7300,3762,16795,10880,5915,19889,12873,7016,23547,15311,8236,33557,21615,11942,46988,29278,17710,61489,35984,25505,68322,35695,32627,60730,26677,34053,35278,12833,22445,14604,4064,10540,3406,754,2652,382,56,326,
浙江省,281655,160719,120936,5137,2541,2596,1881,1130,751,1187,769,418,1117,713,404,1699,1119,580,2723,1763,960,3877,2539,1338,5465,3654,1811,6124,4128,1996,7947,5449,2498,10483,7109,3374,12115,8082,4033,11959,7999,3960,19136,12853,6283,29737,19201,10536,39753,24353,15400,44024,24396,19628,39573,18925,20648,25241,9999,15242,10091,3377,6714,2148,565,1583,238,55,183,
安徽省,340562,190561,150001,18780,8456,10324,3398,1977,1421,2687,1767,920,2251,1401,850,2447,1485,962,3975,2280,1695,6103,3563,2540,8166,4861,3305,7625,4762,2863,6406,4085,2321,12231,7709,4522,15302,9853,5449,19774,12995,6779,28322,18944,9378,39625,25639,13986,51907,30918,20989,49741,25910,23831,38535,16502,22033,16298,5619,10679,5176,1409,3767,1620,398,1222,193,28,165,
福建省,171136,96915,74221,6129,2723,3406,1288,724,564,1092,688,404,1445,928,517,1830,1107,723,2600,1593,1007,3600,2208,1392,4253,2693,1560,4318,2836,1482,5472,3784,1688,6852,4581,2271,7415,5128,2287,8402,5787,2615,13466,9106,4360,18444,11900,6544,23650,14194,9456,22755,12215,10540,19568,8798,10770,12323,4296,8027,4934,1350,3584,1177,252,925,123,24,99,
江西省,243898,133017,110881,26496,8747,17749,3918,2114,1804,2486,1584,902,2158,1230,928,2177,1339,838,3666,2223,1443,4856,2870,1986,5810,3658,2152,5679,3773,1906,6626,4365,2261,8490,5467,3023,9877,6332,3545,11684,7507,4177,19268,12324,6944,25029,15687,9342,32338,19106,13232,32612,17411,15201,24886,11554,13332,11519,4443,7076,3500,1079,2421,745,189,556,78,15,63,
山东省,563645,311596,252049,13650,6493,7157,2948,1591,1357,1874,1237,637,3028,1920,1108,3826,2440,1386,5564,3692,1872,7837,5057,2780,10882,6848,4034,11871,7737,4134,14793,9853,4940,22053,14479,7574,25080,16303,8777,28056,18398,9658,42362,26885,15477,63222,38298,24924,81318,46043,35275,85435,44833,40602,75062,35337,39725,42977,17480,25497,17288,5587,11701,4169,1026,3143,350,59,291,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河南省,539795,295129,244666,24031,10292,13739,3903,2286,1617,3355,2229,1126,3850,2482,1368,4208,2786,1422,5990,3945,2045,8744,5469,3275,11207,7039,4168,11373,7264,4109,12433,7930,4503,20821,12925,7896,24966,15743,9223,28387,17965,10422,42442,26777,15665,62162,38096,24066,81765,46835,34930,79452,40862,38590,66773,29305,37468,29319,10957,18362,11392,3240,8152,2969,661,2308,253,41,212,
湖北省,328729,184538,144191,7860,3897,3963,2593,1484,1109,2574,1700,874,2792,1759,1033,2913,1750,1163,3789,2309,1480,5842,3419,2423,7854,4753,3101,9010,5724,3286,9448,5946,3502,13283,8161,5122,16458,10142,6316,20048,12605,7443,30142,19063,11079,41575,25452,16123,49793,28982,20811,48392,25194,23198,33927,15078,18849,15305,5654,9651,4009,1188,2821,1023,262,761,99,16,83,
湖南省,382319,217746,164573,15918,7641,8277,4387,2439,1948,2745,1732,1013,3200,1926,1274,3345,2057,1288,4428,2671,1757,7089,4304,2785,9995,6101,3894,9981,6314,3667,10594,6793,3801,15379,9708,5671,17398,10848,6550,20243,12786,7457,33786,21321,12465,45632,27960,17672,55523,32991,22532,52185,28833,23352,40714,19703,21011,21239,8813,12426,6707,2275,4432,1687,502,1185,144,28,116,
广东省,393855,219614,174241,13751,6022,7729,4810,2787,2023,3530,2273,1257,2910,1772,1138,4074,2570,1504,5964,3932,2032,7773,5126,2647,9200,6076,3124,9734,6465,3269,11165,7658,3507,14291,9816,4475,15423,10636,4787,18011,12403,5608,28995,19438,9557,40192,25864,14328,51364,30898,20466,52033,28034,23999,46778,21064,25714,32653,11754,20899,15470,3902,11568,5054,1026,4028,680,98,582,
广西壮族自治区,245163,141532,103631,14508,5985,8523,3252,1797,1455,2162,1383,779,2149,1288,861,2772,1800,972,3873,2622,1251,4864,3277,1587,6323,4384,1939,6872,4838,2034,7443,5271,2172,10134,6974,3160,10884,7545,3339,13214,8874,4340,19373,12702,6671,24840,15871,8969,29804,17957,11847,29202,15971,13231,26143,12590,13553,16869,7071,9798,7552,2574,4978,2512,675,1837,418,83,335,
海南省,34300,19335,14965,1906,804,1102,492,283,209,415,258,157,321,199,122,420,266,154,555,373,182,703,430,273,731,483,248,923,594,329,919,607,312,1212,806,406,1341,915,426,1606,1092,514,2895,1920,975,3618,2392,1226,4482,2723,1759,4347,2336,2011,3590,1616,1974,2302,837,1465,1074,303,771,380,81,299,68,17,51,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重庆市,209655,118755,90900,6271,3345,2926,3298,1812,1486,1849,1158,691,1513,938,575,1510,983,527,2341,1369,972,5040,3051,1989,5534,3517,2017,5023,3332,1691,5377,3615,1762,9332,5964,3368,10321,6463,3858,13121,8299,4822,17717,11033,6684,24041,14535,9506,29303,17091,12212,27427,14601,12826,22963,11104,11859,12047,4903,7144,4364,1357,3007,1152,270,882,111,15,96,
四川省,545199,307345,237854,17075,8975,8100,10201,5617,4584,5494,3393,2101,4614,2857,1757,4607,2806,1801,7479,4536,2943,13152,8201,4951,14977,9393,5584,13144,8491,4653,14460,9404,5056,24167,14842,9325,27664,17210,10454,35206,21864,13342,48343,29957,18386,61325,37165,24160,76092,44405,31687,69631,37015,32616,54559,25535,29024,29001,11471,17530,10656,3322,7334,2939,804,2135,413,82,331,
贵州省,253566,141669,111897,39106,17971,21135,12010,5904,6106,4128,2319,1809,2970,1745,1225,3826,2407,1419,5741,3631,2110,7433,4813,2620,7872,5136,2736,6734,4505,2229,6288,4099,2189,8600,5465,3135,10481,6665,3816,12934,8077,4857,19141,11838,7303,22781,13897,8884,25912,15103,10809,22412,12254,10158,20165,9773,10392,10824,4651,6173,3338,1147,2191,775,241,534,95,28,67,
云南省,308746,168698,140048,45924,21119,24805,8924,4751,4173,3764,2300,1464,3116,1833,1283,4752,2869,1883,7686,4768,2918,8809,5581,3228,9104,5873,3231,8617,5643,2974,7722,5009,2713,10313,6436,3877,11791,7246,4545,14507,8820,5687,22003,13430,8573,29098,17231,11867,34388,19409,14979,32979,17098,15881,25764,11854,13910,14161,5737,8424,4283,1381,2902,903,275,628,138,35,103,
西藏自治区,18218,9431,8787,1930,992,938,1024,507,517,423,203,220,328,185,143,412,222,190,532,280,252,609,307,302,611,324,287,687,364,323,649,362,287,756,422,334,1004,549,455,1259,703,556,1717,899,818,1749,942,807,1810,932,878,1402,686,716,861,378,483,343,140,203,66,18,48,36,15,21,10,1,9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陕西省,209203,118566,90637,9993,4457,5536,1666,917,749,1531,956,575,1753,1127,626,2129,1385,744,2902,1826,1076,4327,2762,1565,4953,3270,1683,5328,3518,1810,6217,4047,2170,8408,5068,3340,9645,5662,3983,12787,7427,5360,18716,11011,7705,24374,14230,10144,29043,16987,12056,29933,16492,13441,23550,12191,11359,9205,4258,4947,2277,836,1441,436,129,307,30,10,20,
甘肃省,147783,82333,65450,14197,6495,7702,2241,1137,1104,1321,759,562,1184,723,461,1425,920,505,2114,1228,886,3660,2145,1515,4186,2567,1619,3705,2382,1323,3439,2111,1328,5279,3093,2186,7430,4391,3039,10191,6061,4130,15013,8925,6088,18585,10819,7766,18050,10458,7592,17291,9359,7932,12408,6171,6237,4757,2140,2617,1072,369,703,213,73,140,22,7,15,
青海省,26939,15181,11758,3004,1529,1475,770,396,374,371,204,167,312,188,124,443,283,160,745,433,312,836,506,330,971,612,359,876,561,315,737,473,264,1094,712,382,1454,840,614,1870,1094,776,2669,1597,1072,3285,1920,1365,2985,1616,1369,2342,1219,1123,1473,721,752,516,213,303,128,47,81,46,14,32,12,3,9,
宁夏回族自治区,25087,14558,10529,2037,1079,958,627,327,300,399,252,147,271,164,107,508,326,182,624,396,228,692,431,261,727,480,247,678,454,224,683,453,230,922,572,350,1048,612,436,1399,825,574,2038,1216,822,2650,1530,1120,3031,1738,1293,2902,1604,1298,2483,1378,1105,1012,543,469,273,139,134,70,36,34,13,3,10,
新疆维吾尔自治区,86946,51039,35907,7600,4141,3459,3020,1617,1403,1214,715,499,1145,654,491,1558,892,666,2094,1260,834,2474,1529,945,2466,1555,911,2649,1688,961,2756,1688,1068,3689,2116,1573,4645,2557,2088,6380,3520,2860,8769,5034,3735,9195,5428,3767,9493,5876,3617,7543,4661,2882,5462,3301,2161,2637,1567,1070,1247,693,554,579,352,227,331,195,136,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表6—1a    省、自治区、直辖市分性别、年龄的死亡人口（城市）（1999.11.1-2000.10.31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位:人,
地   区   别,死亡人口,,,0     岁,,,1-4 岁 ,,,5-9 岁,,,10-14 岁 ,,,15-19 岁,,,20-24 岁 ,,,25-29 岁,,,30-34 岁 ,,,35-39 岁,,,40-44 岁 ,,,45-49 岁,,,50-54 岁 ,,,55-59 岁,,,60-64 岁 ,,,65-69 岁,,,70-74 岁 ,,,75-79 岁,,,80-84 岁 ,,,85-89 岁,,,90-94 岁 ,,,95-99 岁,,,100岁及100岁以上,,,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
