　　,,,,,,,,,,,,,,,,
表1-1    省、自治区、直辖市的户数、人口数和性别比,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,单位:人，%
,户      数,,,人                     口                     数,,,,,,,,,,,,家庭户
地   区   别,合计,家庭户,集体户,合                计,,,,家    庭    户,,,,集    体    户,,,,平均每
,,,,合计,男,女,性别比,小计,男,女,性别比,小计,男,女,性别比,户人数
,,,,,,,,,,,,,,,,
合计,34516717,33664871,851846,118067424,60456195,57611229,104.94,113959638,58164417,55795221,104.25,4107786,2291778,1816008,126.20,3.39
,,,,,,,,,,,,,,,,
北京市,439402,409389,30013,1316361,677566,638795,106.07,1182171,587272,594899,98.72,134190,90294,43896,205.70,2.89
天津市,307318,298920,8398,963298,484277,479021,101.10,922197,460431,461766,99.71,41101,23846,17255,138.20,3.09
河北省,1838447,1806869,31578,6618361,3357232,3261129,102.95,6444363,3260505,3183858,102.41,173998,96727,77271,125.18,3.57
山西省,884872,871094,13778,3185414,1637942,1547472,105.85,3122268,1600155,1522113,105.13,63146,37787,25359,149.01,3.58
内蒙古自治区,691096,681190,9906,2265267,1164774,1100493,105.84,2218186,1138390,1079796,105.43,47081,26384,20697,127.48,3.26
,,,,,,,,,,,,,,,,
辽宁省,1294273,1280682,13591,4089836,2070787,2019049,102.56,4015974,2030903,1985071,102.31,73862,39884,33978,117.38,3.14
吉林省,752263,744813,7450,2475007,1260288,1214719,103.75,2434157,1237935,1196222,103.49,40850,22353,18497,120.85,3.27
黑龙江省,1029832,1020927,8905,3335404,1695900,1639504,103.44,3282249,1667557,1614692,103.27,53155,28343,24812,114.23,3.21
,,,,,,,,,,,,,,,,
上海市,555920,527107,28813,1582184,802777,779407,103.00,1461504,728635,732869,99.42,120680,74142,46538,159.31,2.77
江苏省,2161866,2110609,51257,7012033,3522424,3489609,100.94,6783787,3394871,3388916,100.18,228246,127553,100693,126.68,3.21
浙江省,1477993,1424466,53527,4487898,2288944,2198954,104.09,4252561,2154600,2097961,102.70,235337,134344,100993,133.02,2.99
安徽省,1638779,1622739,16040,5659447,2903708,2755739,105.37,5568329,2847683,2720646,104.67,91118,56025,35093,159.65,3.43
福建省,895867,852302,43565,3179716,1625323,1554393,104.56,2997073,1521146,1475927,103.06,182643,104177,78466,132.77,3.52
江西省,998898,979414,19484,3504684,1801545,1703139,105.78,3433793,1756809,1676984,104.76,70891,44736,26155,171.04,3.51
山东省,2742713,2693758,48955,8911845,4491754,4420091,101.62,8659361,4356472,4302889,101.25,252484,135282,117202,115.43,3.21
,,,,,,,,,,,,,,,,
河南省,2441389,2415177,26212,8963025,4612411,4350614,106.02,8841812,4541806,4300006,105.62,121213,70605,50608,139.51,3.66
湖北省,1541706,1512054,29652,5167741,2662881,2504860,106.31,5014433,2570480,2443953,105.18,153308,92401,60907,151.71,3.32
湖南省,1746941,1725030,21911,5751206,2989989,2761217,108.29,5644534,2928492,2716042,107.82,106672,61497,45175,136.13,3.27
广东省,2120061,1866140,253921,8051569,4085339,3966230,103.00,6775668,3456468,3319200,104.14,1275901,628871,647030,97.19,3.63
广西壮族自治区,1138168,1123411,14757,4157001,2199752,1957249,112.39,4084952,2159220,1925732,112.12,72049,40532,31517,128.60,3.64
海南省,178335,174319,4016,717934,378736,339198,111.66,698608,367347,331261,110.89,19326,11389,7937,143.49,4.01
,,,,,,,,,,,,,,,,
重庆市,878953,868188,10765,2672343,1370082,1302261,105.21,2625718,1341186,1284532,104.41,46625,28896,17729,162.99,3.02
四川省,2336297,2307450,28847,7497881,3836627,3661254,104.79,7348551,3747122,3601429,104.05,149330,89505,59825,149.61,3.18
贵州省,909273,901888,7385,3399918,1773831,1626087,109.09,3360002,1748549,1611453,108.51,39916,25282,14634,172.76,3.73
云南省,1101852,1082173,19679,4069260,2114022,1955238,108.12,3979525,2057077,1922448,107.00,89735,56945,32790,173.67,3.68
西藏自治区,56188,55203,985,243024,121070,121954,99.28,238737,118005,120732,97.74,4287,3065,1222,250.82,4.32
,,,,,,,,,,,,,,,,
陕西省,959382,938901,20481,3405553,1759164,1646389,106.85,3316432,1704806,1611626,105.78,89121,54358,34763,156.37,3.53
甘肃省,620733,607431,13302,2448420,1262167,1186253,106.40,2390895,1222882,1168013,104.70,57525,39285,18240,215.38,3.94
青海省,119994,117853,2141,473064,241288,231776,104.10,463378,235057,228321,102.95,9686,6231,3455,180.35,3.93
宁夏回族自治区,142215,139983,2232,543625,277061,266564,103.94,533432,270770,262662,103.09,10193,6291,3902,161.23,3.81
新疆维吾尔自治区,515691,505391,10300,1919105,986534,932571,105.79,1864988,951786,913202,104.23,54117,34748,19369,179.40,3.69
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
　　,,,,,,,,,,,,,,,,
表1-1a    省、自治区、直辖市的户数、人口数和性别比(城市),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,单位:人，%
,户      数,,,人                     口                     数,,,,,,,,,,,,家庭户
地   区   别,合计,家庭户,集体户,合                计,,,,家    庭    户,,,,集    体    户,,,,平均每
,,,,合计,男,女,性别比,小计,男,女,性别比,小计,男,女,性别比,户人数
,,,,,,,,,,,,,,,,
合计,8856644,8346110,510534,27570985,13938482,13632503,102.24,25092516,12570246,12522270,100.38,2478469,1368236,1110233,123.24,3.01
,,,,,,,,,,,,,,,,
北京市,314964,290124,24840,912095,469970,442125,106.30,803473,397346,406127,97.84,108622,72624,35998,201.74,2.77
天津市,174646,169164,5482,511017,254936,256081,99.55,484430,239035,245395,97.41,26587,15901,10686,148.80,2.86
河北省,345702,328837,16865,1118690,558618,560072,99.74,1028666,510189,518477,98.40,90024,48429,41595,116.43,3.13
山西省,214605,206970,7635,700951,353927,347024,101.99,659248,332179,327069,101.56,41703,21748,19955,108.99,3.19
内蒙古自治区,184229,178803,5426,551633,276999,274634,100.86,523083,262688,260395,100.88,28550,14311,14239,100.51,2.93
,,,,,,,,,,,,,,,,
辽宁省,595600,584394,11206,1782600,887070,895530,99.06,1719237,853703,865534,98.63,63363,33367,29996,111.24,2.94
吉林省,274578,268706,5872,853944,427147,426797,100.08,820155,409254,410901,99.60,33789,17893,15896,112.56,3.05
黑龙江省,390918,384018,6900,1181728,593313,588415,100.83,1138800,571009,567791,100.57,42928,22304,20624,108.15,2.97
,,,,,,,,,,,,,,,,
上海市,429355,405307,24048,1222920,624484,598436,104.35,1122115,561156,560959,100.04,100805,63328,37477,168.98,2.77
江苏省,586963,555511,31452,1774059,895144,878915,101.85,1633922,815495,818427,99.64,140137,79649,60488,131.68,2.94
浙江省,423361,392689,30672,1244049,633925,610124,103.90,1108888,557954,550934,101.27,135161,75971,59190,128.35,2.82
安徽省,256688,247305,9383,810234,412146,398088,103.53,758856,381800,377056,101.26,51378,30346,21032,144.28,3.07
福建省,218722,196211,22511,696599,352966,343633,102.72,603865,302946,300919,100.67,92734,50020,42714,117.10,3.08
江西省,150410,144366,6044,499200,253756,245444,103.39,462469,232749,229720,101.32,36731,21007,15724,133.60,3.20
山东省,676369,643366,33003,2124838,1062578,1062260,100.03,1950180,971487,978693,99.26,174658,91091,83567,109.00,3.03
,,,,,,,,,,,,,,,,
河南省,397512,380265,17247,1309113,660829,648284,101.94,1221201,612448,608753,100.61,87912,48381,39531,122.39,3.21
湖北省,469047,448271,20776,1504586,767912,736674,104.24,1391314,701836,689478,101.79,113272,66076,47196,140.00,3.10
湖南省,314253,300434,13819,973863,493684,480179,102.81,898304,452553,445751,101.53,75559,41131,34428,119.47,2.99
广东省,815958,676631,139327,2819419,1428910,1390509,102.76,2185362,1105732,1079630,102.42,634057,323178,310879,103.96,3.23
广西壮族自治区,175516,165894,9622,574180,293490,280690,104.56,523997,266459,257538,103.46,50183,27031,23152,116.75,3.16
海南省,43765,41011,2754,154791,79769,75022,106.33,141081,72225,68856,104.89,13710,7544,6166,122.35,3.44
,,,,,,,,,,,,,,,,
重庆市,203443,194837,8606,592383,299176,293207,102.04,552927,275384,277543,99.22,39456,23792,15664,151.89,2.84
四川省,379969,363669,16300,1134047,571612,562435,101.63,1049530,522992,526538,99.33,84517,48620,35897,135.44,2.89
贵州省,125131,120396,4735,401764,204847,196917,104.03,375338,189159,186179,101.60,26426,15688,10738,146.10,3.12
云南省,150588,140344,10244,433010,221832,211178,105.05,384739,193625,191114,101.31,48271,28207,20064,140.59,2.74
西藏自治区,6939,6553,386,19629,9861,9768,100.95,18065,8854,9211,96.12,1564,1007,557,180.79,2.76
,,,,,,,,,,,,,,,,
陕西省,201504,190374,11130,633744,322177,311567,103.41,575158,288797,286361,100.85,58586,33380,25206,132.43,3.02
甘肃省,123382,117719,5663,377397,193246,184151,104.94,347271,174673,172598,101.20,30126,18573,11553,160.76,2.95
青海省,31169,30270,899,95636,48363,47273,102.31,91455,45872,45583,100.63,4181,2491,1690,147.40,3.02
宁夏回族自治区,37971,36767,1204,117239,58845,58394,100.77,111009,55452,55557,99.81,6230,3393,2837,119.60,3.02
新疆维吾尔自治区,143387,136904,6483,445627,226950,218677,103.78,408378,205195,203183,100.99,37249,21755,15494,140.41,2.98
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
　　,,,,,,,,,,,,,,,,
表1-1b    省、自治区、直辖市的户数、人口数和性别比(镇),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,单位:人，%
,户      数,,,人                     口                     数,,,,,,,,,,,,家庭户
地   区   别,合计,家庭户,集体户,合                计,,,,家    庭    户,,,,集    体    户,,,,平均每
,,,,合计,男,女,性别比,小计,男,女,性别比,小计,男,女,性别比,户人数
,,,,,,,,,,,,,,,,
合计,4732687,4554994,177693,15530377,7896435,7633942,103.44,14636314,7416120,7220194,102.71,894063,480315,413748,116.09,3.21
,,,,,,,,,,,,,,,,
北京市,32983,31394,1589,100018,51121,48897,104.55,91919,45865,46054,99.59,8099,5256,2843,184.88,2.93
天津市,54128,51902,2226,172957,87470,85487,102.32,161753,81288,80465,101.02,11204,6182,5022,123.10,3.12
河北省,165453,157493,7960,584745,295691,289054,102.30,534130,268205,265925,100.86,50615,27486,23129,118.84,3.39
山西省,117976,115563,2413,405647,208120,197527,105.36,397514,202696,194818,104.04,8133,5424,2709,200.22,3.44
内蒙古自治区,131027,128599,2428,414280,211171,203109,103.97,403353,204558,198795,102.90,10927,6613,4314,153.29,3.14
,,,,,,,,,,,,,,,,
辽宁省,140744,139791,953,437805,220928,216877,101.87,433203,218512,214691,101.78,4602,2416,2186,110.52,3.10
吉林省,120607,119900,707,369157,186990,182167,102.65,365384,184796,180588,102.33,3773,2194,1579,138.95,3.05
黑龙江省,178049,176794,1255,550568,278111,272457,102.08,543340,274257,269083,101.92,7228,3854,3374,114.23,3.07
,,,,,,,,,,,,,,,,
上海市,61438,58769,2669,171925,85113,86812,98.04,160379,79231,81148,97.64,11546,5882,5664,103.85,2.73
江苏省,352644,341651,10993,1133322,569845,563477,101.13,1080362,541307,539055,100.42,52960,28538,24422,116.85,3.16
浙江省,293007,280958,12049,886807,451311,435496,103.63,832978,421074,411904,102.23,53829,30237,23592,128.17,2.96
安徽省,208885,204743,4142,699868,359038,340830,105.34,672931,342219,330712,103.48,26937,16819,10118,166.23,3.29
福建省,171912,163142,8770,602763,307752,295011,104.32,566078,286859,279219,102.74,36685,20893,15792,132.30,3.47
江西省,146316,141620,4696,485739,247946,237793,104.27,471102,238382,232720,102.43,14637,9564,5073,188.53,3.33
山东省,362304,351858,10446,1173622,593734,579888,102.39,1120985,564364,556621,101.39,52637,29370,23267,126.23,3.19
,,,,,,,,,,,,,,,,
河南省,209346,205650,3696,730549,373560,356989,104.64,717954,365738,352216,103.84,12595,7822,4773,163.88,3.49
湖北省,202439,197345,5094,646679,332168,314511,105.61,619852,315179,304673,103.45,26827,16989,9838,172.69,3.14
湖南省,200517,195981,4536,611067,312281,298786,104.52,592884,300919,291965,103.07,18183,11362,6821,166.57,3.03
广东省,403750,341557,62193,1603817,801420,802397,99.88,1249411,640239,609172,105.10,354406,161181,193225,83.42,3.66
广西壮族自治区,171360,168337,3023,576928,301088,275840,109.15,563276,293404,269872,108.72,13652,7684,5968,128.75,3.35
海南省,34977,34272,705,131964,69721,62243,112.01,128675,67639,61036,110.82,3289,2082,1207,172.49,3.75
,,,,,,,,,,,,,,,,
重庆市,109557,108219,1338,317741,159451,158290,100.73,312968,156324,156644,99.80,4773,3127,1646,189.98,2.89
