　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表7—1    全国按现住地、户口登记地分的人口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,单位:人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                              ,户        口        登        记        地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 现  住  地,合计, 本县（市） , 本县（市） ,本县（市）,  本市区  ,  本市区  , 本市区其 , 本省其他县,省外,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                              ,, 其他乡 , 其他镇 , 其他街道 ,  其他乡  ,  其他镇  ,  他街道  ,（市）、市区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          ,          ,          ,          ,          ,          ,          , ,          ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合计,144390748,10663887,15962465,3627777,3449796,4859278,27071045,36337938,42418562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京市,4637531,25213,86419,320,73288,130804,1717971,140299,2463217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天津市,2181623,50616,35224,9253,29099,62940,1203573,55885,735033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河北省,4881712,589593,643218,146446,97189,85962,1187566,1201283,930455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山西省,3720553,540970,338536,129995,225371,69871,956343,792110,667357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内蒙古自治区,3827825,662638,287178,223930,133627,91489,655552,1225488,547923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辽宁省,6482242,268262,459363,328602,167127,170368,2782113,1261242,1045165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉林省,2949320,301403,284931,374625,123250,86913,833918,635675,308605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黑龙江省,3768411,406467,307449,53266,137890,93533,976084,1407081,386641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市,5384589,13408,128730,          ,10149,244963,627265,1225152,3134922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江苏省,9099849,330019,1675847,39904,106443,194781,1745472,2470494,2536889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江省,8598662,658135,1310791,33,169592,278755,755073,1737432,3688851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安徽省,3558530,391090,486712,74342,173443,198535,1050765,953527,230116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福建省,5911225,329825,729115,100526,58459,224309,662141,1661594,2145256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江西省,3364797,611924,638166,101205,163301,137327,704374,755405,253095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山东省,7468014,491003,1448881,455847,167358,641804,1576052,1653856,1033213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河南省,5200470,632353,603956,161333,223200,72720,1495049,1535620,476239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖北省,5704620,320319,769201,284526,258783,302020,1530907,1629131,609733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖南省,4395720,636931,577390,219765,252839,145484,793087,1421386,348838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广东省,25304316,63328,1628334,253835,18710,415358,1870635,5989278,15064838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广西壮族自治区,3234513,295927,460714,24404,62372,119781,427983,1415144,428188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海南省,978148,58904,161954,19585,8640,14403,60548,272322,381792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重庆市,2625102,223151,394329,53505,161890,338353,569230,481485,403159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四川省,6665628,983710,1150295,70286,325229,432924,954833,2212105,536246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
贵州省,2415486,217420,335482,69430,61810,104800,373512,844513,408519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
云南省,3871640,415391,327296,16075,40199,91794,468646,1347837,1164402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西藏自治区,213777,20707,7345,8215,7772,2136,14436,44497,108669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陕西省,2365334,356005,307684,88829,99681,73017,399144,614945,426029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
甘肃省,1556891,255422,119322,82850,54482,17142,311092,488693,227888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
青海省,522035,75203,24602,13627,6127,5535,88571,184063,124307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,672486,102610,59305,5349,19201,6329,113300,174501,191891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,2829699,335940,174696,217869,13275,5128,165810,505895,1411086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表7—1a    全国按现住地、户口登记地分的人口（城市）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,单位:人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                              ,户        口        登        记        地                                ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 现  住  地,合计, 本县（市） , 本县（市） ,本县（市）,  本市区  ,  本市区  , 本市区其 , 本省其他县,省外,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                              ,, 其他乡 , 其他镇 , 其他街道 ,  其他乡  ,  其他镇  ,  他街道  ,（市）、市区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          ,          ,          ,          ,          ,          ,          , ,          ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合计,85771050,1537952,3603748,2129293,2680907,3707465,25372075,23622130,23117480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京市,3849975,,,,65022,79636,1649289,72933,1983095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天津市,1610739,729,988,4118,19155,35856,1057957,42430,449506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河北省,2646770,84870,89935,76794,89150,74321,1145533,664553,421614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
