　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表2—1    全国各民族分年龄、性别的人口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位:人
年   龄   别,合      计,,,汉      族,,,蒙   古   族  ,,,回      族,,,藏      族,,,维吾尔族 ,,,苗      族,,,彝      族,,,壮      族,,,布   依   族,,,朝   鲜   族,,,满      族,,,侗      族,,,瑶      族,,,白      族,,,土   家   族,,,哈   尼   族,,,哈萨克族,,,傣      族,,,黎      族,,,傈   僳   族,,,佤      族,,,畲      族,,,高   山   族,,,拉   祜   族,,,水      族,,,东   乡   族,,,纳   西   族,,,景   颇   族,,,柯尔柯孜族,,,土      族,,,达 斡 尔 族,,,仫   佬   族,,,羌      族,,,布   朗   族,,,撒   拉   族,,,毛   南   族,,,仡   佬   族,,,锡   伯   族,,,阿   昌   族,,,普   米   族,,,塔吉克族,,,怒      族,,,乌孜别克族,,,俄罗斯族,,,鄂温克族,,,德   昂   族,,,保   安   族,,,裕   固   族,,,京      族,,,塔塔尔族,,,独   龙   族,,,鄂伦春族,,,赫   哲   族,,,门   巴   族,,,珞   巴   族,,,基   诺   族,,,其他未识别的民族         ,,,外国人加入中国籍,,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
总      计,1242612226,640275969,602336257,1137386112,586159888,551226224,5813947,2875453,2938494,9816805,5002072,4814733,5416021,2697807,2718214,8399393,4272863,4126530,8940116,4656974,4283142,7762272,3989391,3772881,16178811,8376754,7802057,2971460,1530887,1440573,1923842,956946,966896,10682262,5547750,5134512,2960293,1566575,1393718,2637421,1391332,1246089,1858063,947019,911044,8028133,4196469,3831664,1439673,751899,687774,1250458,633875,616583,1158989,578938,580051,1247814,647547,600267,634912,326274,308638,396610,202626,193984,709592,381038,328554,4461,2418,2043,453705,234144,219561,406902,213488,193414,513805,264453,249352,308839,154971,153868,132143,65291,66852,160823,81695,79128,241198,123571,117627,132394,65699,66695,207352,107154,100198,306072,155981,150091,91882,47534,44348,104503,53715,50788,107166,56443,50723,579357,310775,268582,188824,98737,90087,33936,17189,16747,33600,17043,16557,41028,20954,20074,28759,14857,13902,12370,6498,5872,15609,7365,8244,30505,14740,15765,17935,9032,8903,16505,8416,8089,13719,6935,6784,22517,11328,11189,4890,2550,2340,7426,3649,3777,8196,3872,4324,4640,2289,2351,8923,4428,4495,2965,1484,1481,20899,10596,10303,734438,385975,348463,941,323,618
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-4岁,68978374,37648694,31329680,61081966,33462854,27619112,395899,205302,190597,718996,379090,339906,504571,255707,248864,718641,365713,352928,788056,426096,361960,748875,394821,354054,982380,541489,440891,286613,153720,132893,52126,26666,25460,597808,316183,281625,228537,126336,102201,173975,94015,79960,148227,75900,72327,589188,316342,272846,118857,65892,52965,102194,52464,49730,83889,42933,40956,96924,52410,44514,51516,26187,25329,32294,16260,16034,42588,23098,19490,291,155,136,32668,16806,15862,38432,21144,17288,45063,24439,20624,22428,11231,11197,11726,6010,5716,13448,6857,6591,19734,10526,9208,8091,4130,3961,13912,7289,6623,25037,12750,12287,7652,3849,3803,8721,4663,4058,7784,4194,3590,63561,34435,29126,12100,6262,5838,3369,1741,1628,2751,1404,1347,4021,2072,1949,2391,1196,1195,971,506,465,930,480,450,2161,1052,1109,1533,773,760,1406,740,666,1007,531,476,1731,1043,688,321,158,163,586,296,290,627,310,317,269,140,129,971,490,481,336,165,171,1471,714,757,76725,40652,36073,29,13,16
0岁,13793799,7460206,6333593,12167780,6600297,5567483,77593,40144,37449,143156,75043,68113,102201,52016,50185,156046,79472,76574,160905,86506,74399,156579,82316,74263,206200,113531,92669,59702,31903,27799,11508,5920,5588,121312,64366,56946,46849,26040,20809,35678,19324,16354,32203,16338,15865,110731,59610,51121,27320,14734,12586,21439,11023,10416,18874,9535,9339,18811,10140,8671,11279,5750,5529,7151,3636,3515,8770,4663,4107,54,25,29,8268,4255,4013,8160,4442,3718,8640,4705,3935,4521,2309,2212,2508,1316,1192,2940,1521,1419,4153,2264,1889,1394,716,678,2759,1406,1353,4315,2194,2121,1847,980,867,2055,1103,952,1411,749,662,13075,6958,6117,2375,1218,1157,709,364,345,582,306,276,815,413,402,548,273,275,217,112,105,171,101,70,376,193,183,365,192,173,266,128,138,195,103,92,396,234,162,75,45,30,129,66,63,119,57,62,50,29,21,191,93,98,78,38,40,306,155,151,17642,8833,8809,7,3,4
1岁,11495247,6332425,5162822,10214832,5649515,4565317,66675,34629,32046,119736,63564,56172,74561,37955,36606,98183,50007,48176,125817,68416,57401,119386,63092,56294,172154,95208,76946,45506,24564,20942,9722,4998,4724,105769,56012,49757,41012,22798,18214,29306,16110,13196,25714,13268,12446,94382,51069,43313,19280,10897,8383,17880,9285,8595,12748,6561,6187,14499,7963,6536,7993,4099,3894,4837,2454,2383,7187,3949,3238,40,22,18,4029,2072,1957,6026,3374,2652,6678,3625,3053,3904,1925,1979,2108,1098,1010,2026,1033,993,3297,1743,1554,1369,714,655,2435,1287,1148,4211,2121,2090,1029,485,544,1194,663,531,1299,732,567,10667,5858,4809,2137,1153,984,652,349,303,485,235,250,668,353,315,362,172,190,175,96,79,167,74,93,350,167,183,264,114,150,205,109,96,174,87,87,315,190,125,51,24,27,127,60,67,121,58,63,41,20,21,125,71,54,49,28,21,221,95,126,11064,5805,5259,3,,3
