　　,,,,,,,,,,
表5—1    全国不同规模的家庭户类别,,,,,,,,,,
,,,,,,,,,,
,,,,,,单位:户,,,,
家庭户规模,合计,一代户,二代户,三代户,四代户,五代户及五代以上户,,,,
,,,,,,,,,,
合   计,340491197,73892669,201964085,62122440,2508466,3537,,,,
,,,,,,,,,,
一人户,28273351,28273351,,,,,,,,
二人户,58034336,43283710,14750626,,,,,,,
三人户,101964343,1477310,98324376,2162657,,,,,,
四人户,78217515,465787,61760364,15947696,43668,,,,,
五人户,46383977,280273,20598397,25102569,402668,70,,,,
六人户,17416027,50969,4748853,11739920,875909,376,,,,
七人户,6206820,22990,1231470,4293706,657676,978,,,,
八人户,2308597,13848,349263,1648123,296453,910,,,,
九人户,911195,7492,112888,660297,129948,570,,,,
十人及十人以上户,775036,16939,87848,567472,102144,633,,,,
,,,,,,,,,,
,,,,,,,,,,
　　,,,,,,,,,,
表5—1a    全国不同规模的家庭户类别(城市),,,,,,,,,,
,,,,,,,,,,
,,,,,,单位:户,,,,
家庭户规模,合计,一代户,二代户,三代户,四代户,五代户及五代以上户,,,,
,,,,,,,,,,
合   计,84889340,24089165,49344394,11168865,286614,302,,,,
,,,,,,,,,,
一人户,9069071,9069071,,,,,,,,
二人户,18334938,14074519,4260419,,,,,,,
三人户,34141807,587995,33002602,551210,,,,,,
四人户,13373961,206718,9299436,3859055,8752,,,,,
五人户,6607530,101551,2127218,4324213,54540,8,,,,
六人户,2052686,22121,449865,1472086,108572,42,,,,
七人户,727911,10125,123587,529505,64607,87,,,,
八人户,326377,6384,42851,250656,26412,74,,,,
九人户,128664,3417,17402,94511,13287,47,,,,
十人及十人以上户,126395,7264,21014,87629,10444,44,,,,
,,,,,,,,,,
,,,,,,,,,,
　　,,,,,,,,,,
表5—1b    全国不同规模的家庭户类别(镇),,,,,,,,,,
,,,,,,,,,,
,,,,,,单位:户,,,,
家庭户规模,合计,一代户,二代户,三代户,四代户,五代户及五代以上户,,,,
,,,,,,,,,,
合   计,46408532,11704861,27688546,6757598,257126,401,,,,
,,,,,,,,,,
一人户,4716238,4716238,,,,,,,,
二人户,8642220,6605106,2037114,,,,,,,
三人户,15726335,230796,15256932,238607,,,,,,
四人户,9462771,77606,7547602,1833122,4441,,,,,
五人户,4939650,53293,2158241,2688391,39715,10,,,,
六人户,1754102,9349,482504,1172202,90006,41,,,,
七人户,648007,4272,132935,446724,63961,115,,,,
八人户,276146,2772,42062,201512,29703,97,,,,
九人户,121086,1566,15552,88704,15187,77,,,,
十人及十人以上户,121977,3863,15604,88336,14113,61,,,,
,,,,,,,,,,
,,,,,,,,,,
　　,,,,,,,,,,
表5—1c    全国不同规模的家庭户类别(乡村),,,,,,,,,,
,,,,,,,,,,
,,,,,,单位:户,,,,
家庭户规模,合计,一代户,二代户,三代户,四代户,五代户及五代以上户,,,,
,,,,,,,,,,
合   计,209193325,38098643,124931145,44195977,1964726,2834,,,,
,,,,,,,,,,
一人户,14488042,14488042,,,,,,,,
二人户,31057178,22604085,8453093,,,,,,,
三人户,52096201,658519,50064842,1372840,,,,,,
四人户,55380783,181463,44913326,10255519,30475,,,,,
五人户,34836797,125429,16312938,18089965,308413,52,,,,
六人户,13609239,19499,3816484,9095632,677331,293,,,,
七人户,4830902,8593,974948,3317477,529108,776,,,,
八人户,1706074,4692,264350,1195955,240338,739,,,,
九人户,661445,2509,79934,477082,101474,446,,,,
十人及十人以上户,526664,5812,51230,391507,77587,528,,,,
,,,,,,,,,,
,,,,,,,,,,
　　,,,,,,,,,,
表5—2    省、自治区、直辖市家庭户中民族混合户户数,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,"单位:户,%",
,          ,单一民族户,,二个民族户,,三个民族户,,四个及四个以上民族户,,
地   区   别,家庭户户数,   户数   ,  占合计  ,   户数   ,  占合计  ,   户数   ,  占合计  ,   户数   ,  占合计  ,
                              ,          ,,  百分比  ,,  百分比  ,,  百分比  ,,  百分比  ,
,,,,,,,,,,
合计,340491197,330405023,97.04,9940293,2.92,142875,0.04,3006,          ,
,,,,,,,,,,
北京市,4096844,3926838,95.85,169078,4.13,898,0.02,30,          ,
天津市,2976741,2926529,98.31,49701,1.67,437,0.01,74,          ,
河北省,17934977,17498176,97.56,433106,2.41,3582,0.02,113,          ,
山西省,8650261,8621246,99.66,28825,0.33,152,          ,38,          ,
内蒙古自治区,6784470,5982730,88.18,793468,11.70,8197,0.12,75,          ,
,,,,,,,,,,
辽宁省,12866262,11506381,89.43,1349701,10.49,10126,0.08,54,          ,
吉林省,7848446,7414954,94.48,431900,5.50,1537,0.02,55,          ,
黑龙江省,10955750,10515610,95.98,438331,4.00,1763,0.02,46,          ,
,,,,,,,,,,
