　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表3—1    全国分学业完成情况、性别、受教育程度的6岁及6岁以上人口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,单位:人,,,,,,,,,,,,
学业完成情况,合      计,,,小      学,,,初      中,,,高      中,,,中      专,,,大学专科,,,大学本科,,,研   究   生,,,,,,,,,,,,,,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合    计,98512322,52783623,45728699,41979534,20667903,21311631,39207202,22052440,17154762,9115877,5434556,3681321,3830247,1941617,1888630,2881792,1707156,1174636,1409713,918422,491291,87957,61529,26428,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在    校,23316860,12446615,10870245,14285754,7600978,6684776,6010144,3222922,2787222,1570105,897952,672153,694471,305654,388817,355555,180438,175117,375240,222762,152478,25591,15909,9682,,,,,,,,,,,,
毕    业,69791173,37564477,32226696,24029915,11359813,12670102,31688355,17918301,13770054,7374250,4420987,2953263,3105356,1617100,1488256,2503547,1511922,991625,1028017,691197,336820,61733,45157,16576,,,,,,,,,,,,
肄    业,2400573,1234297,1166276,1540170,706719,833451,729553,439979,289574,95275,64367,30908,17909,11129,6780,13261,9008,4253,4131,2893,1238,274,202,72,,,,,,,,,,,,
辍    学,2794416,1420349,1374067,1968194,917435,1050759,746349,449579,296770,69045,46183,22862,7749,4908,2841,2278,1647,631,754,567,187,47,30,17,,,,,,,,,,,,
其    他,209300,117885,91415,155501,82958,72543,32801,21659,11142,7202,5067,2135,4762,2826,1936,7151,4141,3010,1571,1003,568,312,231,81,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表3—1a    全国分学业完成情况、性别、受教育程度的6岁及6岁以上人口（城市）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,单位:人,,,,,,,,,,,,
学业完成情况,合      计,,,小      学,,,初      中,,,高      中,,,中      专,,,大学专科,,,大学本科,,,研   究   生,,,,,,,,,,,,,,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合    计,24617226,12787438,11829788,5752541,2786901,2965640,9241731,4807994,4433737,4243797,2274358,1969439,2130842,992627,1138215,1962934,1102203,860731,1201123,764659,436464,84258,58696,25562,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在    校,5130401,2676115,2454286,2151163,1137292,1013871,1162104,604245,557859,635128,340559,294569,503083,217954,285129,300391,151043,149348,353383,209410,143973,25149,15612,9537,,,,,,,,,,,,
毕    业,18680321,9704341,8975980,3141632,1443545,1698087,7817254,4054300,3762954,3552616,1899061,1653555,1616913,768816,848097,1650078,943599,706479,843197,552290,290907,58631,42730,15901,,,,,,,,,,,,
肄    业,387298,198497,188801,200477,89522,110955,135143,77133,58010,34041,21113,12928,6798,3709,3089,7505,4780,2725,3130,2088,1042,204,152,52,,,,,,,,,,,,
辍    学,382964,189291,193673,239543,106961,132582,120289,68039,52250,19306,11955,7351,2284,1290,994,1072,725,347,455,308,147,15,13,2,,,,,,,,,,,,
其    他,36242,19194,17048,19726,9581,10145,6941,4277,2664,2706,1670,1036,1764,858,906,3888,2056,1832,958,563,395,259,189,70,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表3—1b    全国分学业完成情况、性别、受教育程度的6岁及6岁以上人口（镇）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,单位:人,,,,,,,,,,,,
学业完成情况,合      计,,,小      学,,,初      中,,,高      中,,,中      专,,,大学专科,,,大学本科,,,研   究   生,,,,,,,,,,,,,,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合    计,13403796,7051661,6352135,4388910,2115308,2273602,5533422,2910917,2622505,1848812,1080306,768506,864597,436239,428358,608131,391057,217074,157575,115890,41685,2349,1944,405,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在    校,3072406,1648189,1424217,1673528,897500,776028,850135,448562,401573,409690,236919,172771,93751,40757,52994,30689,15557,15132,14324,8697,5627,289,197,92,,,,,,,,,,,,
毕    业,9744129,5114249,4629880,2344393,1053728,1290665,4508526,2363966,2144560,1410119,824557,585562,764759,391961,372798,572179,371980,200199,142166,106372,35794,1987,1685,302,,,,,,,,,,,,
肄    业,262065,131030,131035,152579,67200,85379,85881,48533,37348,16147,10524,5623,3830,2195,1635,3011,2097,914,582,448,134,35,33,2,,,,,,,,,,,,
辍    学,299921,144541,155380,202210,88891,113319,84369,47077,37292,11502,7385,4117,1276,775,501,445,315,130,118,97,21,1,1,          ,,,,,,,,,,,,
其    他,25275,13652,11623,16200,7989,8211,4511,2779,1732,1354,921,433,981,551,430,1807,1108,699,385,276,109,37,28,9,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表3—1c    全国分学业完成情况、性别、受教育程度的6岁及6岁以上人口（乡村）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,单位:人,,,,,,,,,,,,
学业完成情况,合      计,,,小      学,,,初      中,,,高      中,,,中      专,,,大学专科,,,大学本科,,,研   究   生,,,,,,,,,,,,,,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合    计,60491300,32944524,27546776,31838083,15765694,16072389,24432049,14333529,10098520,3023268,2079892,943376,834808,512751,322057,310727,213896,96831,51015,37873,13142,1350,889,461,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在    校,15114053,8122311,6991742,10461063,5566186,4894877,3997905,2170115,1827790,525287,320474,204813,97637,46943,50694,24475,13838,10637,7533,4655,2878,153,100,53,,,,,,,,,,,,
毕    业,41366723,22745887,18620836,18543890,8862540,9681350,19362575,11500035,7862540,2411515,1697369,714146,723684,456323,267361,281290,196343,84947,42654,32535,10119,1115,742,373,,,,,,,,,,,,
肄    业,1751210,904770,846440,1187114,549997,637117,508529,314313,194216,45087,32730,12357,7281,5225,2056,2745,2131,614,419,357,62,35,17,18,,,,,,,,,,,,
辍    学,2111531,1086517,1025014,1526441,721583,804858,541691,334463,207228,38237,26843,11394,4189,2843,1346,761,607,154,181,162,19,31,16,15,,,,,,,,,,,,
其    他,147783,85039,62744,119575,65388,54187,21349,14603,6746,3142,2476,666,2017,1417,600,1456,977,479,228,164,64,16,14,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表3—2    全国分年龄、性别、学业完成情况的6岁及6岁以上小学和初中人口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位:人
年   龄   别,小             学,,,,,,,,,,,,,,,,,,初             中,,,,,,,,,,,,,,,,,
,合      计,,,在      校,,,毕      业,,,肄      业,,,辍      学,,,其      他,,,合      计,,,在      校,,,毕      业,,,肄      业,,,辍      学,,,其      他,,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
总      计,41979534,20667903,21311631,14285754,7600978,6684776,24029915,11359813,12670102,1540170,706719,833451,1968194,917435,1050759,155501,82958,72543,39207202,22052440,17154762,6010144,3222922,2787222,31688355,17918301,13770054,729553,439979,289574,746349,449579,296770,32801,21659,11142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
