　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表2—1    全国各民族分性别、行业的人口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,    ,        ,                  ,                      ,                  ,      ,                ,    ,,                    ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位:人
民     族,合      计,,,一、农、林、牧、渔业,,,二、采掘业,,,三、制造业,,,四、电力、煤气及水的生产和供应业,,,五、建筑业,,,六、地质堪查业、水利管理业,,,七、交通运输、仓储及邮电通信业,,,八、批发和零售贸易、餐饮业,,,九、金融、保险业,,,十、房地产业,,,十一、社会服务业,,,十二、卫生、体育和社会福利业,,,十三、教育、文化艺术及广播电影电视业,,,十四、科学研究和综合技术服务业,,,十五、国家机关、政党机关和社会团体,,,十六、其他行业,,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  合      计,66874889,36550882,30324007,43051661,22175507,20876154,697862,573387,124475,8333044,4532607,3800437,418822,292141,126681,1794657,1595308,199349,84500,63891,20609,1724636,1411870,312766,4474040,2252730,2221310,394752,210056,184696,154814,98278,56536,1438738,823340,615398,709875,316536,393339,1710824,864574,846250,149861,95588,54273,1572764,1136260,436504,164039,108809,55230
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  汉族                        ,61015128,33419773,27595355,38430988,19787958,18643030,657828,540665,117163,8017373,4353247,3664126,393346,274734,118612,1732369,1541609,190760,78932,59611,19321,1632211,1336117,296094,4228516,2137468,2091048,371520,196986,174534,149733,95094,54639,1364755,783503,581252,661717,296057,365660,1558893,783007,775886,143010,91391,51619,1441304,1041071,400233,152633,101255,51378
  蒙古族                      ,309510,164673,144837,220167,115089,105078,3028,2438,590,14653,7733,6920,2082,1409,673,4320,3603,717,449,316,133,6912,5308,1604,15481,6370,9111,2528,1309,1219,412,227,185,5447,2639,2808,4737,1911,2826,14490,6328,8162,700,393,307,13388,9150,4238,716,450,266
  回族                        ,489307,269312,219995,291603,148803,142800,4640,3754,886,52077,31277,20800,4186,2774,1412,9004,7583,1421,710,529,181,17634,14357,3277,55188,29265,25923,3382,1613,1769,1400,881,519,13214,8029,5185,5472,2152,3320,13619,6597,7022,1369,822,547,14301,9920,4381,1508,956,552
  藏族                        ,290824,149034,141790,251303,124242,127061,928,622,306,4932,2609,2323,860,557,303,1018,697,321,193,149,44,2546,1932,614,4819,2374,2445,820,525,295,35,19,16,1779,859,920,2076,931,1145,8511,5626,2885,232,128,104,10360,7504,2856,412,260,152
  维吾尔族                    ,450784,246173,204611,362609,190365,172244,1781,1302,479,17276,10464,6812,1930,1281,649,2350,2092,258,1199,907,292,5701,4833,868,18575,12596,5979,1162,702,460,185,92,93,5309,3699,1610,4188,1444,2744,15033,7005,8028,282,158,124,11459,7949,3510,1745,1284,461
  苗族                        ,505894,264789,241105,439475,224216,215259,2321,1966,355,22046,12362,9684,1291,887,404,3407,2996,411,172,137,35,3992,3334,658,11033,4656,6377,989,612,377,162,112,50,3146,1550,1596,2372,1160,1212,8142,5257,2885,205,144,61,6708,5128,1580,433,272,161
  彝族                        ,468497,241444,227053,424453,213629,210824,2813,2380,433,7848,4873,2975,931,650,281,2001,1694,307,259,212,47,3206,2715,491,7430,2782,4648,850,569,281,101,72,29,2417,1033,1384,2035,963,1072,7279,4613,2666,178,108,70,6436,4964,1472,260,187,73
  壮族                        ,963389,501665,461724,771562,392816,378746,5722,4430,1292,63843,32801,31042,3419,2362,1057,10070,8392,1678,595,495,100,12098,9855,2243,35909,14854,21055,2961,1778,1183,540,370,170,9701,4548,5153,6284,2725,3559,22637,13029,9608,750,490,260,15105,11323,3782,2193,1397,796
  布依族                      ,166212,85964,80248,145986,73564,72422,622,512,110,6203,3542,2661,349,254,95,881,748,133,57,46,11,1124,940,184,3143,1296,1847,290,179,111,65,51,14,1011,545,466,758,348,410,2994,1870,1124,84,55,29,2548,1949,599,97,65,32
  朝鲜族                      ,86436,47961,38475,40779,22748,18031,979,731,248,10436,6195,4241,884,639,245,2506,2185,321,181,139,42,2486,1892,594,12178,4645,7533,1094,521,573,192,121,71,3815,2187,1628,1873,831,1042,4683,2070,2613,416,264,152,3368,2437,931,566,356,210
  满族                        ,580815,334445,246370,383204,211326,171878,9249,7926,1323,48512,29224,19288,4004,2881,1123,13273,11746,1527,751,570,181,18758,15677,3081,37501,17884,19617,4510,2480,2030,1284,779,505,13383,8086,5297,7547,3215,4332,18944,8631,10313,1555,930,625,16987,12173,4814,1353,917,436
  侗族                        ,164557,88689,75868,134391,70923,63468,633,542,91,10566,5682,4884,616,401,215,1464,1293,171,70,56,14,1908,1585,323,4968,2046,2922,467,270,197,79,52,27,1302,630,672,1095,507,588,3725,2253,1472,102,70,32,3002,2276,726,169,103,66
