　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表5—1    省、自治区、直辖市分性别、婚姻状况的15岁及15岁以上人口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,单位:人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地   区   别,15岁及15岁以上人口,,,未      婚,,,初婚有配偶,,,再婚有配偶,,,离      婚,,,丧      偶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合计,90278552,45656484,44622068,18277910,10817786,7460124,64198186,31848919,32349267,1948189,910164,1038025,815199,510752,304447,5039068,1568863,3470205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京市,1134081,582659,551422,267428,155338,112090,779056,394553,384503,24575,12620,11955,15152,7229,7923,47870,12919,34951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天津市,797365,398012,399353,154592,85420,69172,580349,289577,290772,14318,7083,7235,7812,3953,3859,40294,11979,28315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河北省,5092327,2560446,2531881,1089610,611040,478570,3610998,1799633,1811365,89869,37677,52192,33419,23354,10065,268431,88742,179689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山西省,2356519,1205493,1151026,449438,273135,176303,1709295,854244,855051,58584,25404,33180,20250,15008,5242,118952,37702,81250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内蒙古自治区,1776388,910931,865457,363779,216644,147135,1275338,638017,637321,40493,18092,22401,17864,11222,6642,78914,26956,51958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辽宁省,3358380,1688183,1670197,574978,333753,241225,2478412,1233047,1245365,83329,39710,43619,54427,29251,25176,167234,52422,114812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉林省,1996435,1012183,984252,372678,217448,155230,1443352,718977,724375,52796,25401,27395,31661,18223,13438,95948,32134,63814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黑龙江省,2689725,1362918,1326807,480756,280326,200430,1971979,982794,989185,72375,35662,36713,40095,23151,16944,124520,40985,83535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市,1385119,700838,684281,274082,158268,115814,988125,500675,487450,28429,13967,14462,22608,11754,10854,71875,16174,55701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江苏省,5605154,2768772,2836382,915456,527484,387972,4202456,2075234,2127222,100785,44247,56538,39906,25811,14095,346551,95996,250555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江省,3657703,1850277,1807426,710228,424793,285435,2636309,1320671,1315638,69207,28215,40992,32180,21520,10660,209779,55078,154701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安徽省,4175322,2101093,2074229,767697,465650,302047,3061831,1505368,1556463,67801,28473,39328,27896,20081,7815,250097,81521,168576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福建省,2419670,1219130,1200540,582936,337473,245463,1647050,817960,829090,36115,16543,19572,17023,11566,5457,136546,35588,100958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江西省,2520916,1264949,1255967,447517,282819,164698,1842792,898202,944590,59573,28013,31560,17632,12039,5593,153402,43876,109526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山东省,7027223,3497852,3529371,1421432,783380,638052,5053372,2515632,2537740,118329,51205,67124,36570,25556,11014,397520,122079,275441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河南省,6612438,3335857,3276581,1304665,762271,542394,4794543,2379360,2415183,98178,43023,55155,43508,31241,12267,371544,119962,251582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖北省,3894297,1978147,1916150,716437,442137,274300,2826366,1394920,1431446,89454,42619,46835,30650,19651,10999,231390,78820,152570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖南省,4419843,2276099,2143744,864702,552390,312312,3130543,1552770,1577773,107495,49470,58025,40247,27728,12519,276856,93741,183115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广东省,6075562,3012305,3063257,1938057,1022268,915789,3773987,1878773,1895214,53050,26712,26338,32163,19741,12422,278305,64811,213494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广西壮族自治区,3050182,1590910,1459272,798083,508626,289457,1996490,986144,1010346,45240,22193,23047,24405,16440,7965,185964,57507,128457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海南省,517358,268099,249259,141265,86669,54596,339764,168992,170772,7762,4026,3736,3242,2138,1104,25325,6274,19051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重庆市,2048451,1040138,1008313,293829,196321,97508,1514535,748222,766313,69817,29656,40161,27399,16413,10986,142871,49526,93345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四川省,5708264,2889634,2818630,879068,569583,309485,4212303,2073278,2139025,166032,73352,92680,62444,38193,24251,388417,135228,253189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
贵州省,2363586,1224243,1139343,465322,300546,164776,1678883,827299,851584,61115,32271,28844,22352,14607,7745,135914,49520,86394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
云南省,2986448,1542634,1443814,626050,393395,232655,2087477,1037901,1049576,80341,41733,38608,28450,16472,11978,164130,53133,110997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西藏自治区,168365,83337,85028,57817,31225,26592,91493,45742,45751,3091,1703,1388,4347,1151,3196,11617,3516,8101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陕西省,2538019,1293856,1244163,492120,300485,191635,1826955,903689,923266,60828,28734,32094,20650,14409,6241,137466,46539,90927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
甘肃省,1782343,910416,871927,347892,212324,135568,1289955,638469,651486,32828,16317,16511,14907,9927,4980,96761,33379,63382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
青海省,343460,174549,168911,73424,44003,29421,233255,115134,118121,13111,6967,6144,6067,2949,3118,17603,5496,12107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,387340,196199,191141,81607,46620,34987,278661,138556,140105,9106,4960,4146,3569,1939,1630,14397,4124,10273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,1390269,716325,673944,324965,195952,129013,842262,415086,427176,134163,74116,60047,36304,18035,18269,52575,13136,39439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表5—1a    省、自治区、直辖市分性别、婚姻状况的15岁及15岁以上人口（城市）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,单位:人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
