　　,,,,,,,,,,,,,,,,,,,,,
表8—1   省、自治区、直辖市家庭户按住房用途、是否合住户、建筑层数、外墙墙体材料分的户数,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,单位:户,,,,,,,,,
地   区   别,总家庭户数,住房用途,,本住房中有无其他合住户,,建筑层数,,,住宅外墙墙体材料,,,,,,,,,,,,
,,生活用房,兼做生产经营用房,有,无,平房,6层以下楼房,7层以上楼房,钢筋混凝土,砖、石,木、竹、草,其他,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
合计,33649474,33188549,460925,1972615,31215934,21238483,10512686,1437380,4828839,22353321,2162451,3843938,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
北京市,409389,402717,6672,10969,391748,199684,156000,47033,108156,293106,107,1348,,,,,,,,,
天津市,298844,296068,2776,19531,276537,152221,123115,20732,27129,264313,454,4172,,,,,,,,,
河北省,1806259,1793350,12909,61437,1731913,1537074,241971,14305,62094,1654511,4832,71913,,,,,,,,,
山西省,870761,861053,9708,41434,819619,672883,178824,9346,143075,634898,6547,76533,,,,,,,,,
内蒙古自治区,680599,669492,11107,26202,643290,573676,92185,3631,44833,395877,14240,214542,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
辽宁省,1279348,1267124,12224,77843,1189281,803244,300366,163514,136322,1109749,3689,17364,,,,,,,,,
吉林省,744813,734235,10578,50754,683481,558651,116558,59026,121332,456138,41371,115394,,,,,,,,,
黑龙江省,1020454,1004370,16084,62688,941682,773576,133533,97261,117247,627094,174939,85090,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
上海市,526908,517314,9594,35447,481867,70294,407139,39881,242254,268549,3920,2591,,,,,,,,,
江苏省,2107751,2083855,23896,71154,2012701,1110661,921616,51578,83463,1946795,28384,25213,,,,,,,,,
浙江省,1424421,1405846,18575,92010,1313836,277085,1092740,36021,117823,1101086,96469,90468,,,,,,,,,
安徽省,1621789,1598760,23029,51126,1547634,1156783,426903,15074,300084,1172256,57728,68692,,,,,,,,,
福建省,851811,832442,19369,110839,721603,333144,451868,47430,167818,423945,154107,86572,,,,,,,,,
江西省,978861,967441,11420,132351,835090,557244,379212,30985,219025,572908,44027,131481,,,,,,,,,
山东省,2693348,2666070,27278,61599,2604471,2254646,377918,33506,184242,2240314,19605,221909,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
河南省,2414697,2392624,22073,71087,2321537,1931737,429591,31296,269599,1989776,30573,102676,,,,,,,,,
湖北省,1510997,1480601,30396,80140,1400461,817417,576507,86677,270741,1014001,60792,135067,,,,,,,,,
湖南省,1723373,1700907,22466,174901,1526006,929246,729556,42105,329479,1089588,222839,59001,,,,,,,,,
广东省,1865371,1813484,51887,187833,1625651,856127,717623,239734,650100,1004372,28845,130167,,,,,,,,,
广西壮族自治区,1122773,1109560,13213,142566,966994,727051,344090,38419,63548,814374,66135,165503,,,,,,,,,
海南省,174150,170705,3445,21974,148731,127547,33309,9849,51888,110611,7199,1007,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
重庆市,868043,856918,11125,31787,825131,435345,337005,84568,121688,440128,130658,164444,,,,,,,,,
四川省,2307100,2277609,29491,116659,2160950,1477965,675422,124222,458498,1031893,331470,455748,,,,,,,,,
贵州省,901681,890975,10706,77565,813410,694084,167063,29828,27359,443543,355100,64973,,,,,,,,,
云南省,1082011,1064719,17292,71096,993623,433904,604943,25872,124429,338311,166157,435822,,,,,,,,,
西藏自治区,55107,53686,1421,2002,51684,39163,14492,31,5158,16006,23859,8663,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
