附表1:中国人民解放军现役军人主要数据,,,,,
,,,,,
中国人民解放军现役军人的年龄性别构成,,,,,
,,,单位：人,,
年龄,合计,男,女,,
,,,,,
总      计,2498600,2363188,135412,,
,,,,,
18岁以下,22813,22306,507,,
18岁,400175,391970,8205,,
19岁,403458,394413,9045,,
20岁,301505,293893,7612,,
21岁,164793,159360,5433,,
22岁,104267,99454,4813,,
23岁,88322,82284,6038,,
24岁,92969,86269,6700,,
25岁,99252,92442,6810,,
26岁,102134,94651,7483,,
27岁,101315,93726,7589,,
28岁,89190,82680,6510,,
29岁,68646,63561,5085,,
30岁,47726,43301,4425,,
31岁,46826,42773,4053,,
32岁,34142,31102,3040,,
33岁,32643,29532,3111,,
34岁,36350,32431,3919,,
35岁,38067,33909,4158,,
36岁,40051,35843,4208,,
37岁,35140,31839,3301,,
38岁,17586,15584,2002,,
39岁,14539,12598,1941,,
40岁,12149,10555,1594,,
41岁,10570,9352,1218,,
42岁,10431,9053,1378,,
43岁,10538,8828,1710,,
44岁,9889,7816,2073,,
45岁,9965,7679,2286,,
46岁,7960,6037,1923,,
47岁,6530,5262,1268,,
48岁,6059,4931,1128,,
49岁,5296,4453,843,,
50岁,4885,4273,612,,
51岁,3231,2819,412,,
52岁,2616,2264,352,,
53岁,2808,2381,427,,
54岁,2902,2371,531,,
55岁,2183,1757,426,,
56岁,1706,1396,310,,
57岁,1707,1451,256,,
58岁,1780,1500,280,,
59岁,1520,1332,188,,
60岁及以上,1966,1757,209,,
,,,,,
,,,,,
附表1:中国人民解放军现役军人主要数据,,,,,
中国人民解放军现役军人的民族构成,,,,,
,单位：人,,,,
民族,人数,,,,
,,,,,
总      计,2498600,,,,
,,,,,
汉族,2386896,,,,
蒙古族,13861,,,,
回族,11321,,,,
藏族,6933,,,,
维吾尔族,6023,,,,
苗族,5422,,,,
彝族,3586,,,,
壮族,8352,,,,
布依族,1757,,,,
朝鲜族,5854,,,,
满族,26202,,,,
侗族,2618,,,,
瑶族,1457,,,,
白族,3832,,,,
土家族,8881,,,,
哈尼族,356,,,,
哈萨克族,565,,,,
傣族,242,,,,
黎族,208,,,,
傈僳族,189,,,,
佤族,99,,,,
畲族,447,,,,
高山族,27,,,,
拉祜族,60,,,,
水族,98,,,,
东乡族,21,,,,
纳西族,638,,,,
景颇族,15,,,,
柯尔克孜族,52,,,,
土族,395,,,,
达斡尔族,353,,,,
仫佬族,112,,,,
羌族,404,,,,
布朗族,9,,,,
撒拉族,18,,,,
毛难族,18,,,,
仡佬族,387,,,,
锡伯族,533,,,,
阿昌族,18,,,,
普米族,28,,,,
塔吉克族,28,,,,
怒族,11,,,,
乌孜别克族,53,,,,
俄罗斯族,22,,,,
鄂温克族,40,,,,
德昂族,,,,,
保安族,,,,,
裕固族,28,,,,
京族,67,,,,
塔塔尔族,5,,,,
独龙族,5,,,,
鄂伦春族,20,,,,
赫哲族,24,,,,
门巴族,5,,,,
珞巴族,5,,,,
基诺族,,,,,
,,,,,
,,,,,
附表1:中国人民解放军现役军人主要数据,,,,,
中国人民解放军现役军人的文化程度构成,,,,,
,,,,,单位：人
文化程度,人数,其               中,,,
,,在校,毕业,肄业,其它
,,,,,
总      计,2498600,149225,2349375,,
,,,,,
研究生,37638,10432,27206,,
大学本科,300170,59991,240179,,
大学专科,567113,47273,519840,,
中专,259534,31529,228005,,
高中,644316,,644316,,
初中,674543,,674543,,
小学,15286,,15286,,
,,,,,
